replicate,beta_hat,se,ucb,lcb,beta_min,p_rand_less,p_rand_greater,N,nbar_ret,sigma_blind,leak_excursion,leak_fired,delivery_p99_ms,delivery_fired,retention_imbalance,retention_fired,balance_fired,gate_required,gate_audited,gate_passed,collider_inter_z,collider_smd,collider_rank_z,collider_fired,decision
0,-30.54474916002702,3.8894769110679204,-24.381193921058838,-37.546767703941406,20.747461988358467,0.001,1.0,24,46.208333333333336,0.997263977365951,0.005250866795963999,False,0.5142670165241452,False,0.06291666666666668,False,False,0.1705294044680118,0.06291666666666668,False,-21.355279207848547,1.3948280202680072,-22.970260760647875,True,selection_limited
1,-31.146077696341006,3.9160535923786255,-24.679007166145816,-38.18318897956806,20.601240408015062,0.001,1.0,24,46.416666666666664,0.9924653357428909,0.0260559247881157,False,0.5053528032729794,False,0.024583333333333346,False,False,0.1750974237507885,0.024583333333333346,True,-21.597893230021874,1.4695972792799046,-24.73255532120984,True,selection_limited
2,-39.689200809304175,3.5845626870887997,-33.721386396540545,-45.458969496497026,20.93331432025933,0.001,1.0,24,46.5,1.009367862873368,0.012370786461015424,False,0.5245178348075787,False,0.040000000000000036,False,False,0.22175629712261105,0.040000000000000036,True,-21.647796423584012,1.440760619273232,-24.43986476981292,True,selection_limited
3,-28.89911784754131,4.063396104593183,-22.250669100022677,-35.746009037770484,20.281901122765923,0.001,1.0,24,46.708333333333336,0.98014617345795,0.016841505398141974,False,0.5059322723726916,False,0.04958333333333337,False,False,0.16356624277863085,0.04958333333333337,True,-21.405100342604072,1.4393465649817914,-23.656247449965186,True,selection_limited
4,-32.918315743427236,3.7582320205994373,-26.021698857602104,-39.60525580286061,20.883310281296637,0.001,1.0,24,45.958333333333336,1.0010746840690712,0.0013791006071778708,False,0.5249279766047733,False,0.047083333333333366,False,False,0.18413049283591382,0.047083333333333366,True,-21.467148960157935,1.4416617631390152,-24.231531027249666,True,selection_limited
5,-38.20809802421869,3.4461733285504654,-32.78300990023261,-44.38113137048965,20.468832840278655,0.001,1.0,24,46.041666666666664,0.9820952253736368,0.018988192316836038,False,0.5366622278761097,False,0.05625000000000008,False,False,0.21938973909316647,0.05625000000000008,True,-22.05249538794077,1.5147419578919146,-25.610543496830015,True,selection_limited
6,-34.45595901652911,4.702753426163235,-26.356840653701745,-42.62869960061652,20.641396376270688,0.001,1.0,24,46.583333333333336,0.9961835289379356,0.01998381538744261,False,0.4693275329973239,False,0.07166666666666666,False,False,0.19428868338048844,0.07166666666666666,True,-21.308776228937656,1.4611622474976191,-23.069962720241023,True,selection_limited
7,-39.45444617935229,3.6729821042446633,-33.54808774869146,-45.868023657602556,21.17811469775139,0.001,1.0,24,45.791666666666664,1.0133641207878605,0.018413444720978455,False,0.5118917944008942,False,0.025416666666666643,False,False,0.21955752977481707,0.025416666666666643,True,-21.062427265994053,1.4103345144611499,-23.268314682842593,True,selection_limited
8,-34.45787651031495,3.9332723287502285,-27.349053234044973,-41.230092768241924,20.01444234388755,0.001,1.0,24,46.333333333333336,0.9633304073613151,0.006548889427815575,False,0.5122172442221007,False,0.02833333333333332,False,False,0.20125316464596252,0.02833333333333332,True,-21.243918892338847,1.4608988701647148,-25.681079026967183,True,selection_limited
9,-36.42088525929054,4.14579489157825,-29.304849190610298,-43.72138282413664,21.14429207836471,0.001,1.0,24,46.375,1.0181695691924244,0.050967001015998034,False,0.5119802053286722,False,0.030000000000000027,False,False,0.20126144788104067,0.030000000000000027,True,-21.632891632182364,1.445721783537438,-25.055873387261776,True,selection_limited
10,-39.72288138964448,4.455829512661186,-32.25104521785586,-47.27814588526488,21.477511545543315,0.001,1.0,24,46.375,1.0342152197200636,0.005337149878507234,False,0.5003341184995733,False,0.027916666666666645,False,False,0.21655635888135746,0.027916666666666645,True,-21.494220609419443,1.4672990641758588,-24.460925559599552,True,selection_limited
11,-32.08059810060357,3.6972586245846943,-25.681918108389162,-38.144145344684574,21.04038351223478,0.001,1.0,24,45.708333333333336,1.005857241114397,0.02055758584970374,False,0.49005580857778913,False,0.030000000000000027,False,False,0.17818430113682585,0.030000000000000027,True,-21.479363203392776,1.4156416222704091,-22.538140571924792,True,selection_limited
12,-35.348315772233754,3.966765629425204,-28.712858652002918,-42.09189350671699,21.1036178905189,0.001,1.0,24,46.666666666666664,1.0194015918637767,0.03309827918179673,False,0.5471522144257169,False,0.041666666666666685,False,False,0.19480718501895855,0.041666666666666685,True,-21.336012705793376,1.4409302953170835,-24.564243238599648,True,selection_limited
13,-38.93346027369048,4.393232955065,-31.60335070681885,-46.19817023535445,20.692338702941417,0.001,1.0,24,47.291666666666664,1.0062059720511538,0.008326444440208957,False,0.4712052100885635,False,0.03541666666666665,False,False,0.21818405345140318,0.03541666666666665,True,-21.498583882761622,1.4867278138159976,-23.367355677755995,True,selection_limited
14,-36.162907933982304,3.4323534015628514,-30.011317212691623,-42.26855294806047,20.07193929380007,0.001,1.0,24,47.833333333333336,0.9816115507717257,0.0015604336013205322,False,0.5016226763222285,False,0.038333333333333386,False,False,0.20750631889973883,0.038333333333333386,True,-21.265635762173126,1.4747288617176484,-25.249572855930428,True,selection_limited
15,-37.05954842938238,3.4869113525934194,-31.651311973366816,-43.51845551198599,20.887193501997977,0.001,1.0,24,48.583333333333336,1.0294582696401449,0.029987906082740344,False,0.5220668846838353,False,0.02458333333333329,False,False,0.2025984664259935,0.02458333333333329,True,-21.272750459383477,1.483833090899911,-25.20030144702048,True,selection_limited
16,-41.97936931480404,3.3869350907011873,-35.96159018656747,-47.29205031895732,19.96255949625765,0.001,1.0,24,47.0,0.9677209757248326,0.037054043857447476,False,0.4869633512453214,False,0.046666666666666745,False,False,0.24427128120373295,0.046666666666666745,True,-21.418205619938227,1.432387555332005,-25.32771463171225,True,selection_limited
17,-34.47610841963273,3.961028063042671,-28.013023631613585,-42.51059900649058,20.794970607743075,0.001,1.0,24,46.916666666666664,1.007179522749035,0.019429931188639313,False,0.5078958235443718,False,0.04416666666666669,False,False,0.19216825459640705,0.04416666666666669,True,-21.49370354513346,1.432235268882244,-23.05791498313736,True,selection_limited
