replicate,beta_hat,se,ucb,lcb,beta_min,p_rand_less,p_rand_greater,N,nbar_ret,sigma_blind,leak_excursion,leak_fired,delivery_p99_ms,delivery_fired,retention_imbalance,retention_fired,balance_fired,gate_required,gate_audited,gate_passed,collider_inter_z,collider_smd,collider_rank_z,collider_fired,decision
0,-62.71617720393507,4.831953668747715,-53.84664149691138,-70.50157549287489,44.95861454869715,0.001,1.0,24,47.375,1.0940635203440148,0.06975926001001698,False,0.4795134729557579,False,0.025694444444444464,False,False,0.5552449646908683,0.025694444444444464,True,0.03242079979670158,0.2232508678792154,-5.659521057701609,False,supported
1,-60.76134480581232,3.9723490040856184,-54.679360816188606,-67.66512693670268,44.30153985548962,0.001,1.0,24,47.875,1.0837477826219861,0.006385666578507311,False,0.5235986694816044,False,0.02499999999999991,False,False,0.5454882631800917,0.02499999999999991,True,1.5911398939349473,0.3745646127610779,-6.757717050905677,False,supported
2,-63.99811669437298,6.2392702698810645,-51.72401128296891,-74.19609989214045,45.332404412806284,0.001,1.0,24,48.625,1.1176184641838443,0.002225382860383928,False,0.5352078284958102,False,0.015972222222222165,False,False,0.554776423716318,0.015972222222222165,True,0.23285737122235523,0.1535062560463515,-7.646488656517529,False,supported
3,-56.67165376814655,5.038214105694597,-47.487108041201104,-64.20626263378519,43.53445228052908,0.001,1.0,24,48.083333333333336,1.0672972118598163,0.03639924040517598,False,0.5011913266887305,False,0.030555555555555558,False,False,0.521529835467886,0.030555555555555558,True,-0.8181014307229174,0.26622013726301713,-6.415846845494571,False,supported
4,-60.52097431821837,4.7685861138966805,-49.92493952472178,-67.4900115864224,45.18593190439377,0.001,1.0,24,47.833333333333336,1.104901525470391,0.012103253904605893,False,0.5045576633708707,False,0.06041666666666656,False,False,0.5352282049994987,0.06041666666666656,True,-0.616608264186437,0.34502814165194484,-7.249039590290204,False,supported
5,-63.06339953602441,4.826296084144077,-54.210089615052404,-70.55719077712925,43.01239143923601,0.001,1.0,24,49.166666666666664,1.0663112195301385,0.0002813465053425983,False,0.5158886693954063,False,0.03472222222222221,False,False,0.5689143048872933,0.03472222222222221,True,-0.3832044507190352,0.21225855578092034,-6.486145715631647,False,supported
6,-59.34873374858933,4.7841762754221815,-50.27457247856884,-66.9639433133362,45.12302045803137,0.001,1.0,24,47.916666666666664,1.1043238932582198,0.0060830075018666425,False,0.5313608017504294,False,0.04513888888888895,False,False,0.5268394793758351,0.04513888888888895,True,-0.5769250637953469,0.12641401487917026,-8.17648547686907,False,supported
7,-58.574357623634604,4.456032661895351,-50.34834814769769,-65.74699884884511,41.854953861794584,0.001,1.0,24,48.583333333333336,1.0314437019580813,0.035881276807282196,False,0.4972178949187011,False,0.0493055555555556,False,False,0.5511226279876686,0.0493055555555556,True,0.3723366201356527,0.17377397380246767,-5.6540759048891704,False,supported
8,-58.388068067440884,4.572305318772122,-51.5244171549096,-66.61786105809422,44.26557004375699,0.001,1.0,24,47.708333333333336,1.0809813229617924,0.01759383526458131,False,0.507429770228752,False,0.02083333333333337,False,False,0.5290624696215916,0.02083333333333337,True,0.06717874498298058,0.21938247898396246,-4.151338623981982,False,supported
9,-54.48547576972796,5.121763412827237,-45.86348697062559,-62.69142294276156,44.87215443591008,0.001,1.0,24,47.583333333333336,1.0943578545031434,0.017267553987692984,False,0.5312296875546341,False,0.0673611111111111,False,False,0.49327142034501964,0.0673611111111111,True,-0.03591100513221354,0.3321417911918258,-6.13184788973828,False,supported
10,-67.26686060597793,4.908872141319161,-59.07290498555754,-75.03098767511024,47.059569327657265,0.001,1.0,24,47.666666666666664,1.148709853013652,0.010401132538148313,False,0.5120043376001534,False,0.04583333333333339,False,False,0.5645845582305966,0.04583333333333339,True,-0.5605823535444087,0.2520911941246555,-7.990340760312749,False,supported
11,-62.71074000249126,4.5203783609419705,-55.605851012675174,-70.98821311652287,44.07879032600865,0.001,1.0,24,48.416666666666664,1.084381543489892,0.05098719417097206,False,0.4882925392443883,False,0.029861111111111116,False,False,0.5591072203107051,0.029861111111111116,True,-0.05979443176149107,0.22108379074051654,-6.297549963574361,False,supported
12,-56.844975312913924,6.093574913010734,-47.11663824100262,-68.85594222888227,43.92049355923665,0.001,1.0,24,47.833333333333336,1.0739586036576647,0.03559250501252768,False,0.531076399196952,False,0.015972222222222276,False,False,0.5201346135583428,0.015972222222222276,True,-0.016931620241827407,0.1492025811437423,-6.146075715191293,False,supported
13,-55.81033968635168,4.933438774396544,-47.845768521674906,-64.26774768569517,45.05195502775749,0.001,1.0,24,47.625,1.0992238500020954,0.026325571309402565,False,0.5169651333721211,False,0.033333333333333326,False,False,0.5018432441919938,0.033333333333333326,True,-0.4518582513605147,0.2291276217435425,-5.82984022020697,False,supported
14,-68.14808956149415,4.088038972245915,-62.03954889466253,-75.5269102123887,45.216869057780556,0.001,1.0,24,48.666666666666664,1.1152475923136176,0.02385291927405497,False,0.5373182555377424,False,0.022916666666666696,False,False,0.5831171650016108,0.022916666666666696,True,-0.2567685777527559,0.1989233904762635,-6.851405129905174,False,supported
15,-56.13323507753487,5.199650700683056,-46.35813553402779,-64.75742754408601,42.57874000643223,0.001,1.0,24,48.791666666666664,1.0515275091322747,0.0014806645084549516,False,0.5039187865315539,False,0.018055555555555602,False,False,0.5238817328211611,0.018055555555555602,True,0.8679242036837074,0.22710800840096138,-7.72379186098666,False,supported
16,-57.9453784429798,4.96738767600796,-49.80623571690528,-67.1243594742073,43.54506487105463,0.001,1.0,24,47.875,1.0652421485139014,0.005008001320422671,False,0.5116705326410685,False,0.04236111111111107,False,False,0.5321720952548852,0.04236111111111107,True,-0.23277495220301564,0.24303977991081685,-6.582887910820198,False,supported
17,-55.62456748617888,5.083022343852112,-47.029205485002606,-64.41700568450639,44.30449874012314,0.001,1.0,24,47.458333333333336,1.079093496202865,0.01707697905319622,False,0.5190662236658007,False,0.06666666666666665,False,False,0.5084906306421612,0.06666666666666665,True,-1.7738530448930372,0.273954217750703,-6.647731361201923,False,supported
18,-63.34544043862446,4.6097712838898035,-56.66930102877529,-72.58026640339227,43.6858182796684,0.001,1.0,24,47.541666666666664,1.0649584963817162,0.030160667054277987,False,0.4942887226808176,False,0.01805555555555549,False,False,0.5714149237130306,0.01805555555555549,True,0.4172761948936911,0.16573760316534206,-5.369620402009635,False,supported
