replicate,beta_hat,se,ucb,lcb,beta_min,p_rand_less,p_rand_greater,N,nbar_ret,sigma_blind,leak_excursion,leak_fired,delivery_p99_ms,delivery_fired,retention_imbalance,retention_fired,balance_fired,gate_required,gate_audited,gate_passed,collider_inter_z,collider_smd,collider_rank_z,collider_fired,decision
0,-80.40391334467076,4.239039957206021,-72.78901448161241,-87.20056163337307,47.42526931711386,0.001,1.0,24,46.333333333333336,1.1413309255760513,0.472578464329078,True,0.5301710997531417,False,0.054166666666666585,False,False,0.6426046035241761,0.054166666666666585,True,1.735118826686333,0.2965595335089631,-8.312677937502974,False,diagnostic_failure
1,-83.7718822391345,4.104305894622826,-76.77613563924146,-90.67875407022669,47.14168609533288,0.001,1.0,24,47.625,1.1502112539483598,0.5432157102238726,True,0.5081253967803705,False,0.019444444444444375,False,False,0.6556962787663441,0.019444444444444375,True,0.2179970564077225,0.22966482741187333,-8.849588653831047,False,diagnostic_failure
2,-90.57506995289151,3.86324268436968,-84.14596915627344,-97.82621820054796,47.76636403028739,0.001,1.0,24,47.708333333333336,1.1664719855972336,0.4970029189103102,True,0.4965469394998787,False,0.03472222222222221,False,False,0.6796713228136668,0.03472222222222221,True,0.4041794130575946,0.41230244116599724,-8.691035603859348,False,diagnostic_failure
3,-82.67935457044702,5.331078630000381,-71.9603198326814,-91.46813119057215,47.56131355670673,0.001,1.0,24,47.416666666666664,1.157908807118824,0.5103794716063194,True,0.4916315976444153,False,0.029166666666666674,False,False,0.6479564391827154,0.029166666666666674,True,0.485413414942976,0.15339342382529192,-10.120247846403894,False,diagnostic_failure
4,-86.39986980663257,4.582621311411639,-78.80775526992706,-95.0743558872597,48.06266702102523,0.001,1.0,24,47.125,1.1665102371514051,0.5062253483232817,True,0.5038849739913138,False,0.028472222222222232,False,False,0.6621556079744267,0.028472222222222232,True,0.34171917267847507,0.264137191474983,-7.995763205121092,False,diagnostic_failure
5,-84.50726694288001,4.780530322566684,-75.20958231692738,-92.45322132990515,47.48509544160044,0.001,1.0,24,47.458333333333336,1.1565610516928948,0.5361917933683064,True,0.5353242878843952,False,0.03541666666666665,False,False,0.6569471416545538,0.03541666666666665,True,1.3790399869833538,0.15048686876370493,-7.711881389190069,False,diagnostic_failure
6,-80.3721662581747,3.593185296147296,-74.49165544882428,-85.93679625313375,46.50733486333553,0.001,1.0,24,48.416666666666664,1.1441261248257957,0.5186141603385728,True,0.4907794148690272,False,0.032638888888888884,False,False,0.6414693969803212,0.032638888888888884,True,-0.38750169276395013,0.12966819228801835,-8.457348730896213,False,diagnostic_failure
7,-87.45224846591485,3.944169724695168,-80.0143330484401,-93.46198932659263,47.69426312829534,0.001,1.0,24,48.708333333333336,1.176854533284905,0.5190872660554354,True,0.5037394409074213,False,0.013194444444444398,False,False,0.663401710448742,0.013194444444444398,True,-1.845517665075495,0.2663992143655853,-10.611087705619823,False,diagnostic_failure
8,-86.88894865205936,4.236484217187765,-80.05243667444284,-94.3197544344112,47.263630432930775,0.001,1.0,24,49.375,1.1741825952496172,0.47776275832542364,True,0.4788976310893442,False,0.04166666666666674,False,False,0.6618085582525295,0.04166666666666674,True,-0.6918917848820743,0.21098766976593744,-10.324544520505317,False,diagnostic_failure
9,-87.2831538030287,4.739837028048602,-79.54712363766377,-95.93029851215572,47.792173959934665,0.001,1.0,24,47.166666666666664,1.1604578886012642,0.555390230899847,True,0.5081480128048316,False,0.026388888888888906,False,False,0.6679616014415496,0.026388888888888906,True,0.47314593627090723,0.12255827660285329,-10.14993729184742,False,diagnostic_failure
10,-87.69623502721534,4.444981798295476,-80.62687617441067,-95.74685631009619,46.97094433163443,0.001,1.0,24,48.125,1.15204559940617,0.5265649312957976,True,0.5273974659474886,False,0.04513888888888895,False,False,0.6724240230725976,0.04513888888888895,True,-1.9027065499425018,0.362769826549559,-11.632869091168908,False,diagnostic_failure
11,-82.26612747279324,3.3788628348865286,-76.45875542811973,-88.61317973077722,47.293020926126125,0.001,1.0,24,46.916666666666664,1.1452904441230538,0.5202195899003865,True,0.494800809097225,False,0.030555555555555558,False,False,0.650296278502791,0.030555555555555558,True,-0.18068763644896124,0.20839794970190167,-8.095677503284627,False,diagnostic_failure
12,-87.24648030111804,3.962170502325866,-80.29935811569304,-94.47633548483228,48.43733870302703,0.001,1.0,24,48.333333333333336,1.1905801950302866,0.4871208830596178,True,0.5094415813412295,False,0.02083333333333337,False,False,0.6580689956462488,0.02083333333333337,True,0.21269121224886428,0.4131464854280139,-9.61702800559884,False,diagnostic_failure
13,-83.67349515998342,4.56300781563114,-75.6875040732241,-90.6644567506399,47.52290375902952,0.001,1.0,24,48.083333333333336,1.1650786911170063,0.530571402954554,True,0.5341400849114539,False,0.05138888888888893,False,False,0.6502305272338827,0.05138888888888893,True,1.0471370527878303,0.2294756565296867,-8.19385494736825,False,diagnostic_failure
14,-83.37840925751034,3.7045680075216576,-76.80512311550916,-89.4008837945822,47.72434178754304,0.001,1.0,24,47.958333333333336,1.1684953670281975,0.5597946026008445,True,0.4954649216482006,False,0.014583333333333393,False,False,0.6476873758406726,0.014583333333333393,True,1.3724405516646252,0.25642187111127446,-8.375889074709342,False,diagnostic_failure
15,-88.7549307474333,4.907475826620589,-80.23571267576723,-97.61717029844705,47.88200798970798,0.001,1.0,24,48.0,1.1728648743465186,0.5074366307782331,True,0.49227911627792487,False,0.022916666666666585,False,False,0.6702333207955702,0.022916666666666585,True,0.17497666811483617,0.24156029472666676,-9.410152171473612,False,diagnostic_failure
16,-92.97101323878906,5.382835844122956,-82.6668665993827,-101.20170900360537,48.80582736568915,0.001,1.0,24,48.125,1.197049355555567,0.5147027084828226,True,0.5385909772848704,False,0.04166666666666674,False,False,0.6797552752727045,0.04166666666666674,True,-1.255532231917138,0.28022479204639256,-10.293978785486832,False,diagnostic_failure
