replicate,beta_hat,se,ucb,lcb,beta_min,p_rand_less,p_rand_greater,N,nbar_ret,sigma_blind,leak_excursion,leak_fired,delivery_p99_ms,delivery_fired,retention_imbalance,retention_fired,balance_fired,gate_required,gate_audited,gate_passed,collider_inter_z,collider_smd,collider_rank_z,collider_fired,decision
0,51.728746344866416,4.91465156533324,59.172588769237244,41.32610469773152,43.646028284586514,1.0,0.001,24,47.583333333333336,1.0644546594999003,0.029547279052405312,False,0.5176592889908392,False,0.026388888888888906,False,False,0.4827212105516145,0.026388888888888906,True,1.1102536326337327,0.17129824020134837,5.335552396772464,False,forward_only_adequate
1,64.87126537591693,3.743117635897737,71.48054784134644,58.70437160023452,44.40337947402397,1.0,0.001,24,48.125,1.08907152389013,0.036352491829801326,False,0.543487148258034,False,0.03472222222222221,False,False,0.5720304793604045,0.03472222222222221,True,-0.6169843967520364,0.2806008975119464,6.1254521557477,False,opposite_direction
2,58.14390392141999,4.917669542655654,68.25745761057081,50.84236382878356,43.70310682516501,1.0,0.001,24,48.666666666666664,1.0779115334391636,0.022449166567976207,False,0.499721423170403,False,0.025694444444444464,False,False,0.5284690435150223,0.025694444444444464,True,0.11237814625174897,0.19699800174017415,6.314849267484285,False,opposite_direction
3,58.17013558413913,4.185992510898018,65.59127444921813,51.855039113474575,44.303402813322634,1.0,0.001,24,47.208333333333336,1.0762209080589928,0.004974599728247502,False,0.5003285832219273,False,0.06805555555555554,False,False,0.529359504336337,0.06805555555555554,True,1.3134928391564245,0.2461306868100926,6.080925668641574,False,opposite_direction
4,57.60404966095887,5.007853389731886,67.27227939870289,50.21087352985998,44.01103447239621,1.0,0.001,24,48.833333333333336,1.087363543653315,0.008452856003499551,False,0.5021850244760233,False,0.012499999999999956,False,False,0.5205135235472742,0.012499999999999956,True,0.6714183607927894,0.07705694485687374,7.075915854872843,False,opposite_direction
5,66.39839198895909,4.654424059988946,74.28019428199806,58.52768619191331,45.58408339805693,1.0,0.001,24,47.416666666666664,1.1097719487523732,0.009226428812755014,False,0.5475170219938547,False,0.015277777777777835,False,False,0.5739640336468476,0.015277777777777835,True,0.44109257569949434,0.22511512745309747,7.070860528866416,False,opposite_direction
6,64.37178455543652,5.251602023344295,73.37728303967376,55.922818254698484,45.71526450849354,1.0,0.001,24,48.333333333333336,1.123672150282319,0.004141508749014005,False,0.5263464145544449,False,0.01736111111111116,False,False,0.5549607544578995,0.01736111111111116,True,0.3901884042987764,0.18813924264102586,7.05080420335118,False,opposite_direction
7,62.10644314475994,4.24891818565404,69.38340270761208,54.7801847512175,43.009162175748635,1.0,0.001,24,48.0,1.053505015951945,0.029832802692371554,False,0.5331810769609262,False,0.040277777777777746,False,False,0.5675131684144107,0.040277777777777746,True,-1.5726707172987082,0.3485317463239524,5.984294959564921,False,opposite_direction
8,66.17691955733984,5.436841643774948,74.92567501551099,56.99875953005705,45.51075189405,1.0,0.001,24,47.375,1.1074997290402555,0.01633687032461107,False,0.5073934156775185,False,0.047222222222222276,False,False,0.5734017011005876,0.047222222222222276,True,-0.09986371699685238,0.21854787964819244,7.206443959132562,False,opposite_direction
9,50.10014597367933,5.714506197278177,60.72403343144768,41.60978206488187,44.30123402098942,1.0,0.001,24,48.208333333333336,1.0875065688260228,0.027588430204069137,False,0.5373416109442402,False,0.036805555555555536,False,False,0.4596872425144291,0.036805555555555536,True,-1.550228475964377,0.286475566501263,4.3674593940216235,False,forward_only_adequate
10,61.526788304203755,4.896606127726746,69.6020655431808,52.93763901994163,43.95468727629521,1.0,0.001,24,48.041666666666664,1.0771327576968892,0.020334001094873856,False,0.5263115389496671,False,0.054166666666666696,False,False,0.5536856172747987,0.054166666666666696,True,-0.20841386039245724,0.07094227909448156,7.293276940869412,False,opposite_direction
11,74.91745867701306,6.0245500487165184,84.78828763462343,64.84195357444706,46.0483102411373,1.0,0.001,24,47.875,1.1264789955407815,0.002638019268425369,False,0.4779908827824749,False,0.04583333333333328,False,False,0.6191173169979747,0.04583333333333328,True,0.71404972407677,0.22846476292924875,7.753346901617789,False,opposite_direction
12,57.41881759851134,6.27635566292077,67.15125802715207,46.53896853322196,45.50804403827624,1.0,0.001,24,46.0,1.0912445608153434,0.019734949612067773,False,0.5129067282677918,False,0.014583333333333282,False,False,0.5175269987000621,0.014583333333333282,True,0.9791994733906497,0.17214477127444888,6.320653320628456,False,opposite_direction
13,63.23305474167356,5.103316921689032,72.04608880200028,54.8576136319397,43.51915181629223,1.0,0.001,24,49.0,1.0770440576275482,0.02358574544620918,False,0.5186030677050074,False,0.03402777777777777,False,False,0.5657123790413431,0.03402777777777777,True,-0.7709260984661483,0.10831547965385376,6.238464505291965,False,opposite_direction
14,64.92257342485682,4.409747870526702,72.8070146866617,56.10777758723421,44.23567050777699,1.0,0.001,24,47.75,1.0807227878644872,0.009589299836206051,False,0.49952506703180144,False,0.01666666666666672,False,False,0.5757248793368096,0.01666666666666672,True,-0.7219242689988697,0.20487758573488674,5.906089550534565,False,opposite_direction
15,64.82393371066917,6.666726659549085,75.63795336982095,53.74843083121083,45.03097522705748,1.0,0.001,24,48.166666666666664,1.104942440941553,0.05942915688754438,False,0.528375078087235,False,0.025000000000000022,False,False,0.5653952383796604,0.025000000000000022,True,0.35761251077274747,0.26210485242593295,6.215416363410568,False,opposite_direction
16,66.87592394183922,5.259001968181199,75.3906869713865,57.685205163050085,46.208144364330295,1.0,0.001,24,47.708333333333336,1.128419694520753,0.02795025484041806,False,0.5184399168970979,False,0.04861111111111116,False,False,0.5698245594460518,0.04861111111111116,True,2.1589709467995926,0.2063730009038066,5.746405869956808,False,opposite_direction
17,62.11463985345807,4.731921484788587,70.58346383153332,53.76213172757326,43.75559842813573,1.0,0.001,24,48.833333333333336,1.0810525844678844,0.03463615454491908,False,0.5194406116458062,False,0.039583333333333304,False,False,0.5562660046652314,0.039583333333333304,True,-1.9074705166251098,0.22598608961142913,6.8632159353455675,False,opposite_direction
18,56.26137288745633,4.789670263812655,64.54940640531449,48.137386785364114,43.49091250950632,1.0,0.001,24,48.416666666666664,1.0699191716932206,0.019535267820203976,False,0.48522344481000507,False,0.033333333333333326,False,False,0.5172505310346222,0.033333333333333326,True,-0.7714838935824773,0.2672192744538167,4.803611124985458,False,opposite_direction
19,57.588022932854585,4.280701344940651,65.2315788585188,50.6179183008175,44.14247583129377,1.0,0.001,24,48.0,1.0812654176980843,0.036684246177539764,False,0.5035567735928179,False,0.032638888888888884,False,False,0.5228678668983278,0.032638888888888884,True,0.7358797483752925,0.3538807399698909,7.338514381480221,False,opposite_direction
20,55.512457220569964,4.572061237971735,62.99972875649659,47.66684921619536,42.747026953973176,1.0,0.001,24,48.416666666666664,1.0516188562598159,0.05369084086106772,False,0.4913586355413796,False,0.025694444444444464,False,False,0.5189459716507727,0.025694444444444464,True,-0.14909955584281678,0.13588941130870935,5.871998634031981,False,opposite_direction
21,53.4769556088325,4.1611614736792415,61.57456902447532,46.82338407163512,43.678985975869445,1.0,0.001,24,47.875,1.0685182581223434,0.03777214768755736,False,0.5087652150843277,False,0.02499999999999991,False,False,0.49554902292264347,0.02499999999999991,True,1.8989028254791958,0.23567519260893338,7.2539198791962205,False,opposite_direction
