replicate,beta_hat,se,ucb,lcb,beta_min,p_rand_less,p_rand_greater,N,nbar_ret,sigma_blind,leak_excursion,leak_fired,delivery_p99_ms,delivery_fired,retention_imbalance,retention_fired,balance_fired,gate_required,gate_audited,gate_passed,collider_inter_z,collider_smd,collider_rank_z,collider_fired,decision
0,-44.261900597785996,3.0062234283186937,-38.8338156277872,-49.144054364026,43.63702071078415,0.001,1.0,24,38.916666666666664,0.9624494208743734,0.003463703300562263,False,0.5095509979118834,False,0.19166666666666665,True,False,0.45894410712510525,0.19166666666666665,True,-16.714999556998126,1.6810784035759203,-21.409945446604247,True,forward_only_adequate
1,-34.194377269678235,5.709535134744567,-23.417369056293353,-43.478718409205236,43.99175677517596,0.001,1.0,24,39.0,0.9713116898200298,0.018808954499091743,False,0.5064356028269686,False,0.1743055555555556,True,False,0.35187530862684957,0.1743055555555556,True,-16.244101583639157,1.6889394061588472,-21.886231980503002,True,forward_only_adequate
2,-38.5789056723321,4.6608821944138255,-30.205005998874725,-46.45990676125976,46.01507023616734,0.001,1.0,24,38.458333333333336,1.0089051186493525,0.02386095894921103,False,0.5151392591494964,False,0.14722222222222214,True,False,0.3832534067066733,0.14722222222222214,True,-16.22301142299694,1.6735048765987302,-20.820804720373488,True,forward_only_adequate
3,-33.66391122197626,5.353203070720237,-25.14872237644284,-42.64198186195691,44.0468252766637,0.001,1.0,24,38.291666666666664,0.9636553857523207,0.0568787127122709,False,0.540523869668288,False,0.16736111111111118,True,False,0.3490354193283257,0.16736111111111118,True,-15.783473651034427,1.6872493329785188,-22.0626540812045,True,forward_only_adequate
4,-43.31360658917274,4.426589374042258,-35.59173121798813,-49.63275273942703,42.667285206143504,0.001,1.0,24,39.083333333333336,0.9430740953781934,0.006680195958741818,False,0.4766516315415355,False,0.21319444444444446,True,False,0.45837978164310417,0.21319444444444446,True,-16.32340478822996,1.6592962441788563,-20.484777861128244,True,forward_only_adequate
5,-36.27176838861872,4.3619570845630555,-28.640570691476672,-42.79223378806153,43.18471005285845,0.001,1.0,24,40.25,0.9686523956608836,0.007918605621758654,False,0.5367789214389955,False,0.1625000000000001,True,False,0.37513712015918665,0.1625000000000001,True,-16.62120730867014,1.6742182023463152,-21.510118821556453,True,forward_only_adequate
6,-39.38528822731619,4.433036518527379,-31.57651594350112,-47.077234923662296,45.761594302381525,0.001,1.0,24,37.291666666666664,0.9880116143623765,0.014896917631215966,False,0.5170841758268779,False,0.17013888888888884,True,False,0.39968867898388577,0.17013888888888884,True,-16.408966243966383,1.6459537191956628,-21.467245896707933,True,forward_only_adequate
7,-37.986217794125956,4.15725680600521,-30.989596094357985,-45.540505285712264,44.39098760282572,0.001,1.0,24,38.5,0.9738233383399022,0.0728362841701444,False,0.49989458726672437,False,0.15347222222222212,True,False,0.391065308172595,0.15347222222222212,True,-16.000734493417802,1.650567853948594,-22.5832618232821,True,forward_only_adequate
8,-42.005750779229466,4.726711709745806,-33.732691404308774,-49.68984407573132,44.73115406240559,0.001,1.0,24,37.708333333333336,0.9711443287908822,0.05150075505059103,False,0.4937574355984756,False,0.1597222222222222,True,False,0.433048831180648,0.1597222222222222,True,-16.01273295713759,1.6505237664690224,-22.800221750217375,True,forward_only_adequate
9,-34.570207945535174,4.257173171534889,-27.472754326459764,-41.85452956730279,46.09114178388168,0.001,1.0,24,37.5,0.9979024918567987,0.031835081426384484,False,0.5349519713031738,False,0.18055555555555558,True,False,0.3459800118741109,0.18055555555555558,True,-16.092547895900662,1.6503012256502734,-21.58769004265576,True,forward_only_adequate
