replicate,inference_route,calibration,route_valid,route_reason,beta_hat,se,ucb,lcb,beta_min,p_infer_less,p_infer_greater,p_rand_less,p_rand_greater,p_seq_less,p_seq_greater,log_e_seq_less,log_e_seq_greater,n_evalue_terms,n_evalue_participants,evalue_fold_term_counts,evalue_fold_participant_counts,infer_neg_pass,infer_pos_pass,magnitude_neg_pass,magnitude_pos_pass,component_disagreement,sigma_tau_design,sigma_tau_eff,N,N_eligible,N_estimable,N_nonestimable,nonestimable_fraction,nonestimable_reasons,median_leverage_fraction,min_leverage_fraction_estimable,estimability_summary_max_smd,estimability_summary_fired,estimability_information_sufficient,estimability_support_passed,estimability_opposite_passed,estimability_adequacy_passed,estimability_conclusion_changing,nonestimable_abs_bound_sum,support_ucb_upper,eligible_lcb_lower,eligible_ucb_upper,nbar_ret,sigma_blind,leak_excursion,leak_fired,delivery_p99_ms,delivery_fired,retention_imbalance,retention_fired,balance_fired,gate_required,gate_audited,gate_passed,gate_applicable,collider_inter_z,collider_inter_p,collider_inter_valid,collider_inter_fired,collider_smd,collider_smd_min_p,collider_smd_valid,collider_smd_fired,collider_rank_z,collider_invalid,collider_fired,decision
0,assignment_isolation,plus_one_randomisation,True,ok,-72.56724923659162,3.4363874724170254,-65.85376623118027,-78.36736998242152,32.148702201099645,0.001,1.0,0.001,1.0,,,,,0,0,[],[],True,False,True,False,False,0.007071067811865475,0.007101828362457645,24,24,24,0,0.0,{},0.8017933723196882,0.6908914728682171,0.0,False,True,True,False,False,False,0.0,-65.85376623118027,-78.36736998242152,-65.85376623118027,94.83333333333333,1.1116911033873167,0.013388546595696887,False,0.502098627512795,False,0.027430555555555625,False,False,0.6113128541226424,0.027430555555555625,True,True,-1.8301591102219847,0.06722615014960745,True,False,0.08957638810934132,0.4672883178117491,True,False,-10.700556228570774,False,False,supported
1,assignment_isolation,plus_one_randomisation,True,ok,-79.59253538231927,3.292631530456105,-74.01332159436419,-85.11702501990352,32.679023696667684,0.001,1.0,0.001,1.0,,,,,0,0,[],[],True,False,True,False,False,0.007071067811865475,0.0071297929697194595,24,24,24,0,0.0,{},0.81872852233677,0.7454071969696969,0.0,False,True,True,False,False,False,0.0,-74.01332159436419,-85.11702501990352,-74.01332159436419,96.20833333333333,1.1426739915217015,0.037981830808210805,False,0.4962097859805187,False,0.048958333333333326,False,False,0.6380662838905918,0.048958333333333326,True,True,-0.17608076815762302,0.8602304896457219,True,False,0.14474628587192712,0.14499756726206786,True,False,-11.4756059271916,False,False,supported
2,assignment_isolation,plus_one_randomisation,True,ok,-76.26123801227595,4.074182337828972,-68.91537166363568,-83.07899407543762,33.198645992052484,0.001,1.0,0.001,1.0,,,,,0,0,[],[],True,False,True,False,False,0.007071067811865475,0.0070783533403747986,24,24,24,0,0.0,{},0.7987280701754385,0.7370879120879119,0.0,False,True,True,False,False,False,0.0,-68.91537166363568,-83.07899407543762,-68.91537166363568,96.41666666666667,1.1537153483965783,0.015615412529948029,False,0.5213177718898778,False,0.012499999999999956,False,False,0.6165697978208278,0.012499999999999956,True,True,-1.4100431047684086,0.15852695544651407,True,False,0.16649383061035067,0.2724971129146695,True,False,-10.796130511704476,False,False,supported
3,assignment_isolation,plus_one_randomisation,True,ok,-74.1913284060143,3.8042507552463447,-67.75786154037662,-80.98570317127692,33.012586619914345,0.001,1.0,0.001,1.0,,,,,0,0,[],[],True,False,True,False,False,0.007071067811865475,0.007135627057999846,24,24,24,0,0.0,{},0.8047371565113499,0.7447010869565218,0.0,False,True,True,False,False,False,0.0,-67.75786154037662,-80.98570317127692,-67.75786154037662,94.83333333333333,1.1469968091560137,0.017199414096328233,False,0.5238406088461296,False,0.024652777777777746,False,False,0.6074640261200402,0.024652777777777746,True,True,0.44492354137481926,0.6563750093501488,True,False,0.14678075396810625,0.17979806598809714,True,False,-9.885519354230645,False,False,supported
4,assignment_isolation,plus_one_randomisation,True,ok,-80.09411356611207,4.83811406421729,-72.0726880116026,-88.07336476267294,33.960004739215194,0.001,1.0,0.001,1.0,,,,,0,0,[],[],True,False,True,False,False,0.007071067811865475,0.006984812103101121,24,24,24,0,0.0,{},0.7946211734693877,0.6909574468085108,0.0,False,True,True,False,False,False,0.0,-72.0726880116026,-88.07336476267294,-72.0726880116026,97.29166666666667,1.169850313705813,0.0012223492343731732,False,0.5294019806767872,False,0.03472222222222221,False,False,0.631083452249373,0.03472222222222221,True,True,-0.6864269766057632,0.4924438979608263,True,False,0.246375396624485,0.06627261930413748,True,False,-12.458250745812293,False,False,supported
5,assignment_isolation,plus_one_randomisation,True,ok,-76.20719332603234,3.5488402515996067,-69.82380098399221,-82.01325918680341,32.73640519357253,0.001,1.0,0.001,1.0,,,,,0,0,[],[],True,False,True,False,False,0.007071067811865475,0.007072881291374491,24,24,24,0,0.0,{},0.7941585913910538,0.7372340425531914,0.0,False,True,True,False,False,False,0.0,-69.82380098399221,-82.01325918680341,-69.82380098399221,96.29166666666667,1.1360350029634119,0.006449453688995309,False,0.500534669204472,False,0.032638888888888884,False,False,0.622694188171593,0.032638888888888884,True,True,0.3553530739949255,0.7223250992051649,True,False,0.11806947593361843,0.20766672893617252,True,False,-11.451358955104313,False,False,supported
6,assignment_isolation,plus_one_randomisation,True,ok,-69.66135455906637,4.053057249183295,-63.442142514360974,-76.6312509839506,32.72745673533707,0.001,1.0,0.001,1.0,,,,,0,0,[],[],True,False,True,False,False,0.007071067811865475,0.007070454939912283,24,24,24,0,0.0,{},0.7865618556701033,0.6992673992673993,0.0,False,True,True,False,False,False,0.0,-63.442142514360974,-76.6312509839506,-63.442142514360974,94.79166666666667,1.1264572129246102,0.02715853645705779,False,0.5366302109608269,False,0.02604166666666674,False,False,0.5882818507311042,0.02604166666666674,True,True,-1.9801810834232736,0.047683184659139566,True,False,0.1642795258822605,0.03830330895246305,True,False,-11.883323161936122,False,False,supported
7,assignment_isolation,plus_one_randomisation,True,ok,-77.39475774024946,3.2531195941415394,-72.00295624374463,-82.94036508744887,33.222269418099174,0.001,1.0,0.001,1.0,,,,,0,0,[],[],True,False,True,False,False,0.007071067811865475,0.007060093572928723,24,24,24,0,0.0,{},0.7929143460915589,0.7159003831417624,0.0,False,True,True,False,False,False,0.0,-72.00295624374463,-82.94036508744887,-72.00295624374463,95.45833333333333,1.1458207455346923,0.0056629118528832975,False,0.5472723771849061,False,0.024652777777777746,False,False,0.625536921982032,0.024652777777777746,True,True,-0.24492287479481414,0.8065161494935784,True,False,0.12195902255198475,0.14989685029182662,True,False,-12.04212018022763,False,False,supported
8,assignment_isolation,plus_one_randomisation,True,ok,-71.5928743371432,3.621321948173681,-64.43762317596642,-77.35684338456825,32.21945948454097,0.001,1.0,0.001,1.0,,,,,0,0,[],[],True,False,True,False,False,0.007071067811865475,0.007090119159964062,24,24,24,0,0.0,{},0.8268795289855072,0.6954212454212452,0.0,False,True,True,False,False,False,0.0,-64.43762317596642,-77.35684338456825,-64.43762317596642,97.0,1.1249355877803862,0.03678058073094969,False,0.5172412819022736,False,0.023263888888888862,False,False,0.6005789613967822,0.023263888888888862,True,True,0.3897760833039434,0.6967021305594834,True,False,0.22583154256038251,0.03032421007676639,True,False,-10.845626986122546,False,False,supported
9,assignment_isolation,plus_one_randomisation,True,ok,-71.79218252227145,3.437133383157409,-65.74816245143737,-77.33938163069244,31.594541234832384,0.001,1.0,0.001,1.0,,,,,0,0,[],[],True,False,True,False,False,0.007071067811865475,0.0070952125204729165,24,24,24,0,0.0,{},0.804904990842491,0.7053370786516855,0.0,False,True,True,False,False,False,0.0,-65.74816245143737,-77.33938163069244,-65.74816245143737,95.20833333333333,1.09366659589892,0.03184989837034949,False,0.49947958121672537,False,0.02083333333333337,False,False,0.613667438529335,0.02083333333333337,True,True,-1.2660540358531251,0.2054937370564207,True,False,0.24773689154197326,0.033289929549481,True,False,-10.884842166214225,False,False,supported
