replicate,inference_route,calibration,route_valid,route_reason,beta_hat,se,ucb,lcb,beta_min,p_infer_less,p_infer_greater,p_rand_less,p_rand_greater,p_seq_less,p_seq_greater,log_e_seq_less,log_e_seq_greater,n_evalue_terms,n_evalue_participants,evalue_fold_term_counts,evalue_fold_participant_counts,infer_neg_pass,infer_pos_pass,magnitude_neg_pass,magnitude_pos_pass,component_disagreement,sigma_tau_design,sigma_tau_eff,N,N_eligible,N_estimable,N_nonestimable,nonestimable_fraction,nonestimable_reasons,median_leverage_fraction,min_leverage_fraction_estimable,estimability_summary_max_smd,estimability_summary_fired,estimability_information_sufficient,estimability_support_passed,estimability_opposite_passed,estimability_adequacy_passed,estimability_conclusion_changing,nonestimable_abs_bound_sum,support_ucb_upper,eligible_lcb_lower,eligible_ucb_upper,nbar_ret,sigma_blind,leak_excursion,leak_fired,delivery_p99_ms,delivery_fired,retention_imbalance,retention_fired,balance_fired,gate_required,gate_audited,gate_passed,gate_applicable,collider_inter_z,collider_inter_p,collider_inter_valid,collider_inter_fired,collider_smd,collider_smd_min_p,collider_smd_valid,collider_smd_fired,collider_rank_z,collider_invalid,collider_fired,decision
0,assignment_isolation,plus_one_randomisation,True,ok,26.481656758183714,3.8931602698248002,33.06902016218389,19.175267320617237,29.16824790238164,1.0,0.001,1.0,0.001,,,,,0,0,[],[],False,True,False,False,True,0.007071067811865475,0.007043875794311146,24,24,24,0,0.0,{},0.8000792079207919,0.6916666666666667,0.0,False,True,False,False,False,False,0.0,33.06902016218389,19.175267320617237,33.06902016218389,95.66666666666667,1.0047831817354402,0.01183065726475408,False,0.497370478777384,False,0.018749999999999933,False,False,0.25666431233977294,0.018749999999999933,True,False,0.06582513106787137,0.9475170479247204,True,False,0.1004815611193906,0.2839652128383754,True,False,3.1449486517917493,False,False,inconclusive
1,assignment_isolation,plus_one_randomisation,True,ok,39.02129204679613,3.7409501185875014,45.87252547396698,32.63457967848864,29.66172293741125,1.0,0.001,1.0,0.001,,,,,0,0,[],[],False,True,False,True,False,0.007071067811865475,0.007087650734832412,24,24,24,0,0.0,{},0.816129288710121,0.6791176470588235,0.0,False,True,False,True,False,False,0.0,45.87252547396698,32.63457967848864,45.87252547396698,96.91666666666667,1.034827403564843,0.012869630877117585,False,0.4989673297170608,False,0.015277777777777724,False,False,0.37783048249308093,0.015277777777777724,True,True,1.5702533386530164,0.11635618501216553,True,False,0.17592070126584822,0.027021305067068888,True,False,6.893839102450978,False,False,opposite_direction
2,assignment_isolation,plus_one_randomisation,True,ok,24.502185663011186,4.085438246777555,32.015673778038604,18.36384332834897,29.541479278391243,1.0,0.001,1.0,0.001,,,,,0,0,[],[],False,True,False,False,True,0.007071067811865475,0.007065655808709564,24,24,24,0,0.0,{},0.8053357712765958,0.7105311355311357,0.0,False,True,False,False,False,False,0.0,32.015673778038604,18.36384332834897,32.015673778038604,96.0,1.0225636189392175,0.019626265913200224,False,0.5258621201171247,False,0.028124999999999956,False,False,0.2304159441729577,0.028124999999999956,True,False,0.3676021367665627,0.7131699213171996,True,False,0.10526603401291681,0.2832087263687607,True,False,3.6191985427082227,False,False,inconclusive
3,assignment_isolation,plus_one_randomisation,True,ok,28.971874779401986,2.984458068073076,34.351050279528096,23.94306860349797,29.52823577262923,1.0,0.001,1.0,0.001,,,,,0,0,[],[],False,True,False,False,True,0.007071067811865475,0.007076478342415597,24,24,24,0,0.0,{},0.7992234674768783,0.6704212454212453,0.0,False,True,False,False,False,False,0.0,34.351050279528096,23.943068603497967,34.351050279528096,95.79166666666667,1.022559412895908,0.004936714774301061,False,0.47247468892288863,False,0.021180555555555536,False,False,0.2782625920447767,0.021180555555555536,True,False,1.0300899367578966,0.3029677887422326,True,False,0.10239362090001368,0.40444392264274426,True,False,4.914376973422196,False,False,inconclusive
4,assignment_isolation,plus_one_randomisation,True,ok,29.334884596044493,3.779153480367775,35.16210629817961,22.141523281894173,30.631652135910027,1.0,0.001,1.0,0.001,,,,,0,0,[],[],False,True,False,False,True,0.007071067811865475,0.007040246448857254,24,24,24,0,0.0,{},0.7789399685459467,0.7018981481481481,0.0,False,True,False,False,False,False,0.0,35.16210629817961,22.141523281894177,35.16210629817961,94.66666666666667,1.0491240202851246,0.003722433009334155,False,0.5217271464507466,False,0.023611111111111138,False,False,0.27421423580804855,0.023611111111111138,True,False,0.4901058663608103,0.6240589871217936,True,False,0.09043684657388515,0.29376518410378577,True,False,5.449940361452855,False,False,inconclusive
5,assignment_isolation,plus_one_randomisation,True,ok,27.26468345238636,3.540405958345552,33.250124331177915,21.387072983486114,30.49678112759158,1.0,0.001,1.0,0.001,,,,,0,0,[],[],False,True,False,False,True,0.007071067811865475,0.007069363218753962,24,24,24,0,0.0,{},0.7893719125859107,0.7232558139534883,0.0,False,True,False,False,False,False,0.0,33.250124331177915,21.38707298348611,33.250124331177915,95.08333333333333,1.0511301719167558,0.026283313980674194,False,0.495475193860948,False,0.02499999999999991,False,False,0.2520953999760098,0.02499999999999991,True,False,-1.9951154906544624,0.046030285233972734,True,False,0.27051128347461656,0.023268869114433658,True,False,3.0232618905377273,False,False,inconclusive
6,assignment_isolation,plus_one_randomisation,True,ok,28.72405853678562,3.292220488978039,33.991334492973735,22.2568238278902,30.24251781829116,1.0,0.001,1.0,0.001,,,,,0,0,[],[],False,True,False,False,True,0.007071067811865475,0.007051675037583574,24,24,24,0,0.0,{},0.7810606060606062,0.7087912087912087,0.0,False,True,False,False,False,False,0.0,33.991334492973735,22.2568238278902,33.991334492973735,95.0,1.0393026692010556,0.009890426062386512,False,0.5243845401496112,False,0.02430555555555558,False,False,0.27068429192748944,0.02430555555555558,True,False,0.9393201591576648,0.34756639142039714,True,False,0.08212234898727579,0.4183673910506836,True,False,3.6851596945194416,False,False,inconclusive
7,assignment_isolation,plus_one_randomisation,True,ok,30.60624840329673,3.724012515502827,36.604154680476405,23.689422995165078,29.50522918811218,1.0,0.001,1.0,0.001,,,,,0,0,[],[],False,True,False,False,True,0.007071067811865475,0.007119281608054054,24,24,24,0,0.0,{},0.8252371070440376,0.7067204301075269,0.0,False,True,False,False,False,False,0.0,36.604154680476405,23.689422995165078,36.604154680476405,96.875,1.0337392984458964,0.022192943453162164,False,0.5290711035803263,False,0.02777777777777779,False,False,0.2921163872882496,0.02777777777777779,True,False,0.92665093028576,0.354107802460948,True,False,0.1820038074065779,0.16800039301244798,True,False,4.942216435005195,False,False,inconclusive
8,assignment_isolation,plus_one_randomisation,True,ok,32.680694705854826,3.867832715969501,39.20362009934802,25.543878532555595,29.822792238592363,1.0,0.001,1.0,0.001,,,,,0,0,[],[],False,True,False,False,True,0.007071067811865475,0.007050878611269466,24,24,24,0,0.0,{},0.8066025504404659,0.7409498207885306,0.0,False,True,False,False,False,False,0.0,39.20362009934802,25.543878532555595,39.20362009934802,96.625,1.033490047375119,0.0026358404036562234,False,0.5187023401924512,False,0.035069444444444486,False,False,0.3138532835774448,0.035069444444444486,True,False,1.6651645913653261,0.09587992312406188,True,False,0.20646094448687097,0.027541011033301227,True,False,4.9942509769260255,False,False,inconclusive
9,assignment_isolation,plus_one_randomisation,True,ok,24.864757484907916,3.69429734486513,30.971487035185397,18.562035818950143,29.51450268729926,1.0,0.001,1.0,0.001,,,,,0,0,[],[],False,True,False,False,True,0.007071067811865475,0.007064376226523793,24,24,24,0,0.0,{},0.7757067572892042,0.7159498207885303,0.0,False,True,False,False,False,False,0.0,30.9714870351854,18.562035818950143,30.9714870351854,94.08333333333333,1.011196697297479,0.004800544991596988,False,0.5282121123493984,False,0.011458333333333348,False,False,0.23730432852213978,0.011458333333333348,True,False,1.3043078684740494,0.19212863357748422,True,False,0.19431556476509282,0.07247217941405261,True,False,3.122724860962741,False,False,inconclusive
10,assignment_isolation,plus_one_randomisation,True,ok,30.95668745483826,4.466993078700659,39.74306408309847,23.34589522571115,29.964463445817227,1.0,0.001,1.0,0.001,,,,,0,0,[],[],False,True,False,False,True,0.007071067811865475,0.007090627472630203,24,24,24,0,0.0,{},0.8162450031559015,0.6748062015503876,0.0,False,True,False,False,False,False,0.0,39.74306408309847,23.34589522571115,39.74306408309847,96.83333333333333,1.045378634748612,0.001168848033863325,False,0.5123889022499035,False,0.018750000000000044,False,False,0.29217684641119446,0.018750000000000044,True,False,0.7442793871095116,0.4567074689703913,True,False,0.1620660596542273,0.08495125228785384,True,False,4.8038707490823045,False,False,inconclusive
11,assignment_isolation,plus_one_randomisation,True,ok,30.433647641604136,4.1605466777508475,38.10774360986342,24.050654903253797,28.86445230621121,1.0,0.001,1.0,0.001,,,,,0,0,[],[],False,True,False,False,True,0.007071067811865475,0.007043120620109288,24,24,24,0,0.0,{},0.7808696472363704,0.6954166666666667,0.0,False,True,False,False,False,False,0.0,38.10774360986342,24.050654903253797,38.10774360986342,95.58333333333333,0.9937783650213786,0.016596533198277405,False,0.5315643836258637,False,0.029861111111111116,False,False,0.3031162326177621,0.029861111111111116,True,False,0.6914380541914706,0.4892902966558711,True,False,0.18960768553446639,0.01554757828367716,True,False,3.9290949843593324,False,False,inconclusive
