replicate,inference_route,calibration,route_valid,route_reason,beta_hat,se,ucb,lcb,beta_min,p_infer_less,p_infer_greater,p_rand_less,p_rand_greater,p_seq_less,p_seq_greater,log_e_seq_less,log_e_seq_greater,n_evalue_terms,n_evalue_participants,evalue_fold_term_counts,evalue_fold_participant_counts,infer_neg_pass,infer_pos_pass,magnitude_neg_pass,magnitude_pos_pass,component_disagreement,sigma_tau_design,sigma_tau_eff,N,N_eligible,N_estimable,N_nonestimable,nonestimable_fraction,nonestimable_reasons,median_leverage_fraction,min_leverage_fraction_estimable,estimability_summary_max_smd,estimability_summary_fired,estimability_information_sufficient,estimability_support_passed,estimability_opposite_passed,estimability_adequacy_passed,estimability_conclusion_changing,nonestimable_abs_bound_sum,support_ucb_upper,eligible_lcb_lower,eligible_ucb_upper,nbar_ret,sigma_blind,leak_excursion,leak_fired,delivery_p99_ms,delivery_fired,retention_imbalance,retention_fired,balance_fired,gate_required,gate_audited,gate_passed,gate_applicable,collider_inter_z,collider_inter_p,collider_inter_valid,collider_inter_fired,collider_smd,collider_smd_min_p,collider_smd_valid,collider_smd_fired,collider_rank_z,collider_invalid,collider_fired,decision
0,sequential_evalue,martingale_evalue,True,ok,8.456427959288003,5.060404582162331,19.164002275343705,0.6400336629192802,33.52676967104159,1.0,0.6023772621003513,,,1.0,0.6023772621003513,-0.7246264261504187,0.5068713487261783,2234,24,"[456, 466, 471, 462, 379]","[5, 5, 5, 5, 4]",False,False,False,False,False,0.007071067811865475,0.006953633679347516,24,24,24,0,0.0,{},0.7897844405745207,0.702714758733066,0.0,False,True,False,False,True,False,0.0,19.164002275343705,0.6400336629192802,19.164002275343705,93.08333333333333,1.1246295403844588,0.02543819405550866,False,1.2519206105746443,False,0.011111111111111072,False,False,0.057302960535372593,0.011111111111111072,False,False,0.7011775798345737,0.4831921997628592,True,False,0.1469528129743542,0.20277920256394324,True,False,1.6246335897725648,False,False,forward_only_adequate
1,sequential_evalue,martingale_evalue,True,ok,13.199149268651828,4.5605828239810835,23.397802368995485,6.1161033217937115,34.85614966977807,1.0,0.35745999333534373,,,1.0,0.35745999333534373,-1.6438545291028932,1.028731829864386,2231,24,"[490, 457, 446, 462, 376]","[5, 5, 5, 5, 4]",False,False,False,False,False,0.007071067811865475,0.006995262995981094,24,24,24,0,0.0,{},0.7874879218088942,0.6895779219092398,0.0,False,True,False,False,True,False,0.0,23.397802368995485,6.1161033217937115,23.397802368995485,92.95833333333333,1.1754323182744384,0.0021842472942162046,False,1.278175941278413,False,0.02777777777777779,False,False,0.092262768999915,0.02777777777777779,True,False,-0.07455684295574083,0.9405673128363705,True,False,0.26952029885738565,0.024778024044428307,True,False,1.7618722123208879,False,False,forward_only_adequate
2,sequential_evalue,martingale_evalue,True,ok,13.966387882741282,4.522366111229143,22.010164487786028,6.179411093146322,35.01391101430093,1.0,0.024292384362770113,,,1.0,0.024292384362770113,-1.5854720386953152,3.7175923784649485,2199,24,"[444, 463, 478, 451, 363]","[5, 5, 5, 5, 4]",False,True,False,False,True,0.007071067811865475,0.006927022085119224,24,24,24,0,0.0,{},0.7578216963921108,0.7100165412489661,0.0,False,True,False,False,True,False,0.0,22.010164487786028,6.179411093146322,22.010164487786028,91.625,1.1608181612649315,0.0031286536023899187,False,1.2478788873365518,False,0.02256944444444453,False,False,0.10014993190571259,0.02256944444444453,True,False,-0.10577011405848341,0.915764749273263,True,False,0.22741904630902746,0.1290965456864597,True,False,3.748489163448442,False,False,inconclusive
3,sequential_evalue,martingale_evalue,True,ok,9.285549571436752,3.4050075812003913,15.044876017045127,3.2229524129438696,34.66395755198877,1.0,0.9345071299123063,,,1.0,0.9345071299123063,-1.457971950391038,0.0677360224609368,2210,24,"[446, 464, 458, 468, 374]","[5, 5, 5, 5, 4]",False,False,False,False,False,0.007071067811865475,0.0070334426553758655,24,24,24,0,0.0,{},0.7727151741081945,0.7022909920522414,0.0,False,True,False,False,True,False,0.0,15.044876017045127,3.22295241294387,15.044876017045127,92.08333333333333,1.1697865280821194,0.03110432159057924,False,1.3030984763052464,False,0.03541666666666665,False,False,0.06110264913200658,0.03541666666666665,False,False,-1.1283360496434005,0.2591780243319245,True,False,0.12124937330239757,0.35457049607277513,True,False,0.45635800550836786,False,False,forward_only_adequate
4,sequential_evalue,martingale_evalue,True,ok,17.313679993807142,4.842201606617555,25.168839158553034,9.124566097457446,34.21284193847974,1.0,0.05318672314535637,,,1.0,0.05318672314535637,-1.7604874835447932,2.9339464787179597,2189,24,"[449, 457, 457, 470, 356]","[5, 5, 5, 5, 4]",False,False,False,False,False,0.007071067811865475,0.00704746819636571,24,24,24,0,0.0,{},0.7731229554988713,0.6400884327890853,0.0,False,True,False,False,True,False,0.0,25.168839158553038,9.124566097457446,25.168839158553038,91.20833333333333,1.1513557650896171,0.025797502038995057,False,1.298400056968049,False,0.012499999999999956,False,False,0.13047804574630198,0.012499999999999956,True,False,-1.2948656473462674,0.19536658087001935,True,False,0.20705119099282823,0.02714525655836974,True,False,3.3844298837759808,False,False,forward_only_adequate
5,sequential_evalue,martingale_evalue,True,ok,18.000440884640767,4.956075878733676,27.678304861788,10.643497167153608,33.6714981917138,1.0,0.14340524255984674,,,1.0,0.14340524255984674,-1.8233289713220513,1.9420807924901338,2213,24,"[456, 473, 465, 456, 363]","[5, 5, 5, 5, 4]",False,False,False,False,False,0.007071067811865475,0.0069607562527029,24,24,24,0,0.0,{},0.7714062935074517,0.6439665748975673,0.0,False,True,False,False,True,False,0.0,27.678304861787996,10.643497167153608,27.678304861787996,92.20833333333333,1.1253146093000899,0.003766425062010796,False,1.2043548146341874,False,0.029861111111111116,False,False,0.1403577274270783,0.029861111111111116,True,False,0.896762560784397,0.3698456297209184,True,False,0.17918635728578083,0.04516975229693471,True,False,3.995504986617452,False,False,forward_only_adequate
6,sequential_evalue,martingale_evalue,True,ok,18.16357135509777,3.6693020659177087,24.544998619701367,11.524104051825566,34.54071671726309,1.0,0.012432777573975668,,,1.0,0.012432777573975668,-1.8021447654009608,4.387418941143562,2222,24,"[473, 449, 465, 469, 366]","[5, 5, 5, 5, 4]",False,True,False,False,True,0.007071067811865475,0.006924795833233841,24,24,24,0,0.0,{},0.7773576478931339,0.6910840586909529,0.0,False,True,False,False,True,False,0.0,24.544998619701364,11.524104051825566,24.544998619701364,92.58333333333333,1.1507334277083725,0.011509005931539244,False,1.281606416361645,False,0.009027777777777746,False,False,0.13816898518551893,0.009027777777777746,True,False,0.6313731894973372,0.5277965418855436,True,False,0.13663822563704187,0.10473738689747698,True,False,4.812542360698069,False,False,inconclusive
7,sequential_evalue,martingale_evalue,True,ok,15.117747642736495,4.541624577734935,23.02896321947615,7.512247747234109,35.21061836486466,1.0,0.5072289272418686,,,1.0,0.5072289272418686,-1.7646270472370549,0.6787928442798754,2220,24,"[464, 458, 460, 467, 371]","[5, 5, 5, 5, 4]",False,False,False,False,False,0.007071067811865475,0.006968208015090551,24,24,24,0,0.0,{},0.7829825887960886,0.72039683519163,0.0,False,True,False,False,True,False,0.0,23.02896321947615,7.512247747234109,23.02896321947615,92.5,1.1798739962546339,0.011448233670016041,False,1.3012150501224915,False,0.036111111111111205,False,False,0.10792385350566333,0.036111111111111205,True,False,-2.0782904992695497,0.03768261098085609,True,False,0.17951483239163815,0.006034576189380091,True,False,1.4323879388271552,False,False,forward_only_adequate
8,sequential_evalue,martingale_evalue,True,ok,12.326008582312127,3.6056711991700965,18.684923162745438,6.310093080760205,34.118810098420525,1.0,0.23713438966790013,,,1.0,0.23713438966790013,-1.4024421558866635,1.439128253544042,2229,24,"[454, 458, 459, 488, 370]","[5, 5, 5, 5, 4]",False,False,False,False,False,0.007071067811865475,0.007006337679706271,24,24,24,0,0.0,{},0.7851452992002739,0.6770677724682449,0.0,False,True,False,False,True,False,0.0,18.684923162745438,6.310093080760205,18.684923162745438,92.875,1.15187236542125,0.0028447869614461473,False,1.3572313886465937,False,0.01909722222222232,False,False,0.08712502931686925,0.01909722222222232,True,False,0.5405122000102411,0.5888438497244046,True,False,0.15809542538192753,0.40889180739908404,True,False,2.0037474930666463,False,False,forward_only_adequate
9,sequential_evalue,martingale_evalue,True,ok,22.53655298577952,3.2877358567415746,28.503826181228426,17.190698532464506,33.802548849177356,1.0,0.0008364005912104477,,,1.0,0.0008364005912104477,-1.931896088832356,7.086402883558721,2223,24,"[468, 463, 446, 470, 376]","[5, 5, 5, 5, 4]",False,True,False,False,True,0.007071067811865475,0.006898080545028518,24,24,24,0,0.0,{},0.7767964230348361,0.7013708441365648,0.0,False,True,False,False,True,False,0.0,28.50382618122843,17.190698532464506,28.50382618122843,92.625,1.1220490050640115,0.021776408844961518,False,1.2572242776194527,False,0.025000000000000022,False,False,0.1833013130715112,0.025000000000000022,True,False,-0.3218184025489196,0.7475902721404393,True,False,0.08169769088265032,0.21968172960393137,True,False,4.245033012972271,False,False,inconclusive
