replicate,inference_route,calibration,route_valid,route_reason,beta_hat,se,ucb,lcb,beta_min,p_infer_less,p_infer_greater,p_rand_less,p_rand_greater,p_seq_less,p_seq_greater,log_e_seq_less,log_e_seq_greater,n_evalue_terms,n_evalue_participants,evalue_fold_term_counts,evalue_fold_participant_counts,infer_neg_pass,infer_pos_pass,magnitude_neg_pass,magnitude_pos_pass,component_disagreement,sigma_tau_design,sigma_tau_eff,N,N_eligible,N_estimable,N_nonestimable,nonestimable_fraction,nonestimable_reasons,median_leverage_fraction,min_leverage_fraction_estimable,estimability_summary_max_smd,estimability_summary_fired,estimability_information_sufficient,estimability_support_passed,estimability_opposite_passed,estimability_adequacy_passed,estimability_conclusion_changing,nonestimable_abs_bound_sum,support_ucb_upper,eligible_lcb_lower,eligible_ucb_upper,nbar_ret,sigma_blind,leak_excursion,leak_fired,delivery_p99_ms,delivery_fired,retention_imbalance,retention_fired,balance_fired,gate_required,gate_audited,gate_passed,gate_applicable,collider_inter_z,collider_inter_p,collider_inter_valid,collider_inter_fired,collider_smd,collider_smd_min_p,collider_smd_valid,collider_smd_fired,collider_rank_z,collider_invalid,collider_fired,decision
0,sequential_evalue,martingale_evalue,True,ok,0.717419872084974,2.8986131505061508,5.469868390072728,-4.1246874707254175,33.64218153192007,1.0,1.0,,,1.0,1.0,-0.6234778390072422,-0.7132180205996723,2207,24,"[466, 456, 451, 463, 371]","[5, 5, 5, 5, 4]",False,False,False,False,False,0.007071067811865475,0.00696924658047443,24,24,24,0,0.0,{},0.7829922991643673,0.7101887440490444,0.0,False,True,False,False,True,False,0.0,5.469868390072729,-4.1246874707254175,5.469868390072729,91.95833333333333,1.12417916143573,0.0011845037472602558,False,1.2679650759151295,False,0.026736111111111183,False,False,0.003374568565675149,0.026736111111111183,False,False,0.6059291503516323,0.5445618013917093,True,False,0.12030361538261959,0.25135755807322296,True,False,-0.24824005766735666,False,False,forward_only_adequate
1,sequential_evalue,martingale_evalue,True,ok,7.3666519051245265,2.7229127695295943,13.199163016305054,3.3406835056819997,33.535224936294256,1.0,1.0,,,1.0,1.0,-1.3918877300493595,-0.14487520233769802,2254,24,"[463, 476, 468, 478, 369]","[5, 5, 5, 5, 4]",False,False,False,False,False,0.007071067811865475,0.006949131545447969,24,24,24,0,0.0,{},0.7879281732110315,0.7061532686208066,0.0,False,True,False,False,True,False,0.0,13.199163016305056,3.3406835056819997,13.199163016305056,93.91666666666667,1.1292057888626785,0.004153859192689225,False,1.2750492012389392,False,0.012847222222222232,False,False,0.048439302102050164,0.012847222222222232,False,False,0.37459850821833973,0.7079590826540061,True,False,0.040663485002194064,0.3657310083682092,True,False,2.055112329961731,False,False,forward_only_adequate
2,sequential_evalue,martingale_evalue,True,ok,0.6894257832300644,3.211030195845314,7.89264018042073,-4.162913094962815,33.560428242205035,1.0,1.0,,,1.0,1.0,-0.928468258766443,-0.7918118441044446,2221,24,"[467, 468, 457, 457, 372]","[5, 5, 5, 5, 4]",False,False,False,False,False,0.007071067811865475,0.006989764585919892,24,24,24,0,0.0,{},0.7773884951067884,0.7185034766250434,0.0,False,True,False,False,True,False,0.0,7.89264018042073,-4.162913094962815,7.89264018042073,92.54166666666667,1.128310697535852,0.0033203864643892127,False,1.298928477745432,False,0.028124999999999956,False,False,0.003215199371468873,0.028124999999999956,False,False,-1.6771379534851476,0.09351550861284556,True,False,0.23988035614202877,0.009177965606621435,True,False,-1.371323148506789,False,False,forward_only_adequate
3,sequential_evalue,martingale_evalue,True,ok,-4.795542274672111,3.0401822991281313,-0.34337993858595794,-11.215107762938766,32.972687048461985,1.0,1.0,,,1.0,1.0,-0.1626136694999878,-1.2413154262685002,2224,24,"[463, 461, 475, 468, 357]","[5, 5, 5, 5, 4]",False,False,False,False,False,0.007071067811865475,0.007037619882249264,24,24,24,0,0.0,{},0.7816541319317618,0.6952106981896912,0.0,False,True,False,False,True,False,0.0,-0.34337993858595794,-11.215107762938766,-0.34337993858595794,92.66666666666667,1.1168939062856544,0.013403266250704576,False,1.1919246232832512,False,0.03541666666666665,False,False,0.029623562884453176,0.03541666666666665,False,False,-1.4355670098879352,0.15112558776344676,True,False,0.19133639007182016,0.09596780147700718,True,False,-0.6682872198446598,False,False,forward_only_adequate
4,sequential_evalue,martingale_evalue,True,ok,-3.38383067389745,3.1964670801958235,1.3187635647687572,-9.435020353537878,35.08420929517693,1.0,1.0,,,1.0,1.0,-0.744503926154904,-1.15952471980451,2246,24,"[465, 475, 464, 470, 372]","[5, 5, 5, 5, 4]",False,False,False,False,False,0.007071067811865475,0.006963159603446321,24,24,24,0,0.0,{},0.7831621251526605,0.7310831155741998,0.0,False,True,False,False,True,False,0.0,1.3187635647687572,-9.435020353537878,1.3187635647687572,93.58333333333333,1.1816457638544362,0.009889473050862253,False,1.33008968025076,False,0.018402777777777768,False,False,0.018498758199294876,0.018402777777777768,False,False,0.167472746837324,0.8669980895452118,True,False,0.10168522622693682,0.3935641180856573,True,False,0.6867671619923014,False,False,forward_only_adequate
5,sequential_evalue,martingale_evalue,True,ok,-0.5508939720282635,4.5379700611347795,10.582027125479204,-6.509512206000413,33.32712468321783,1.0,1.0,,,1.0,1.0,-0.4830796844383476,-0.4892299590371524,2253,24,"[462, 464, 476, 476, 375]","[5, 5, 5, 5, 4]",False,False,False,False,False,0.007071067811865475,0.006960438319085911,24,24,24,0,0.0,{},0.7870523202599198,0.7385702928527959,0.0,False,True,False,False,True,False,0.0,10.582027125479204,-6.509512206000413,10.582027125479204,93.875,1.1237751255418305,0.012602180494617398,False,1.2446174211093366,False,0.023611111111111138,False,False,0.002517780069555913,0.023611111111111138,False,False,-0.5056038695230604,0.6131347646076979,True,False,0.18836731844383378,0.08809686399535213,True,False,-0.23436261075897122,False,False,forward_only_adequate
6,sequential_evalue,martingale_evalue,True,ok,-2.512063502406932,3.23542363127751,2.564243626147458,-9.224767305421466,32.581090455790005,1.0,1.0,,,1.0,1.0,-0.4282379695546352,-0.9435770400784953,2225,24,"[443, 479, 475, 458, 370]","[5, 5, 5, 5, 4]",False,False,False,False,False,0.007071067811865475,0.007057097630705965,24,24,24,0,0.0,{},0.7747244458327623,0.7121318494777391,0.0,False,True,False,False,True,False,0.0,2.564243626147458,-9.224767305421466,2.564243626147458,92.70833333333333,1.1069324840067856,0.015553141891144913,False,1.276376077690264,False,0.023611111111111138,False,False,0.014150311184897917,0.023611111111111138,False,False,-2.4654522407768975,0.013684041633265934,True,False,0.2447844455239601,0.048272401098353034,True,False,-0.49954743082248276,False,False,forward_only_adequate
7,sequential_evalue,martingale_evalue,True,ok,2.822678779280555,2.8723691539174294,7.878238432488168,-2.3642747830994773,33.65936575744888,1.0,1.0,,,1.0,1.0,-1.1059154370599003,-0.7153231694988638,2246,24,"[477, 452, 480, 466, 371]","[5, 5, 5, 5, 4]",False,False,False,False,False,0.007071067811865475,0.006976364935616494,24,24,24,0,0.0,{},0.7812592277159057,0.7308476963566908,0.0,False,True,False,False,True,False,0.0,7.878238432488168,-2.3642747830994773,7.878238432488168,93.58333333333333,1.1358065748188455,0.003960676889541999,False,1.2720582133612124,False,0.015972222222222165,False,False,0.01570809509456978,0.015972222222222165,False,False,0.217308438786296,0.8279679810294337,True,False,0.15311116266663322,0.23130302687365153,True,False,1.0886049036212473,False,False,forward_only_adequate
8,sequential_evalue,martingale_evalue,True,ok,1.0008024520855965,3.9655878888504352,7.79283822500701,-5.971916163763629,33.859350749845156,1.0,1.0,,,1.0,1.0,-0.45298058806716907,-0.6200328865360336,2199,24,"[461, 451, 452, 469, 366]","[5, 5, 5, 5, 4]",False,False,False,False,False,0.007071067811865475,0.006992850017473695,24,24,24,0,0.0,{},0.7634810472214468,0.7103673810178369,0.0,False,True,False,False,True,False,0.0,7.79283822500701,-5.971916163763628,7.79283822500701,91.625,1.1332085381620938,0.04067007083815499,False,1.2938143376518627,False,0.015625,False,False,0.004851341457383394,0.015625,False,False,0.4404047143389011,0.6596440110673623,True,False,0.19790223842570198,0.05221600077514495,True,False,-0.11111736715676611,False,False,forward_only_adequate
9,sequential_evalue,martingale_evalue,True,ok,6.175670478373754,2.0737919709366506,9.713254212624934,2.782382717382293,32.40604388549711,1.0,1.0,,,1.0,1.0,-1.3905382012910639,-0.4719986427259457,2236,24,"[456, 472, 470, 473, 365]","[5, 5, 5, 5, 4]",False,False,False,False,False,0.007071067811865475,0.007054866501427698,24,24,24,0,0.0,{},0.7727777783397578,0.7199639856750231,0.0,False,True,False,False,True,False,0.0,9.713254212624934,2.782382717382293,9.713254212624934,93.16666666666667,1.1033545719945566,0.007886912450626681,False,1.3295240537148219,False,0.032638888888888884,False,False,0.04043271780669134,0.032638888888888884,False,False,0.07340560808780085,0.9414833550286257,True,False,0.31511615953908223,0.050041914977399266,True,False,0.6702705136604664,False,False,forward_only_adequate
