replicate,inference_route,calibration,route_valid,route_reason,beta_hat,se,ucb,lcb,beta_min,p_infer_less,p_infer_greater,p_rand_less,p_rand_greater,p_seq_less,p_seq_greater,log_e_seq_less,log_e_seq_greater,n_evalue_terms,n_evalue_participants,evalue_fold_term_counts,evalue_fold_participant_counts,infer_neg_pass,infer_pos_pass,magnitude_neg_pass,magnitude_pos_pass,component_disagreement,sigma_tau_design,sigma_tau_eff,N,N_eligible,N_estimable,N_nonestimable,nonestimable_fraction,nonestimable_reasons,median_leverage_fraction,min_leverage_fraction_estimable,estimability_summary_max_smd,estimability_summary_fired,estimability_information_sufficient,estimability_support_passed,estimability_opposite_passed,estimability_adequacy_passed,estimability_conclusion_changing,nonestimable_abs_bound_sum,support_ucb_upper,eligible_lcb_lower,eligible_ucb_upper,nbar_ret,sigma_blind,leak_excursion,leak_fired,delivery_p99_ms,delivery_fired,retention_imbalance,retention_fired,balance_fired,gate_required,gate_audited,gate_passed,gate_applicable,collider_inter_z,collider_inter_p,collider_inter_valid,collider_inter_fired,collider_smd,collider_smd_min_p,collider_smd_valid,collider_smd_fired,collider_rank_z,collider_invalid,collider_fired,decision
0,assignment_isolation,plus_one_randomisation,True,ok,-3.464236492980499,2.388323836022419,0.6281222229937078,-7.703438239070152,28.77399238931869,0.11,0.891,0.11,0.891,,,,,0,0,[],[],False,False,False,False,False,0.007071067811865475,0.007086681230464954,24,24,24,0,0.0,{},0.811781037414966,0.7374556737588652,0.0,False,True,False,False,True,False,0.0,0.6281222229937078,-7.703438239070152,0.6281222229937078,96.58333333333333,1.0019916944859724,0.007394296737929451,False,0.5062397996271661,False,0.03229166666666672,False,False,0.02360305086252783,0.03229166666666672,False,False,0.8318255863428738,0.405507399450873,True,False,0.1547393751376495,0.158818037382021,True,False,0.12727195706801725,False,False,forward_only_adequate
1,assignment_isolation,plus_one_randomisation,True,ok,3.8961280957073376,3.534889675081347,10.243607557369353,-2.271640668778113,29.287855643505026,0.913,0.088,0.913,0.088,,,,,0,0,[],[],False,False,False,False,False,0.007071067811865475,0.007062307333574595,24,24,24,0,0.0,{},0.808743858654573,0.6585294117647058,0.0,False,True,False,False,True,False,0.0,10.243607557369353,-2.271640668778113,10.243607557369353,95.66666666666667,1.0115433833773146,0.012213605820878808,False,0.5459870712361189,False,0.013541666666666563,False,False,0.026764486630754016,0.013541666666666563,False,False,-0.1278718963737496,0.8982503518782188,True,False,0.1676825363985353,0.1601991681293223,True,False,-0.3681052013369509,False,False,forward_only_adequate
2,assignment_isolation,plus_one_randomisation,True,ok,-5.7610376457014665,2.3338472083786312,-1.9613038864249588,-10.699689269884622,29.15339053630965,0.027,0.974,0.027,0.974,,,,,0,0,[],[],True,False,False,False,True,0.007071067811865475,0.007033675984928995,24,24,24,0,0.0,{},0.8020582703431633,0.6346590909090909,0.0,False,True,False,False,True,False,0.0,-1.9613038864249586,-10.699689269884622,-1.9613038864249586,96.25,1.005869875962976,0.026909026781267654,False,0.5361635058197215,False,0.03819444444444442,False,False,0.04260814575791825,0.03819444444444442,False,False,-0.726685017641971,0.4674189335655312,True,False,0.14897147540205172,0.2587562308437187,True,False,-1.9289833886606729,False,False,inconclusive
3,assignment_isolation,plus_one_randomisation,True,ok,1.6874904984778276,2.843759724719897,6.539183449697674,-3.2188503982733687,28.620467887558295,0.721,0.28,0.721,0.28,,,,,0,0,[],[],False,False,False,False,False,0.007071067811865475,0.007033867925249176,24,24,24,0,0.0,{},0.8079197303921568,0.6954166666666667,0.0,False,True,False,False,True,False,0.0,6.539183449697674,-3.218850398273369,6.539183449697674,96.125,0.9868681193981532,0.01894582344073749,False,0.5077357739583379,False,0.013194444444444509,False,False,0.0104988369776736,0.013194444444444509,False,False,1.2065711199448548,0.22759735444365836,True,False,0.1731851274841005,0.21669271123032002,True,False,0.015748059891289495,False,False,forward_only_adequate
4,assignment_isolation,plus_one_randomisation,True,ok,3.1877933319687926,3.3383172743328147,9.613403211280486,-2.307086809217012,29.25017835334421,0.861,0.14,0.861,0.14,,,,,0,0,[],[],False,False,False,False,False,0.007071067811865475,0.007084132557985525,24,24,24,0,0.0,{},0.7957894736842105,0.6681034482758619,0.0,False,True,False,False,True,False,0.0,9.613403211280486,-2.307086809217012,9.613403211280486,94.70833333333333,1.0082756962857595,8.620934970824403e-05,False,0.5103091997771104,False,0.01666666666666672,False,False,0.021276431906961157,0.01666666666666672,False,False,0.9671649679766497,0.3334615718139432,True,False,0.15718116753174613,0.14546451133332944,True,False,0.7185649994272734,False,False,forward_only_adequate
5,assignment_isolation,plus_one_randomisation,True,ok,-0.7070521707949912,2.8746043258457656,4.3408740939771695,-5.490389561432838,28.78888378822878,0.41,0.591,0.41,0.591,,,,,0,0,[],[],False,False,False,False,False,0.007071067811865475,0.007088294819997925,24,24,24,0,0.0,{},0.7994180343331445,0.6618773946360152,0.0,False,True,False,False,True,False,0.0,4.3408740939771695,-5.490389561432838,4.3408740939771695,94.125,0.9898949260952501,0.014024811170792259,False,0.5424440356317661,False,0.017708333333333326,False,False,0.003924185818214987,0.017708333333333326,False,False,0.23969499440300185,0.8105667157294045,True,False,0.2010243286612395,0.07094684261415232,True,False,-0.34513639533583534,False,False,forward_only_adequate
6,assignment_isolation,plus_one_randomisation,True,ok,-1.5144899984679994,3.5710221394054016,4.098739955467753,-8.354645341244149,28.871453041952655,0.299,0.702,0.299,0.702,,,,,0,0,[],[],False,False,False,False,False,0.007071067811865475,0.007057980678480594,24,24,24,0,0.0,{},0.8020614035087719,0.7019713261648745,0.0,False,True,False,False,True,False,0.0,4.098739955467753,-8.354645341244149,4.098739955467753,96.625,1.0015297734606454,0.014176447101179516,False,0.5017599059267862,False,0.008333333333333304,False,False,0.009128702311341108,0.008333333333333304,False,False,-0.9474384498735856,0.34341540616029653,True,False,0.1848292826352353,0.043135987271568976,True,False,-0.9191897785707813,False,False,forward_only_adequate
7,assignment_isolation,plus_one_randomisation,True,ok,-0.6506996956094925,3.317321675579667,5.200067485063476,-5.867778940751499,29.212642702659323,0.411,0.59,0.411,0.59,,,,,0,0,[],[],False,False,False,False,False,0.007071067811865475,0.00704739493094593,24,24,24,0,0.0,{},0.8034288194444444,0.6659176029962547,0.0,False,True,False,False,True,False,0.0,5.200067485063476,-5.867778940751499,5.200067485063476,95.41666666666667,1.0054988571122048,0.013881190489103419,False,0.4993462434068039,False,0.02777777777777768,False,False,0.003515305126942803,0.02777777777777768,False,False,-0.4598234318097525,0.6456429628654317,True,False,0.19027327169728497,0.0381409515473465,True,False,0.7105869625565168,False,False,forward_only_adequate
8,assignment_isolation,plus_one_randomisation,True,ok,-4.519908441027865,3.6074398260030396,2.262254376647224,-10.439289825795296,28.865574210739993,0.072,0.929,0.072,0.929,,,,,0,0,[],[],False,False,False,False,False,0.007071067811865475,0.007080414969997918,24,24,24,0,0.0,{},0.8010447885447886,0.6787306201550385,0.0,False,True,False,False,True,False,0.0,2.262254376647224,-10.439289825795296,2.262254376647224,96.95833333333333,1.006239792696779,0.0034438706316559002,False,0.5096046765493042,False,0.014930555555555558,False,False,0.03203057009385973,0.014930555555555558,False,False,-0.8591580238622718,0.3902533385011778,True,False,0.1919052646475733,0.16615629239327392,True,False,-0.2739077116591027,False,False,forward_only_adequate
9,assignment_isolation,plus_one_randomisation,True,ok,0.6487457862248385,3.0044394529599185,5.697521463482705,-4.577637628334463,29.107832574027103,0.587,0.414,0.587,0.414,,,,,0,0,[],[],False,False,False,False,False,0.007071067811865475,0.007074793596322049,24,24,24,0,0.0,{},0.7969059405940594,0.7409259259259259,0.0,False,True,False,False,True,False,0.0,5.697521463482705,-4.577637628334463,5.697521463482705,96.70833333333333,1.0125712586542863,0.013629154075272577,False,0.513227779043482,False,0.008333333333333415,False,False,0.0034763125613554106,0.008333333333333415,False,False,0.44589345553360504,0.6556742098529383,True,False,0.06720594474451513,0.5310407218724463,True,False,-1.0823448092301378,False,False,forward_only_adequate
