replicate,inference_route,calibration,route_valid,route_reason,beta_hat,se,ucb,lcb,beta_min,p_infer_less,p_infer_greater,p_rand_less,p_rand_greater,p_seq_less,p_seq_greater,log_e_seq_less,log_e_seq_greater,n_evalue_terms,n_evalue_participants,evalue_fold_term_counts,evalue_fold_participant_counts,infer_neg_pass,infer_pos_pass,magnitude_neg_pass,magnitude_pos_pass,component_disagreement,sigma_tau_design,sigma_tau_eff,N,N_eligible,N_estimable,N_nonestimable,nonestimable_fraction,nonestimable_reasons,median_leverage_fraction,min_leverage_fraction_estimable,estimability_summary_max_smd,estimability_summary_fired,estimability_information_sufficient,estimability_support_passed,estimability_opposite_passed,estimability_adequacy_passed,estimability_conclusion_changing,nonestimable_abs_bound_sum,support_ucb_upper,eligible_lcb_lower,eligible_ucb_upper,nbar_ret,sigma_blind,leak_excursion,leak_fired,delivery_p99_ms,delivery_fired,retention_imbalance,retention_fired,balance_fired,gate_required,gate_audited,gate_passed,gate_applicable,collider_inter_z,collider_inter_p,collider_inter_valid,collider_inter_fired,collider_smd,collider_smd_min_p,collider_smd_valid,collider_smd_fired,collider_rank_z,collider_invalid,collider_fired,decision
0,sequential_evalue,martingale_evalue,True,ok,-3.941954823148127,2.3099789451204322,-0.1540783057028574,-7.750157096042392,29.3871826690231,1.0,1.0,,,1.0,1.0,-0.6169566967237057,-1.211581564646388,2290,24,"[485, 458, 487, 467, 393]","[5, 5, 5, 5, 4]",False,False,False,False,False,0.007071067811865475,0.006984525585244217,24,24,24,0,0.0,{},0.8072024499669797,0.7311250376208722,0.0,False,True,False,False,True,False,0.0,-0.1540783057028574,-7.750157096042391,-0.1540783057028574,95.41666666666667,1.0024829379266114,0.007394296737929451,False,0.5062397996271661,False,0.03229166666666672,False,False,0.027418022779092777,0.03229166666666672,False,False,0.8318255863428738,0.405507399450873,True,False,0.1547393751376495,0.158818037382021,True,False,0.12727195706801725,False,False,forward_only_adequate
1,sequential_evalue,martingale_evalue,True,ok,3.635855770912491,3.5635560126813144,10.076212703229082,-2.1298288202130435,30.198582756833726,1.0,0.9251836373629795,,,1.0,0.9251836373629795,-0.9610607488430446,0.07776303429466819,2272,24,"[474, 491, 465, 470, 372]","[5, 5, 5, 5, 4]",False,False,False,False,False,0.007071067811865475,0.006890579813137749,24,24,24,0,0.0,{},0.8006432415443618,0.6989108886338835,0.0,False,True,False,False,True,False,0.0,10.076212703229082,-2.1298288202130435,10.076212703229082,94.66666666666667,1.0123038210499473,0.012213605820878808,False,0.5459870712361189,False,0.013541666666666563,False,False,0.024672527774324493,0.013541666666666563,False,False,-0.1278718963737496,0.8982503518782188,True,False,0.1676825363985353,0.1601991681293223,True,False,-0.3681052013369509,False,False,forward_only_adequate
2,sequential_evalue,martingale_evalue,True,ok,-4.407590902531371,2.2133693176658085,-1.2153050228620503,-9.26266082111136,29.553730956998805,1.0,1.0,,,1.0,1.0,-0.42811803312191865,-1.2388114731839515,2286,24,"[480, 490, 475, 453, 388]","[5, 5, 5, 5, 4]",False,False,False,False,False,0.007071067811865475,0.00697006842527425,24,24,24,0,0.0,{},0.8105466519178514,0.7228876469756411,0.0,False,True,False,False,True,False,0.0,-1.2153050228620503,-9.26266082111136,-1.2153050228620503,95.25,1.0051985501136091,0.026909026781267654,False,0.5361635058197215,False,0.03819444444444442,False,False,0.031138846287669254,0.03819444444444442,False,False,-0.726685017641971,0.4674189335655312,True,False,0.14897147540205172,0.2587562308437187,True,False,-1.9289833886606729,False,False,forward_only_adequate
3,sequential_evalue,martingale_evalue,True,ok,0.5271811009954547,3.074325290491674,5.785744312859614,-4.500625685536944,29.008476937525135,1.0,1.0,,,1.0,1.0,-0.9559456296139326,-0.8563504933748716,2282,24,"[467, 471, 483, 484, 377]","[5, 5, 5, 5, 4]",False,False,False,False,False,0.007071067811865475,0.0069716789728833575,24,24,24,0,0.0,{},0.8004469803850065,0.748577938307983,0.0,False,True,False,False,True,False,0.0,5.785744312859614,-4.500625685536944,5.785744312859614,95.08333333333333,0.9860172470044544,0.01894582344073749,False,0.5077357739583379,False,0.013194444444444509,False,False,0.002843079601963172,0.013194444444444509,False,False,1.2065711199448548,0.22759735444365836,True,False,0.1731851274841005,0.21669271123032002,True,False,0.015748059891289495,False,False,forward_only_adequate
4,sequential_evalue,martingale_evalue,True,ok,3.6389550597637474,3.449934508336877,9.867794980803977,-2.1771654900620123,29.901529725289848,1.0,1.0,,,1.0,1.0,-1.1280389643488917,-0.3759338356211822,2247,24,"[459, 470, 481, 483, 354]","[5, 5, 5, 5, 4]",False,False,False,False,False,0.007071067811865475,0.006963261158629347,24,24,24,0,0.0,{},0.7858025660776341,0.7154697671983942,0.0,False,True,False,False,True,False,0.0,9.867794980803977,-2.1771654900620123,9.867794980803977,93.625,1.0073305617048323,8.620934970824403e-05,False,0.5103091997771104,False,0.01666666666666672,False,False,0.024838912473752653,0.01666666666666672,False,False,0.9671649679766497,0.3334615718139432,True,False,0.15718116753174613,0.14546451133332944,True,False,0.7185649994272734,False,False,forward_only_adequate
5,sequential_evalue,martingale_evalue,True,ok,-0.8507414410228353,3.2033579127840794,4.7447412439957555,-6.087586768939693,29.485815933542305,1.0,1.0,,,1.0,1.0,-0.7120259178182774,-0.902863913307594,2233,24,"[470, 480, 463, 452, 368]","[5, 5, 5, 5, 4]",False,False,False,False,False,0.007071067811865475,0.006954357391999105,24,24,24,0,0.0,{},0.7842271609967193,0.7156261666289586,0.0,False,True,False,False,True,False,0.0,4.7447412439957555,-6.087586768939693,4.7447412439957555,93.04166666666667,0.9889603977350818,0.014024811170792259,False,0.5424440356317661,False,0.017708333333333326,False,False,0.004831220100436174,0.017708333333333326,False,False,0.23969499440300185,0.8105667157294045,True,False,0.2010243286612395,0.07094684261415232,True,False,-0.34513639533583534,False,False,forward_only_adequate
6,sequential_evalue,martingale_evalue,True,ok,-1.552165790334067,3.8015847604196873,4.0279591459345125,-9.825735992413088,29.479993461157367,1.0,1.0,,,1.0,1.0,-0.5692686848464308,-0.5812357859673714,2290,24,"[478, 464, 488, 480, 380]","[5, 5, 5, 5, 4]",False,False,False,False,False,0.007071067811865475,0.00696274889278598,24,24,24,0,0.0,{},0.8086862857967168,0.7510469221857573,0.0,False,True,False,False,True,False,0.0,4.0279591459345125,-9.825735992413088,4.0279591459345125,95.41666666666667,1.0025135249253985,0.014176447101179516,False,0.5017599059267862,False,0.008333333333333304,False,False,0.009376709503749048,0.008333333333333304,False,False,-0.9474384498735856,0.34341540616029653,True,False,0.1848292826352353,0.043135987271568976,True,False,-0.9191897785707813,False,False,forward_only_adequate
7,sequential_evalue,martingale_evalue,True,ok,-1.1263796502471595,3.2721353278170624,4.447004049057704,-6.4029292721817965,29.538287444176646,1.0,1.0,,,1.0,1.0,-0.7630249747362104,-0.9832282363081895,2264,24,"[456, 469, 470, 480, 389]","[5, 5, 5, 5, 4]",False,False,False,False,False,0.007071067811865475,0.007004842936268481,24,24,24,0,0.0,{},0.805402025551193,0.7125765394306912,0.0,False,True,False,False,True,False,0.0,4.447004049057704,-6.4029292721817965,4.447004049057704,94.33333333333333,1.004815461361103,0.013881190489103419,False,0.4993462434068039,False,0.02777777777777768,False,False,0.006505655324432081,0.02777777777777768,False,False,-0.4598234318097525,0.6456429628654317,True,False,0.19027327169728497,0.0381409515473465,True,False,0.7105869625565168,False,False,forward_only_adequate
8,sequential_evalue,martingale_evalue,True,ok,-4.525835730293056,3.9173545328870683,2.5307700027348474,-10.639630200044415,29.427641442274794,0.09920453163219337,1.0,,,0.09920453163219337,1.0,2.3105715839585477,-0.768791492314054,2301,24,"[483, 474, 486, 478, 380]","[5, 5, 5, 5, 4]",False,False,False,False,False,0.007071067811865475,0.006994606821908822,24,24,24,0,0.0,{},0.8122364584879425,0.7118300076662343,0.0,False,True,False,False,True,False,0.0,2.5307700027348474,-10.639630200044415,2.5307700027348474,95.875,1.007723660918892,0.0034438706316559002,False,0.5096046765493042,False,0.014930555555555558,False,False,0.03202445665589648,0.014930555555555558,False,False,-0.8591580238622718,0.3902533385011778,True,False,0.1919052646475733,0.16615629239327392,True,False,-0.2739077116591027,False,False,forward_only_adequate
9,sequential_evalue,martingale_evalue,True,ok,1.4796137449788704,3.2585719314463986,7.203938764799265,-4.076632575446815,29.601880831332572,1.0,1.0,,,1.0,1.0,-0.944558749489625,-0.6455669598041651,2300,24,"[483, 478, 484, 479, 376]","[5, 5, 5, 5, 4]",False,False,False,False,False,0.007071067811865475,0.006972171975038881,24,24,24,0,0.0,{},0.8156486615160834,0.7381273801111305,0.0,False,True,False,False,True,False,0.0,7.203938764799265,-4.076632575446815,7.203938764799265,95.83333333333333,1.0102193859073685,0.013629154075272577,False,0.513227779043482,False,0.008333333333333415,False,False,0.008803602733159721,0.008333333333333415,False,False,0.44589345553360504,0.6556742098529383,True,False,0.06720594474451513,0.5310407218724463,True,False,-1.0823448092301378,False,False,forward_only_adequate
10,sequential_evalue,martingale_evalue,True,ok,-6.317106614506824,2.4491372603832477,-2.4726399834968884,-10.83036932417148,29.095644296872702,0.7089555971945845,1.0,,,0.7089555971945845,1.0,0.3439623817813059,-1.2469420342149282,2294,24,"[468, 488, 468, 486, 384]","[5, 5, 5, 5, 4]",False,False,False,False,False,0.007071067811865475,0.006955963671097093,24,24,24,0,0.0,{},0.8025091646269048,0.7469027180808185,0.0,False,True,False,False,True,False,0.0,-2.4726399834968884,-10.83036932417148,-2.4726399834968884,95.58333333333333,0.9893418354560137,0.0025496843779923965,False,0.5212268915324744,False,0.030902777777777724,False,False,0.048437120453934585,0.030902777777777724,False,False,-0.7954855854274392,0.426331092601135,True,False,0.10218915625585502,0.4229692569697164,True,False,-1.9706356260756515,False,False,forward_only_adequate
11,sequential_evalue,martingale_evalue,True,ok,1.5163840052144082,2.8273984106011585,6.3061407119909525,-3.6363755453813633,29.703091809411134,1.0,1.0,,,1.0,1.0,-0.9572004354067878,-0.6745840729859695,2292,24,"[475, 483, 481, 470, 383]","[5, 5, 5, 5, 4]",False,False,False,False,False,0.007071067811865475,0.006916553799241517,24,24,24,0,0.0,{},0.8033529360857128,0.737383026341451,0.0,False,True,False,False,True,False,0.0,6.3061407119909525,-3.6363755453813638,6.3061407119909525,95.5,1.0038367873076246,0.004568615842510652,False,0.5117304715707608,False,0.017708333333333326,False,False,0.009117810310777052,0.017708333333333326,False,False,-0.7888444953702493,0.4302028997148801,True,False,0.13268896806839517,0.0328837434872219,True,False,0.4597689427073116,False,False,forward_only_adequate
12,sequential_evalue,martingale_evalue,True,ok,3.678804210853622,2.8716517561370454,8.802443290027282,-1.123632067507148,28.809125808497825,1.0,1.0,,,1.0,1.0,-1.2032417291676902,-0.5516694373234616,2305,24,"[483, 468, 481, 479, 394]","[5, 5, 5, 5, 4]",False,False,False,False,False,0.007071067811865475,0.006948231313687361,24,24,24,0,0.0,{},0.8021131202660872,0.7301584552235655,0.0,False,True,False,False,True,False,0.0,8.802443290027282,-1.123632067507148,8.802443290027282,96.04166666666667,0.9808536140039082,0.03486381690633139,False,0.5248485628187702,False,0.021527777777777812,False,False,0.025948091435163523,0.021527777777777812,False,False,1.0495987359149004,0.29390263851070464,True,False,0.13149733688252496,0.0538887023764791,True,False,1.8167221315011712,False,False,forward_only_adequate
13,sequential_evalue,martingale_evalue,True,ok,-4.364091672155025,2.2455864954553513,-0.22149359297227988,-8.367535088405752,28.895834143722794,1.0,1.0,,,1.0,1.0,-0.2769577032055892,-1.1427531542533376,2262,24,"[466, 485, 482, 463, 366]","[5, 5, 5, 5, 4]",False,False,False,False,False,0.007071067811865475,0.0069554293584998825,24,24,24,0,0.0,{},0.7958311697829838,0.7226498069274263,0.0,False,True,False,False,True,False,0.0,-0.22149359297227988,-8.367535088405752,-0.22149359297227988,94.25,0.9755956692949389,0.019111236883173354,False,0.527794814320081,False,0.014583333333333393,False,False,0.03187519789011537,0.014583333333333393,False,False,-0.4003016891999397,0.6889343239416482,True,False,0.17275705022014462,0.2048730324341019,True,False,-0.2178826223078939,False,False,forward_only_adequate
14,sequential_evalue,martingale_evalue,True,ok,0.2721612129359488,2.731432805392448,5.003033819570893,-4.16633663634163,30.145950299331037,1.0,1.0,,,1.0,1.0,-0.8977975191672891,-0.8878983671701068,2228,24,"[483, 463, 458, 448, 376]","[5, 5, 5, 5, 4]",False,False,False,False,False,0.007071067811865475,0.006964994984703867,24,24,24,0,0.0,{},0.7781319136758749,0.6977831318554542,0.0,False,True,False,False,True,False,0.0,5.003033819570893,-4.16633663634163,5.003033819570893,92.83333333333333,1.0115136867634948,0.00761856842409981,False,0.5263219314117891,False,0.01388888888888895,False,False,0.001333533305678536,0.01388888888888895,False,False,-1.8498951245529431,0.06432866672948886,True,False,0.14584373162903916,0.25599795911642625,True,False,-0.30787420112324887,False,False,forward_only_adequate
15,sequential_evalue,martingale_evalue,True,ok,-2.322586204787768,2.773761194745643,1.9572135994387163,-8.466068966486155,28.06410190019694,1.0,1.0,,,1.0,1.0,-0.6204982057522186,-0.9618405433047312,2300,24,"[493, 481, 467, 486, 373]","[5, 5, 5, 5, 4]",False,False,False,False,False,0.007071067811865475,0.007124558316896747,24,24,24,0,0.0,{},0.8055699128128431,0.7454981427704238,0.0,False,True,False,False,True,False,0.0,1.957213599438716,-8.466068966486155,1.957213599438716,95.83333333333333,0.9786725239622633,0.02162672793674846,False,0.5250308402503968,False,0.017013888888888884,False,False,0.01527855129365232,0.017013888888888884,False,False,-0.13085778108230872,0.8958878132305554,True,False,0.21249084340116223,0.08944796166205073,True,False,-0.22561847695358983,False,False,forward_only_adequate
