replicate,inference_route,calibration,route_valid,route_reason,beta_hat,se,ucb,lcb,beta_min,p_infer_less,p_infer_greater,p_rand_less,p_rand_greater,p_seq_less,p_seq_greater,log_e_seq_less,log_e_seq_greater,n_evalue_terms,n_evalue_participants,evalue_fold_term_counts,evalue_fold_participant_counts,infer_neg_pass,infer_pos_pass,magnitude_neg_pass,magnitude_pos_pass,component_disagreement,sigma_tau_design,sigma_tau_eff,N,N_eligible,N_estimable,N_nonestimable,nonestimable_fraction,nonestimable_reasons,median_leverage_fraction,min_leverage_fraction_estimable,estimability_summary_max_smd,estimability_summary_fired,estimability_information_sufficient,estimability_support_passed,estimability_opposite_passed,estimability_adequacy_passed,estimability_conclusion_changing,nonestimable_abs_bound_sum,support_ucb_upper,eligible_lcb_lower,eligible_ucb_upper,nbar_ret,sigma_blind,leak_excursion,leak_fired,delivery_p99_ms,delivery_fired,retention_imbalance,retention_fired,balance_fired,gate_required,gate_audited,gate_passed,gate_applicable,collider_inter_z,collider_inter_p,collider_inter_valid,collider_inter_fired,collider_smd,collider_smd_min_p,collider_smd_valid,collider_smd_fired,collider_rank_z,collider_invalid,collider_fired,decision
0,sequential_evalue,martingale_evalue,True,ok,1.0178072523271877,4.423308339918094,9.211420286139113,-5.567691854260383,35.70167114417798,1.0,1.0,,,1.0,1.0,-1.1291714804663644,-0.857795342846527,2230,24,"[460, 447, 467, 477, 379]","[5, 5, 5, 5, 4]",False,False,False,False,False,0.007071067811865475,0.006885787733974276,24,24,24,0,0.0,{},0.7765882117823781,0.681062067066814,0.0,False,True,False,False,True,False,0.0,9.211420286139113,-5.567691854260384,9.211420286139113,92.91666666666667,1.1848380453622267,0.05263417865887399,False,1.2528339629122425,False,0.02013888888888893,False,False,0.004703005780237164,0.02013888888888893,False,False,-1.7288552156643124,0.08383501102890595,True,False,0.12192078378468264,0.2512197744864747,True,False,0.17661280317018863,False,False,forward_only_adequate
1,sequential_evalue,martingale_evalue,True,ok,-8.429215296849998,3.9464358058788127,-1.6493890972679761,-15.509716090499255,32.78866470369522,0.7962338526768202,1.0,,,0.7962338526768202,1.0,0.22786235151417467,-1.2817474354206482,2257,24,"[480, 467, 471, 465, 374]","[5, 5, 5, 5, 4]",False,False,False,False,False,0.007071067811865475,0.007020480061933043,24,24,24,0,0.0,{},0.795060347382943,0.7142545216415179,0.0,False,True,False,False,True,False,0.0,-1.6493890972679761,-15.509716090499255,-1.6493890972679761,94.04166666666667,1.1161452207815221,0.0035803677149501847,False,1.295146306269892,False,0.018750000000000044,False,False,0.0575990294049299,0.018750000000000044,False,False,-0.7664057178461968,0.4434349316622208,True,False,0.1341616902818106,0.20955601908621327,True,False,-0.41780315772156296,False,False,forward_only_adequate
2,sequential_evalue,martingale_evalue,True,ok,-0.02811711698708293,2.072842179263636,3.4746639047362926,-3.4413788000267083,34.41409115868603,1.0,1.0,,,1.0,1.0,-0.7284858933436362,-0.903410322556595,2258,24,"[472, 459, 469, 482, 376]","[5, 5, 5, 5, 4]",False,False,False,False,False,0.007071067811865475,0.006967561284885974,24,24,24,0,0.0,{},0.7975252472297845,0.7225684085451826,0.0,False,True,False,False,True,False,0.0,3.4746639047362926,-3.4413788000267083,3.4746639047362926,94.08333333333333,1.1629029022413493,0.021817323594542082,False,1.2941126895504893,False,0.011458333333333348,False,False,9.652460935003716e-05,0.011458333333333348,False,False,1.0729560575139976,0.2832908325029925,True,False,0.18268806687104713,0.09278849546603733,True,False,0.5377750876168372,False,False,forward_only_adequate
3,sequential_evalue,martingale_evalue,True,ok,-5.244602857745584,3.324693823929966,0.5131813258383167,-11.113859494250569,34.331450422902606,1.0,1.0,,,1.0,1.0,-0.4800503291708689,-1.2592132636801943,2220,24,"[459, 467, 449, 463, 382]","[5, 5, 5, 5, 4]",False,False,False,False,False,0.007071067811865475,0.0070206018363815886,24,24,24,0,0.0,{},0.7766150266074229,0.7080395176141486,0.0,False,True,False,False,True,False,0.0,0.5131813258383167,-11.113859494250569,0.5131813258383167,92.5,1.1590638631311583,0.022835361905963344,False,1.2853155349237644,False,0.03194444444444444,False,False,0.03149841415028695,0.03194444444444444,False,False,-0.12381204259621628,0.9014640965716899,True,False,0.30193506433090506,0.017211469391333403,True,False,-1.2462230148175868,False,False,forward_only_adequate
4,sequential_evalue,martingale_evalue,True,ok,-3.6367413106587088,3.4744700700212072,1.777180008615121,-9.594886166302718,33.060993150235475,1.0,1.0,,,1.0,1.0,-0.1557665351601245,-1.0064578638965929,2238,24,"[469, 476, 471, 465, 357]","[5, 5, 5, 5, 4]",False,False,False,False,False,0.007071067811865475,0.007052346157206383,24,24,24,0,0.0,{},0.7771833191418723,0.722302877027508,0.0,False,True,False,False,True,False,0.0,1.7771800086151213,-9.594886166302718,1.7771800086151213,93.25,1.1257551469662506,0.01710106996736221,False,1.288417862849219,False,0.021180555555555647,False,False,0.021269313652688426,0.021180555555555647,False,False,-0.5461497827693588,0.5849629818183293,True,False,0.10135309698774937,0.34519155341835006,True,False,-0.85202847608666,False,False,forward_only_adequate
5,sequential_evalue,martingale_evalue,True,ok,0.87453508918456,3.6569203522866385,7.665690622315277,-5.032317592308514,34.271447886378844,1.0,1.0,,,1.0,1.0,-1.0087120917669974,-0.918565354851653,2211,24,"[469, 461, 464, 459, 358]","[5, 5, 5, 5, 4]",False,False,False,False,False,0.007071067811865475,0.006981900000539454,24,24,24,0,0.0,{},0.7738696677448986,0.6887700393122974,0.0,False,True,False,False,True,False,0.0,7.665690622315277,-5.032317592308514,7.665690622315277,92.125,1.1483250313804088,0.001218836612945134,False,1.2047431026581685,False,0.032638888888888884,False,False,0.004110140695499278,0.032638888888888884,False,False,1.9641435108183418,0.04951345156456586,True,False,0.22141230710344018,0.052260646627914124,True,False,0.6548866751084143,False,False,forward_only_adequate
6,sequential_evalue,martingale_evalue,True,ok,-1.1536399196572713,3.0745561723371955,4.279626103191479,-5.861826519579575,33.68068882458796,1.0,1.0,,,1.0,1.0,-0.7282944984918759,-0.9986213570963478,2236,24,"[474, 458, 475, 465, 364]","[5, 5, 5, 5, 4]",False,False,False,False,False,0.007071067811865475,0.007091227085132458,24,24,24,0,0.0,{},0.7843341196973982,0.6975801759655669,0.0,False,True,False,False,True,False,0.0,4.279626103191479,-5.861826519579576,4.279626103191479,93.16666666666667,1.152663765702003,0.0008084688519169705,False,1.235900416036145,False,0.011111111111111183,False,False,0.0055829537591391915,0.011111111111111183,False,False,-0.15452297752065247,0.877197395353083,True,False,0.11157262030178879,0.15783364807989267,True,False,-0.15815673637088234,False,False,forward_only_adequate
7,sequential_evalue,martingale_evalue,True,ok,-4.4094426152361,4.12522012015623,3.16013324553244,-10.700309584436107,34.97855860987258,1.0,1.0,,,1.0,1.0,-0.5575563620643529,-1.2029312358509157,2219,24,"[466, 475, 453, 454, 371]","[5, 5, 5, 5, 4]",False,False,False,False,False,0.007071067811865475,0.0069187409011733534,24,24,24,0,0.0,{},0.7772804684498078,0.7228273078913285,0.0,False,True,False,False,True,False,0.0,3.1601332455324402,-10.700309584436107,3.1601332455324402,92.45833333333333,1.163515065080543,0.024650301282177347,False,1.2580421111036293,False,0.03229166666666661,False,False,0.025607247519160405,0.03229166666666661,False,False,-0.6440148701330857,0.5195657913954054,True,False,0.08265452490087087,0.16662912473742406,True,False,-0.3751913610982188,False,False,forward_only_adequate
8,sequential_evalue,martingale_evalue,True,ok,2.675328315028903,4.3153884597282754,9.794970913247859,-5.414503790481923,32.396944208414205,1.0,1.0,,,1.0,1.0,-0.9997026734154862,-0.481983612882274,2231,24,"[468, 471, 439, 463, 390]","[5, 5, 5, 5, 4]",False,False,False,False,False,0.007071067811865475,0.007032655377344262,24,24,24,0,0.0,{},0.79053520442647,0.652213361226397,0.0,False,True,False,False,True,False,0.0,9.794970913247859,-5.414503790481923,9.794970913247859,92.95833333333333,1.0983419029261567,0.011066512888497151,False,1.3271730818486147,False,0.035069444444444486,False,False,0.015349351571158215,0.035069444444444486,False,False,0.2725575744367178,0.7851933281735523,True,False,0.16674753130213912,0.0743949423821812,True,False,0.8838636607156747,False,False,forward_only_adequate
9,sequential_evalue,martingale_evalue,True,ok,3.624608143800111,2.552405766698993,8.863615335721427,-0.24827240469371148,33.871225349419795,1.0,1.0,,,1.0,1.0,-1.1596145785656915,-0.5997712361686589,2220,24,"[457, 473, 457, 455, 378]","[5, 5, 5, 5, 4]",False,False,False,False,False,0.007071067811865475,0.006971471916542324,24,24,24,0,0.0,{},0.7666453671737203,0.7290267832619851,0.0,False,True,False,False,True,False,0.0,8.863615335721427,-0.24827240469371148,8.863615335721427,92.5,1.135523852185051,0.02541126126576863,False,1.2541900319377097,False,0.010763888888888906,False,False,0.02097582504715569,0.010763888888888906,False,False,0.5105372559291659,0.6096751205969201,True,False,0.1345222378693309,0.062015913963498384,True,False,0.2404731346427803,False,False,forward_only_adequate
10,sequential_evalue,martingale_evalue,True,ok,2.433719599488551,3.421891664477187,7.845194292769058,-3.768373214715581,33.34734230055537,1.0,1.0,,,1.0,1.0,-0.8947144786569716,-0.5861330926848631,2196,24,"[470, 455, 456, 448, 367]","[5, 5, 5, 5, 4]",False,False,False,False,False,0.007071067811865475,0.0070464536727171245,24,24,24,0,0.0,{},0.7715360147322233,0.7048213999322775,0.0,False,True,False,False,True,False,0.0,7.845194292769058,-3.768373214715581,7.845194292769058,91.5,1.1238604284282914,0.007061838702779759,False,1.2367472982867818,False,0.02013888888888893,False,False,0.013409432985671512,0.02013888888888893,False,False,2.466804189296941,0.01363248829187264,True,False,0.247890835330125,0.018232886599323078,True,False,0.9696278805491926,False,False,forward_only_adequate
11,sequential_evalue,martingale_evalue,True,ok,2.294561139364829,3.5306678738295627,9.171553006904201,-4.035675726501739,33.585529347437905,1.0,1.0,,,1.0,1.0,-0.9152728618045431,-0.6030107021976185,2208,24,"[451, 454, 469, 463, 371]","[5, 5, 5, 5, 4]",False,False,False,False,False,0.007071067811865475,0.006915168272899501,24,24,24,0,0.0,{},0.7732397027762454,0.7315151381775007,0.0,False,True,False,False,True,False,0.0,9.171553006904201,-4.035675726501739,9.171553006904201,92.0,1.1138298904763777,0.0033284490905521364,False,1.2515727594773207,False,0.018749999999999933,False,False,0.012663861692612676,0.018749999999999933,False,False,0.6372681434427198,0.5239501976440506,True,False,0.18756039104831415,0.06502065954684258,True,False,0.7804335108057774,False,False,forward_only_adequate
12,sequential_evalue,martingale_evalue,True,ok,2.7310049995462182,3.4261232931208894,8.797414887373794,-2.595915840856611,33.42312513206471,1.0,1.0,,,1.0,1.0,-1.0765568793083011,-0.6047128075741894,2229,24,"[480, 477, 461, 449, 362]","[5, 5, 5, 5, 4]",False,False,False,False,False,0.007071067811865475,0.006938683778983838,24,24,24,0,0.0,{},0.7870909572574162,0.7162441144035199,0.0,False,True,False,False,True,False,0.0,8.797414887373794,-2.595915840856611,8.797414887373794,92.875,1.1174898010989993,0.005192673163115137,False,1.221023237942459,False,0.025694444444444353,False,False,0.015408001773286979,0.025694444444444353,False,False,1.4335291171412907,0.1517066839768383,True,False,0.08880039051198059,0.26278544778877544,True,False,1.093522078225734,False,False,forward_only_adequate
13,sequential_evalue,martingale_evalue,True,ok,2.2643189391250687,3.2467807756727334,8.170093990881515,-3.216277135649692,34.10858848196189,1.0,1.0,,,1.0,1.0,-1.0474881391848145,-0.8182395780581653,2232,24,"[472, 465, 461, 472, 362]","[5, 5, 5, 5, 4]",False,False,False,False,False,0.007071067811865475,0.006831551370849892,24,24,24,0,0.0,{},0.77570239195681,0.7076697356928137,0.0,False,True,False,False,True,False,0.0,8.170093990881515,-3.216277135649692,8.170093990881515,93.0,1.1235555888757094,0.02033777211570345,False,1.2348331936780952,False,0.011111111111111183,False,False,0.012349398730839446,0.011111111111111183,False,False,1.0123389526489388,0.31137601628879363,True,False,0.18046873495931803,0.12504228620838245,True,False,1.9821760855996382,False,False,forward_only_adequate
14,sequential_evalue,martingale_evalue,True,ok,-2.086694333430177,3.059749473021,3.4778672438598472,-6.906275925328204,35.095237565729626,1.0,1.0,,,1.0,1.0,-0.8471266589147597,-1.0787824571832016,2217,24,"[453, 475, 460, 456, 373]","[5, 5, 5, 5, 4]",False,False,False,False,False,0.007071067811865475,0.006948845124845704,24,24,24,0,0.0,{},0.7761178448578001,0.7120950833609222,0.0,False,True,False,False,True,False,0.0,3.4778672438598472,-6.906275925328205,3.4778672438598472,92.375,1.1719472084461637,0.02421516844673137,False,1.2692871470539453,False,0.009722222222222188,False,False,0.010719567836339467,0.009722222222222188,False,False,-2.1949119917443705,0.02816991145085232,True,False,0.13674114528815068,0.053776416710263654,True,False,-1.0495319108977323,False,False,forward_only_adequate
15,sequential_evalue,martingale_evalue,True,ok,-3.2007084087048394,4.703062982687929,4.135684423247345,-11.777505843667937,34.85311415631645,1.0,1.0,,,1.0,1.0,-0.27076401031042585,-1.1870694914952138,2227,24,"[460, 456, 475, 461, 375]","[5, 5, 5, 5, 4]",False,False,False,False,False,0.007071067811865475,0.006983094506149391,24,24,24,0,0.0,{},0.780128613375238,0.7047699236208704,0.0,False,True,False,False,True,False,0.0,4.135684423247345,-11.777505843667937,4.135684423247345,92.79166666666667,1.1722331543248214,0.04725161299705863,False,1.2915384965700376,False,0.03819444444444442,False,False,0.017508312838492236,0.03819444444444442,False,False,-0.1260463231007386,0.8996952564265494,True,False,0.06747513222956152,0.47936259712418267,True,False,0.502534035374789,False,False,forward_only_adequate
16,sequential_evalue,martingale_evalue,True,ok,0.2398656281091235,4.492745173312085,7.023634713195646,-8.930828502832462,34.46695405402571,1.0,1.0,,,1.0,1.0,-0.5865575007676129,-0.6378406594330887,2217,24,"[468, 466, 456, 461, 366]","[5, 5, 5, 5, 4]",False,False,False,False,False,0.007071067811865475,0.006934023854731022,24,24,24,0,0.0,{},0.7745323988687112,0.6794622180489774,0.0,False,True,False,False,True,False,0.0,7.023634713195645,-8.930828502832462,7.023634713195645,92.375,1.148511813478241,0.020133308774754628,False,1.3422605566056507,False,0.030555555555555558,False,False,0.0009855064362464371,0.030555555555555558,False,False,-0.8078127173302386,0.4191984030276895,True,False,0.1986517802938,0.24061764359613264,True,False,-1.3372759859900456,False,False,forward_only_adequate
17,sequential_evalue,martingale_evalue,True,ok,1.1610982800645473,3.7355446497174207,8.0824460808423,-4.672368971308671,32.775583535992254,1.0,1.0,,,1.0,1.0,-0.7222560959315671,-0.07509492048320415,2182,24,"[448, 461, 457, 441, 375]","[5, 5, 5, 5, 4]",False,False,False,False,False,0.007071067811865475,0.007010720446761718,24,24,24,0,0.0,{},0.7613912023680222,0.6858853985326294,0.0,False,True,False,False,True,False,0.0,8.0824460808423,-4.672368971308671,8.0824460808423,90.91666666666667,1.0954809736652935,0.027051485531390744,False,1.2651846466541685,False,0.022222222222222143,False,False,0.005954944596661247,0.022222222222222143,False,False,0.06272290642323296,0.9499871566171401,True,False,0.06138364665333834,0.6394836323555466,True,False,-0.5546754952512296,False,False,forward_only_adequate
18,sequential_evalue,martingale_evalue,True,ok,-1.0145090739490195,3.35914632925026,5.798191997243692,-6.4574142177322065,33.340597443207734,1.0,1.0,,,1.0,1.0,-0.963510446894656,-1.0467120931287455,2225,24,"[459, 468, 452, 465, 381]","[5, 5, 5, 5, 4]",False,False,False,False,False,0.007071067811865475,0.006936296078641743,24,24,24,0,0.0,{},0.7780109026655386,0.7188581907176083,0.0,False,True,False,False,True,False,0.0,5.798191997243692,-6.4574142177322065,5.798191997243692,92.70833333333333,1.1133466120693245,0.014006900010459003,False,1.2992634419679445,False,0.02673611111111107,False,False,0.005024598165275598,0.02673611111111107,False,False,-0.11395881304590356,0.909270443108187,True,False,0.1721271127235314,0.06207245232090896,True,False,-0.22159524258906124,False,False,forward_only_adequate
19,sequential_evalue,martingale_evalue,True,ok,0.5644348548176984,3.9075248410673367,6.935152054358744,-6.446889538748012,33.96697631728638,1.0,1.0,,,1.0,1.0,-0.8376243166971815,-0.7327022189720975,2241,24,"[471, 463, 453, 484, 370]","[5, 5, 5, 5, 4]",False,False,False,False,False,0.007071067811865475,0.006966555561470381,24,24,24,0,0.0,{},0.7782938690765937,0.7246325090022088,0.0,False,True,False,False,True,False,0.0,6.935152054358743,-6.446889538748013,6.935152054358743,93.375,1.1433002681125095,0.021590250113750206,False,1.2625576803466443,False,0.025694444444444464,False,False,0.002537538559165691,0.025694444444444464,False,False,-1.2026681862747735,0.2291047497109936,True,False,0.1932170538096353,0.05385350987556647,True,False,-0.027064010983659705,False,False,forward_only_adequate
20,sequential_evalue,martingale_evalue,True,ok,2.0148549269453304,3.56425577522978,7.5507311932164765,-4.767246732331843,33.493257644110194,1.0,1.0,,,1.0,1.0,-1.1508651512233483,-0.8085455960397858,2258,24,"[475, 456, 467, 479, 381]","[5, 5, 5, 5, 4]",False,False,False,False,False,0.007071067811865475,0.007006999801174186,24,24,24,0,0.0,{},0.7976451565977701,0.6834321299176446,0.0,False,True,False,False,True,False,0.0,7.550731193216476,-4.767246732331843,7.550731193216476,94.08333333333333,1.1381928358328255,0.015946295245474734,False,1.2759843813397105,False,0.014930555555555558,False,False,0.010648769449737718,0.014930555555555558,False,False,-2.1351265857513577,0.03275067155768204,True,False,0.3665161944014926,0.013050759402000284,True,False,-0.4835636077170247,False,False,forward_only_adequate
21,sequential_evalue,martingale_evalue,True,ok,-4.431003181812321,4.479454398322387,2.2128207885930884,-13.581113194932072,33.99928845102672,1.0,1.0,,,1.0,1.0,-0.5801206358938356,-1.2575710463034788,2221,24,"[456, 471, 473, 454, 367]","[5, 5, 5, 5, 4]",False,False,False,False,False,0.007071067811865475,0.0069373340433685335,24,24,24,0,0.0,{},0.7835594850005903,0.7072641121707962,0.0,False,True,False,False,True,False,0.0,2.2128207885930884,-13.581113194932072,2.2128207885930884,92.54166666666667,1.134491111895999,0.01965816135343337,False,1.224294625277162,False,0.012847222222222232,False,False,0.02652280964930094,0.012847222222222232,False,False,-0.5719071893714163,0.567384853157013,True,False,0.1277956799455601,0.1204447653172732,True,False,-0.915848625745726,False,False,forward_only_adequate
22,sequential_evalue,martingale_evalue,True,ok,-1.9631225424339644,4.761241181111899,6.277288317511347,-11.281233445227723,33.437601217964314,1.0,1.0,,,1.0,1.0,-0.15428920527388557,-0.7148583283215466,2251,24,"[451, 479, 467, 490, 364]","[5, 5, 5, 5, 4]",False,False,False,False,False,0.007071067811865475,0.006872577648487456,24,24,24,0,0.0,{},0.796323987106863,0.7082683288729934,0.0,False,True,False,False,True,False,0.0,6.2772883175113465,-11.281233445227722,6.2772883175113465,93.79166666666667,1.1127738219867833,0.03194691103275664,False,1.2842741536467623,False,0.024652777777777746,False,False,0.010607252544185049,0.024652777777777746,False,False,-0.6348385080259313,0.5255337454809891,True,False,0.10546776889558668,0.17628586084298847,True,False,-0.5760805897057732,False,False,forward_only_adequate
23,sequential_evalue,martingale_evalue,True,ok,2.6388165448522747,6.157012398134685,11.966062938685976,-9.29945381630407,34.94146575138729,0.78526984770746,0.10843604892352265,,,0.78526984770746,0.10843604892352265,0.24172786522860576,2.221594690615588,2220,24,"[452, 463, 463, 469, 373]","[5, 5, 5, 5, 4]",False,False,False,False,False,0.007071067811865475,0.006947554865693888,24,24,24,0,0.0,{},0.7786490161726778,0.7017586864941318,0.0,False,True,False,False,True,False,0.0,11.966062938685974,-9.29945381630407,11.966062938685974,92.5,1.1673846407013282,0.006783835143027166,False,1.26099418823308,False,0.02673611111111107,False,False,0.014086318576162564,0.02673611111111107,False,False,1.430384065496165,0.15260681904782727,True,False,0.18963464883818884,0.09676219774867963,True,False,0.16810268467966852,False,False,forward_only_adequate
24,sequential_evalue,martingale_evalue,True,ok,1.0172278308082638,3.7164396015382843,8.453956778139931,-5.114436906653289,34.105280653849746,1.0,1.0,,,1.0,1.0,-0.584027598413957,-0.43195314653013084,2219,24,"[468, 457, 469, 448, 377]","[5, 5, 5, 5, 4]",False,False,False,False,False,0.007071067811865475,0.007027945620041921,24,24,24,0,0.0,{},0.7783091580927592,0.6838084393790497,0.0,False,True,False,False,True,False,0.0,8.453956778139931,-5.114436906653289,8.453956778139931,92.45833333333333,1.1523729481727167,0.00945558630019807,False,1.233892441995008,False,0.029861111111111116,False,False,0.004848670126030739,0.029861111111111116,False,False,0.41583950950181037,0.6775274457054379,True,False,0.21746503587061586,0.10539733304490567,True,False,0.15960686006772495,False,False,forward_only_adequate
25,sequential_evalue,martingale_evalue,True,ok,2.888297529206405,3.223988847943084,8.63923156108408,-2.929587043676914,32.74271078250432,1.0,1.0,,,1.0,1.0,-1.151716587257176,-0.7102352155186467,2219,24,"[450, 464, 460, 474, 371]","[5, 5, 5, 5, 4]",False,False,False,False,False,0.007071067811865475,0.006992929955419755,24,24,24,0,0.0,{},0.7739839696361508,0.7055044613554637,0.0,False,True,False,False,True,False,0.0,8.63923156108408,-2.929587043676914,8.63923156108408,92.45833333333333,1.100821352008389,0.01697685911094729,False,1.2361209016221926,False,0.02013888888888893,False,False,0.016721587232267836,0.02013888888888893,False,False,0.8155350152041179,0.41476613005522533,True,False,0.09219983714867822,0.2603343547810661,True,False,1.5455894885279895,False,False,forward_only_adequate
26,sequential_evalue,martingale_evalue,True,ok,-2.2296432902547294,3.017316449653485,2.3219961244126606,-8.489542572882334,34.42986108140395,1.0,1.0,,,1.0,1.0,-0.45355459293556055,-0.8439446627344573,2272,24,"[486, 452, 482, 476, 376]","[5, 5, 5, 5, 4]",False,False,False,False,False,0.007071067811865475,0.006950049782283671,24,24,24,0,0.0,{},0.7928227955910959,0.6874157559291147,0.0,False,True,False,False,True,False,0.0,2.3219961244126606,-8.489542572882334,2.3219961244126606,94.66666666666667,1.1641038693953372,0.0002596686562758568,False,1.2743772928106838,False,0.023263888888888862,False,False,0.011651126577255826,0.023263888888888862,False,False,0.6642737637542415,0.5065151098435579,True,False,0.13573434163744544,0.1030830555760388,True,False,1.8850923791912941,False,False,forward_only_adequate
