replicate,inference_route,calibration,route_valid,route_reason,beta_hat,se,ucb,lcb,beta_min,p_infer_less,p_infer_greater,p_rand_less,p_rand_greater,p_seq_less,p_seq_greater,log_e_seq_less,log_e_seq_greater,n_evalue_terms,n_evalue_participants,evalue_fold_term_counts,evalue_fold_participant_counts,infer_neg_pass,infer_pos_pass,magnitude_neg_pass,magnitude_pos_pass,component_disagreement,sigma_tau_design,sigma_tau_eff,N,N_eligible,N_estimable,N_nonestimable,nonestimable_fraction,nonestimable_reasons,median_leverage_fraction,min_leverage_fraction_estimable,estimability_summary_max_smd,estimability_summary_fired,estimability_information_sufficient,estimability_support_passed,estimability_opposite_passed,estimability_adequacy_passed,estimability_conclusion_changing,nonestimable_abs_bound_sum,support_ucb_upper,eligible_lcb_lower,eligible_ucb_upper,nbar_ret,sigma_blind,leak_excursion,leak_fired,delivery_p99_ms,delivery_fired,retention_imbalance,retention_fired,balance_fired,gate_required,gate_audited,gate_passed,gate_applicable,collider_inter_z,collider_inter_p,collider_inter_valid,collider_inter_fired,collider_smd,collider_smd_min_p,collider_smd_valid,collider_smd_fired,collider_rank_z,collider_invalid,collider_fired,decision
0,assignment_isolation,plus_one_randomisation,True,ok,0.45210865742462863,3.139183228011226,5.743365366228082,-4.8205190745050865,28.729406940759073,0.54,0.461,0.54,0.461,,,,,0,0,[],[],False,False,False,False,False,0.007071067811865475,0.007029638543422445,24,24,24,0,0.0,{},0.802344421176976,0.6541198501872659,0.0,False,True,False,False,True,False,0.0,5.743365366228082,-4.8205190745050865,5.743365366228082,95.91666666666667,0.9889553830203536,0.008287899668383615,False,0.5391980812285843,False,0.03229166666666661,False,False,0.0023902915759745017,0.03229166666666661,False,False,0.30370555792569,0.761352223287625,True,False,0.07314850793256972,0.2574736438254683,True,False,1.7607076949910228,False,False,forward_only_adequate
1,assignment_isolation,plus_one_randomisation,True,ok,-3.303774064780672,3.3016746985665217,1.854742818366283,-9.535014848484815,28.738116535025885,0.122,0.879,0.122,0.879,,,,,0,0,[],[],False,False,False,False,False,0.007071067811865475,0.007063698539034521,24,24,24,0,0.0,{},0.7959973935226264,0.6624509803921568,0.0,False,True,False,False,True,False,0.0,1.854742818366283,-9.535014848484815,1.854742818366283,95.16666666666667,0.9901543303820851,0.017014120648230574,False,0.5201205015319361,False,0.008333333333333304,False,False,0.022648496154565302,0.008333333333333304,False,False,-0.011317854778182892,0.9909698511958916,True,False,0.05892595588031363,0.5296245507583058,True,False,1.8807355127767853,False,False,forward_only_adequate
2,assignment_isolation,plus_one_randomisation,True,ok,-1.119750148692087,3.6127090457669513,5.191543312621352,-7.570880548432579,28.79545581407551,0.349,0.652,0.349,0.652,,,,,0,0,[],[],False,False,False,False,False,0.007071067811865475,0.007064956736934348,24,24,24,0,0.0,{},0.7897499999999998,0.6982352941176471,0.0,False,True,False,False,True,False,0.0,5.191543312621352,-7.570880548432579,5.191543312621352,95.08333333333333,0.9918720850792144,0.011774495237726097,False,0.5318632122487239,False,0.02499999999999991,False,False,0.006557665736184326,0.02499999999999991,False,False,-1.2100156633640464,0.22627288259401201,True,False,0.1288212234643074,0.0628343072067477,True,False,-0.5436900459052844,False,False,forward_only_adequate
3,assignment_isolation,plus_one_randomisation,True,ok,-1.2112994970107522,2.924143941948733,3.4953606294947495,-6.50941588922566,28.588878940786678,0.361,0.64,0.361,0.64,,,,,0,0,[],[],False,False,False,False,False,0.007071067811865475,0.007026808609130834,24,24,24,0,0.0,{},0.810314927184466,0.6664794007490636,0.0,False,True,False,False,True,False,0.0,3.4953606294947495,-6.50941588922566,3.4953606294947495,98.16666666666667,0.9951929181709113,0.03935515847855212,False,0.5015776773790646,False,0.032638888888888884,False,False,0.007138938321499833,0.032638888888888884,False,False,0.6121007144122238,0.5404711249103167,True,False,0.33205935572914186,0.009646740453199222,True,False,0.3696283408333734,False,False,forward_only_adequate
4,assignment_isolation,plus_one_randomisation,True,ok,8.348140793565234,2.8337176592714566,13.057583631281059,3.8089522114297036,28.57378077103373,0.996,0.005,0.996,0.005,,,,,0,0,[],[],False,True,False,False,True,0.007071067811865475,0.007131600167799419,24,24,24,0,0.0,{},0.8112360446570974,0.7331460674157303,0.0,False,True,False,False,True,False,0.0,13.057583631281057,3.8089522114297036,13.057583631281057,95.95833333333333,0.9980815954867382,0.030294423234820355,False,0.5141141761481249,False,0.04062500000000002,False,False,0.0666824626456524,0.04062500000000002,False,False,0.31212027967964634,0.7549491149155657,True,False,0.17914573362464362,0.19787596200419236,True,False,0.6106984360064728,False,False,inconclusive
5,assignment_isolation,plus_one_randomisation,True,ok,3.5584837430077285,3.0318642609269757,10.330511102270817,-0.999064693995781,28.268134104072374,0.892,0.109,0.892,0.109,,,,,0,0,[],[],False,False,False,False,False,0.007071067811865475,0.007039896746311773,24,24,24,0,0.0,{},0.7970469297788885,0.7304029304029304,0.0,False,True,False,False,True,False,0.0,10.330511102270817,-0.999064693995781,10.330511102270817,96.66666666666667,0.9782994475733366,0.015446129708323748,False,0.5251407468032033,False,0.02256944444444442,False,False,0.025038602745927997,0.02256944444444442,False,False,0.5383291892821399,0.5903498030786213,True,False,0.16787465328831455,0.13866730494333235,True,False,0.8497131425596655,False,False,forward_only_adequate
6,assignment_isolation,plus_one_randomisation,True,ok,-0.42559089288261287,3.555434958973147,5.829306966311673,-6.67004984107923,29.180613753070677,0.465,0.536,0.465,0.536,,,,,0,0,[],[],False,False,False,False,False,0.007071067811865475,0.007053527317517324,24,24,24,0,0.0,{},0.7603942652329747,0.7118773946360153,0.0,False,True,False,False,True,False,0.0,5.829306966311673,-6.67004984107923,5.829306966311673,93.95833333333333,0.9975586328962811,0.022365174176022722,False,0.5104543155264917,False,0.01041666666666674,False,False,0.0022144970028914915,0.01041666666666674,False,False,1.0358616134558007,0.3002667082058167,True,False,0.19936546235159894,0.14552609291062196,True,False,0.8259893108584231,False,False,forward_only_adequate
7,assignment_isolation,plus_one_randomisation,True,ok,-0.2982775064140219,2.9796082277235705,5.420606323002732,-4.945215530835515,29.37780326657054,0.486,0.515,0.486,0.515,,,,,0,0,[],[],False,False,False,False,False,0.007071067811865475,0.007091919983694741,24,24,24,0,0.0,{},0.8122914562289563,0.7041208791208792,0.0,False,True,False,False,True,False,0.0,5.420606323002732,-4.945215530835515,5.420606323002732,96.41666666666667,1.0228906430402545,0.011387372343808055,False,0.5043974295070431,False,0.032638888888888884,False,False,0.0014565327320935852,0.032638888888888884,False,False,-0.48162400881798323,0.6300730675879819,True,False,0.22647284955284694,0.03184044172579123,True,False,0.7842542088930374,False,False,forward_only_adequate
8,assignment_isolation,plus_one_randomisation,True,ok,1.2753733009378962,2.7192627414900534,5.793418307058054,-3.782990835557097,29.367238857099053,0.645,0.356,0.645,0.356,,,,,0,0,[],[],False,False,False,False,False,0.007071067811865475,0.007075083690507957,24,24,24,0,0.0,{},0.8018547761524821,0.6518199233716476,0.0,False,True,False,False,True,False,0.0,5.793418307058054,-3.782990835557097,5.793418307058054,95.25,1.0139048337049845,0.004242658248653896,False,0.4891448503051513,False,0.015277777777777835,False,False,0.00740952957911647,0.015277777777777835,False,False,-0.13109506662662432,0.8957001037451023,True,False,0.15159039071051295,0.3019917320788024,True,False,-1.0417835539118652,False,False,forward_only_adequate
9,assignment_isolation,plus_one_randomisation,True,ok,1.4503663005794067,3.331085449082344,7.061774044859213,-4.253890686517701,28.728356597327526,0.673,0.328,0.673,0.328,,,,,0,0,[],[],False,False,False,False,False,0.007071067811865475,0.0070511456712534825,24,24,24,0,0.0,{},0.7906342392051706,0.7159420289855071,0.0,False,True,False,False,True,False,0.0,7.061774044859213,-4.253890686517701,7.061774044859213,94.33333333333333,0.983723541522848,0.020939963573256316,False,0.5198270922115952,False,0.017708333333333326,False,False,0.008869933652347407,0.017708333333333326,False,False,-0.33932230887806386,0.734366938473044,True,False,0.07141405819961906,0.41125356045934425,True,False,1.445644599024559,False,False,forward_only_adequate
