replicate,inference_route,calibration,route_valid,route_reason,beta_hat,se,ucb,lcb,beta_min,p_infer_less,p_infer_greater,p_rand_less,p_rand_greater,p_seq_less,p_seq_greater,log_e_seq_less,log_e_seq_greater,n_evalue_terms,n_evalue_participants,evalue_fold_term_counts,evalue_fold_participant_counts,infer_neg_pass,infer_pos_pass,magnitude_neg_pass,magnitude_pos_pass,component_disagreement,sigma_tau_design,sigma_tau_eff,N,N_eligible,N_estimable,N_nonestimable,nonestimable_fraction,nonestimable_reasons,median_leverage_fraction,min_leverage_fraction_estimable,estimability_summary_max_smd,estimability_summary_fired,estimability_information_sufficient,estimability_support_passed,estimability_opposite_passed,estimability_adequacy_passed,estimability_conclusion_changing,nonestimable_abs_bound_sum,support_ucb_upper,eligible_lcb_lower,eligible_ucb_upper,nbar_ret,sigma_blind,leak_excursion,leak_fired,delivery_p99_ms,delivery_fired,retention_imbalance,retention_fired,balance_fired,gate_required,gate_audited,gate_passed,gate_applicable,collider_inter_z,collider_inter_p,collider_inter_valid,collider_inter_fired,collider_smd,collider_smd_min_p,collider_smd_valid,collider_smd_fired,collider_rank_z,collider_invalid,collider_fired,decision
0,assignment_isolation,plus_one_randomisation,True,ok,-37.4988665746417,7.657183954532213,-22.865038064382347,-53.43985485163992,17.40250697240336,0.001,1.0,0.001,1.0,,,,,0,0,[],[],True,False,True,False,False,0.007071067811865475,0.007389683508749746,6,24,6,18,0.75,"{""insufficient_leverage"": 18}",0.4653132716049383,0.5014973958333333,1.2514629776665505,True,True,False,False,False,True,6986.33750723163,285.3811366185557,-304.45735984756124,285.3811366185557,58.166666666666664,0.980787095799311,0.05494164678998359,False,0.5242245685247461,False,0.03576388888888887,False,False,0.21555166539600845,0.03576388888888887,True,True,-25.495501047032008,2.2112447192279867e-143,True,True,1.492610934680685,5.728995041212548e-19,True,True,-27.85182208603144,False,True,selection_limited
1,assignment_isolation,plus_one_randomisation,True,ok,-20.13677132312592,9.624922016862383,-2.415979860356636,-41.5167600857002,16.555386452221295,0.001,1.0,0.001,1.0,,,,,0,0,[],[],True,False,False,False,True,0.007071067811865475,0.007272109392813148,7,24,7,17,0.7083333333333334,"{""insufficient_leverage"": 17}",0.466454802259887,0.5274305555555557,1.4661043270529917,True,True,False,False,False,True,6298.711460649692,261.7416500677998,-274.5553658853997,261.7416500677998,61.57142857142857,0.9446900502726515,0.014352053006914034,False,0.4819554278644389,False,0.04270833333333329,False,False,0.11330310983959958,0.04270833333333329,False,False,-20.305804872176996,1.1425685266994127e-91,True,True,1.4738101792014453,8.216993677952325e-21,True,True,-27.02519181258851,False,True,selection_limited
2,assignment_isolation,plus_one_randomisation,True,ok,-26.980557995458454,9.413401776964264,-11.0385804372072,-49.72277395834497,17.94589488994899,0.002,0.999,0.002,0.999,,,,,0,0,[],[],True,False,False,False,True,0.007071067811865475,0.0072636691765478704,6,24,6,18,0.75,"{""insufficient_leverage"": 18}",0.4707588335461899,0.5023706896551724,1.1831757679081742,True,True,False,False,False,True,6764.947221352083,279.11315578036834,-294.3034943792564,279.11315578036834,60.166666666666664,1.011111736594583,0.009783604941949636,False,0.5112060581066086,False,0.025347222222222243,False,False,0.14639595932679314,0.025347222222222243,True,False,-21.818211517759362,1.5583564590195494e-105,True,True,1.420566026651232,2.101858478930778e-18,True,True,-26.440237962889675,False,True,selection_limited
3,assignment_isolation,plus_one_randomisation,True,ok,-22.59807325292847,9.79247770309408,1.0606623145271605,-46.03506837444837,16.224911737164216,0.002,0.999,0.002,0.999,,,,,0,0,[],[],True,False,False,False,True,0.007071067811865475,0.007249211433535279,5,24,5,19,0.7916666666666666,"{""insufficient_leverage"": 19}",0.45179585582546106,0.5183862433862434,1.6129897506368351,True,True,False,False,False,True,7175.063911911615,299.1819676451771,-308.55163557432735,299.1819676451771,62.6,0.930594060420057,0.008991351661565387,False,0.508571463995206,False,0.03125,False,False,0.13159578058871788,0.03125,False,False,-20.68752602213004,4.486496084505328e-95,True,True,1.4487729387570636,8.2435099714632e-18,True,True,-24.00036013941381,False,True,selection_limited
4,assignment_isolation,plus_one_randomisation,True,ok,-32.53574332498466,5.247117834548621,-23.43554824349048,-43.2932005150214,17.531533905101465,0.001,1.0,0.001,1.0,,,,,0,0,[],[],True,False,True,False,False,0.007071067811865475,0.007299109707147447,9,24,9,15,0.625,"{""insufficient_leverage"": 15}",0.4782555076628352,0.5080508474576272,1.2870715051033765,True,True,False,False,False,True,5685.916179267776,228.1248435448484,-253.14812432929034,228.1248435448484,61.888888888888886,1.0066909167622975,0.020685588078440925,False,0.5306324575300032,False,0.05729166666666663,False,False,0.1807477152240823,0.05729166666666663,True,True,-21.888609852635078,3.3353080481272824e-106,True,True,1.439858020458873,1.430675263988165e-19,True,True,-26.71142186497314,False,True,selection_limited
5,assignment_isolation,plus_one_randomisation,True,ok,-26.706310595858078,9.069383403470948,-10.954675398266152,-48.942189885890144,17.521110831879263,0.001,1.0,0.001,1.0,,,,,0,0,[],[],True,False,False,False,True,0.007071067811865475,0.0073255670966875545,7,24,7,17,0.7083333333333334,"{""insufficient_leverage"": 17}",0.4635410955774853,0.5174305555555555,1.213924904991484,True,True,False,False,False,True,6283.530812400415,258.61867019218965,-276.08858923340193,258.61867019218965,62.0,1.0106452335062477,0.011956149492884762,False,0.5282798879027135,False,0.030902777777777835,False,False,0.14480117312442667,0.030902777777777835,True,False,-27.45755087331507,5.645286000047957e-166,True,True,1.4395707089515721,1.1259551823684636e-19,True,True,-28.215703257998257,False,True,selection_limited
6,assignment_isolation,plus_one_randomisation,True,ok,-25.4160473869169,5.900936823171702,1.7087925495597318,-34.33251909054778,16.800507729884917,0.001,1.0,0.001,1.0,,,,,0,0,[],[],True,False,False,False,True,0.007071067811865475,0.0071385363068396605,8,24,8,16,0.6666666666666666,"{""insufficient_leverage"": 16}",0.4785193452380952,0.5021186440677967,1.1622837925643774,True,True,False,False,False,True,5944.694029949552,248.26518209775122,-259.1397576114139,248.26518209775122,62.5,0.9481380771347095,0.008749504754796645,False,0.4822056511255515,False,0.01944444444444443,False,False,0.14714811971758612,0.01944444444444443,True,False,-19.646792744035803,6.158331292951538e-86,True,True,1.4611096339417355,1.2611823546558265e-18,True,True,-26.24363008020131,False,True,selection_limited
7,assignment_isolation,plus_one_randomisation,True,ok,-41.91538871894828,7.069918997679546,-28.146010801869533,-55.38221107704702,17.499230671447542,0.001,1.0,0.001,1.0,,,,,0,0,[],[],True,False,True,False,False,0.007071067811865475,0.007216700014748491,6,24,6,18,0.75,"{""insufficient_leverage"": 18}",0.46135791881074895,0.5024865591397849,1.4554926111763935,True,True,False,False,False,True,6750.950956211609,274.2531204750163,-295.13517594474547,274.2531204750163,62.0,0.9943824563619003,0.0011973576601034999,False,0.5104385798974012,False,0.032638888888888884,False,False,0.2375751410128963,0.032638888888888884,True,True,-19.944518388867063,1.6725297315128574e-88,True,True,1.4783464257782493,8.328484864901101e-21,True,True,-26.70309229784058,False,True,selection_limited
8,assignment_isolation,plus_one_randomisation,True,ok,-33.23863767878438,7.419897048342979,-16.619515208073008,-45.10152516124241,17.67102620389712,0.001,1.0,0.001,1.0,,,,,0,0,[],[],True,False,False,False,True,0.007071067811865475,0.007306728804823495,10,24,10,14,0.5833333333333334,"{""insufficient_leverage"": 14}",0.46579861111111104,0.5008736559139784,0.9506772393739009,True,True,False,False,False,True,5136.533041044484,207.09741204015643,-232.81451219403786,207.09741204015643,60.4,1.0034673091315387,0.008103560472870064,False,0.5215794835406933,False,0.03333333333333338,False,False,0.18557245709506875,0.03333333333333338,True,False,-22.240597742148864,1.3909110106510244e-109,True,True,1.4349872398992582,1.1141049223115542e-17,True,True,-25.83558304120608,False,True,selection_limited
9,assignment_isolation,plus_one_randomisation,True,ok,-24.086241800312813,7.2390942457613665,0.6663160230254981,-37.31579893672594,16.32055995294433,0.001,1.0,0.001,1.0,,,,,0,0,[],[],True,False,False,False,True,0.007071067811865475,0.007182560083297895,5,24,5,19,0.7916666666666666,"{""insufficient_leverage"": 19}",0.45147606860632183,0.5071428571428572,1.2637987376749582,True,True,False,False,False,True,6850.932592511522,285.5943405261104,-293.22964946646465,285.5943405261104,61.4,0.9185409198861311,0.009550038678104184,False,0.5229353867591411,False,0.02395833333333336,False,False,0.1435525644579371,0.02395833333333336,True,False,-17.91371808661248,9.216804515899e-72,True,True,1.4032831301400734,6.825556711033262e-20,True,True,-26.36688671288335,False,True,selection_limited
