replicate,inference_route,calibration,route_valid,route_reason,beta_hat,se,ucb,lcb,beta_min,p_infer_less,p_infer_greater,p_rand_less,p_rand_greater,p_seq_less,p_seq_greater,log_e_seq_less,log_e_seq_greater,n_evalue_terms,n_evalue_participants,evalue_fold_term_counts,evalue_fold_participant_counts,infer_neg_pass,infer_pos_pass,magnitude_neg_pass,magnitude_pos_pass,component_disagreement,sigma_tau_design,sigma_tau_eff,N,N_eligible,N_estimable,N_nonestimable,nonestimable_fraction,nonestimable_reasons,median_leverage_fraction,min_leverage_fraction_estimable,estimability_summary_max_smd,estimability_summary_fired,estimability_information_sufficient,estimability_support_passed,estimability_opposite_passed,estimability_adequacy_passed,estimability_conclusion_changing,nonestimable_abs_bound_sum,support_ucb_upper,eligible_lcb_lower,eligible_ucb_upper,nbar_ret,sigma_blind,leak_excursion,leak_fired,delivery_p99_ms,delivery_fired,retention_imbalance,retention_fired,balance_fired,gate_required,gate_audited,gate_passed,gate_applicable,collider_inter_z,collider_inter_p,collider_inter_valid,collider_inter_fired,collider_smd,collider_smd_min_p,collider_smd_valid,collider_smd_fired,collider_rank_z,collider_invalid,collider_fired,decision
0,assignment_isolation,plus_one_randomisation,True,ok,-57.5727090809337,3.4363925766376977,-50.85679167679415,-63.39207361390396,30.842938940210054,0.001,1.0,0.001,1.0,,,,,0,0,[],[],True,False,True,False,False,0.007071067811865475,0.007101828362457645,24,24,24,0,0.0,{},0.8017933723196882,0.6908914728682171,0.0,False,True,True,False,False,False,0.0,-50.85679167679415,-63.39207361390396,-50.85679167679415,94.83333333333333,1.066538257366325,0.013388546595696887,False,0.502098627512795,False,0.027430555555555625,False,False,0.52879288218513,0.027430555555555625,True,True,-1.6356380731993778,0.10191535711146393,True,False,0.08957638810934132,0.4672883178117491,True,False,-8.234361447876639,False,False,supported
1,assignment_isolation,plus_one_randomisation,True,ok,-64.59509981678003,3.3013069298006985,-58.999749656849936,-70.13754604501922,31.26795186402855,0.001,1.0,0.001,1.0,,,,,0,0,[],[],True,False,True,False,False,0.007071067811865475,0.0071297929697194595,24,24,24,0,0.0,{},0.81872852233677,0.7454071969696969,0.0,False,True,True,False,False,False,0.0,-58.999749656849936,-70.13754604501922,-58.999749656849936,96.20833333333333,1.0933336226571928,0.037981830808210805,False,0.4962097859805187,False,0.048958333333333326,False,False,0.5684653888488281,0.048958333333333326,True,True,-0.33095275878309505,0.7406801695630136,True,False,0.14474628587192717,0.14499756726206808,True,False,-9.151909977309456,False,False,supported
2,assignment_isolation,plus_one_randomisation,True,ok,-61.277893358683706,4.071644142974832,-53.952600904782166,-68.07121877904943,31.87193378648375,0.001,1.0,0.001,1.0,,,,,0,0,[],[],True,False,True,False,False,0.007071067811865475,0.0070783533403747986,24,24,24,0,0.0,{},0.7987280701754385,0.7370879120879119,0.0,False,True,True,False,False,False,0.0,-53.952600904782166,-68.07121877904943,-53.952600904782166,96.41666666666667,1.1076096055648932,0.015615412529948029,False,0.5213177718898778,False,0.012499999999999956,False,False,0.5396257800079292,0.012499999999999956,True,True,-1.408369399346343,0.15902171549528887,True,False,0.16649383061035072,0.2724971129146695,True,False,-8.424491066202107,False,False,supported
3,assignment_isolation,plus_one_randomisation,True,ok,-59.207944811457104,3.8052910711279524,-52.78391884690051,-66.00534359988231,31.69803877055144,0.001,1.0,0.001,1.0,,,,,0,0,[],[],True,False,True,False,False,0.007071067811865475,0.007135627057999846,24,24,24,0,0.0,{},0.8047371565113499,0.7447010869565218,0.0,False,True,True,False,False,False,0.0,-52.78391884690051,-66.00534359988231,-52.78391884690051,94.83333333333333,1.1013238600453674,0.017199414096328233,False,0.5238406088461296,False,0.024652777777777746,False,False,0.5269916155183783,0.024652777777777746,True,True,0.46745925477119615,0.6401713369561675,True,False,0.14678075396810625,0.1797980659880973,True,False,-7.79799313119091,False,False,supported
4,assignment_isolation,plus_one_randomisation,True,ok,-65.09347401757263,4.836960653799179,-57.07019193862155,-73.06933146342922,32.6108655253424,0.001,1.0,0.001,1.0,,,,,0,0,[],[],True,False,True,False,False,0.007071067811865475,0.006984812103101121,24,24,24,0,0.0,{},0.7946211734693877,0.6909574468085108,0.0,False,True,True,False,False,False,0.0,-57.07019193862155,-73.06933146342922,-57.07019193862155,97.29166666666667,1.1233753221767517,0.0012223492343731732,False,0.5294019806767872,False,0.03472222222222221,False,False,0.5599680617534822,0.03472222222222221,True,True,-0.7770751884750795,0.4371144114512635,True,False,0.24637539662448504,0.06627261930413751,True,False,-10.178353877486472,False,False,supported
5,assignment_isolation,plus_one_randomisation,True,ok,-61.20320869445741,3.5449331757433367,-54.815969568857945,-67.01268888417344,31.393320770444262,0.001,1.0,0.001,1.0,,,,,0,0,[],[],True,False,True,False,False,0.007071067811865475,0.007072881291374491,24,24,24,0,0.0,{},0.7941585913910538,0.7372340425531914,0.0,False,True,True,False,False,False,0.0,-54.815969568857945,-67.01268888417344,-54.815969568857945,96.29166666666667,1.0894266198014082,0.006449453688995309,False,0.500534669204472,False,0.032638888888888884,False,False,0.5463770380838942,0.032638888888888884,True,True,0.49773518709201575,0.6186707035594233,True,False,0.11806947593361854,0.20766672893617252,True,False,-9.087307012583832,False,False,supported
6,assignment_isolation,plus_one_randomisation,True,ok,-54.673358136954334,4.058429428480537,-48.44785660220145,-61.654703318829156,31.50061373280828,0.001,1.0,0.001,1.0,,,,,0,0,[],[],True,False,True,False,False,0.007071067811865475,0.007070454939912283,24,24,24,0,0.0,{},0.7865618556701033,0.6992673992673993,0.0,False,True,True,False,False,False,0.0,-48.44785660220145,-61.654703318829156,-48.44785660220145,94.79166666666667,1.0842300957825544,0.02715853645705779,False,0.5366302109608269,False,0.02604166666666674,False,False,0.4988430638220791,0.02604166666666674,True,True,-1.9158132727934216,0.05538886768707358,True,False,0.16427952588226052,0.03830330895246304,True,False,-9.534043264205325,False,False,supported
7,assignment_isolation,plus_one_randomisation,True,ok,-62.4024299316427,3.2484592609853182,-57.01655634577444,-67.94830898848186,31.870066452931578,0.001,1.0,0.001,1.0,,,,,0,0,[],[],True,False,True,False,False,0.007071067811865475,0.007060093572928723,24,24,24,0,0.0,{},0.7929143460915589,0.7159003831417624,0.0,False,True,True,False,False,False,0.0,-57.01655634577444,-67.94830898848186,-57.01655634577444,95.45833333333333,1.0991838890886825,0.0056629118528832975,False,0.5472723771849061,False,0.024652777777777746,False,False,0.550990171627152,0.024652777777777746,True,True,-0.3944080501407528,0.693279801341687,True,False,0.1219590225519847,0.14989685029182662,True,False,-9.800217558185096,False,False,supported
8,assignment_isolation,plus_one_randomisation,True,ok,-56.571975352325815,3.618178497261307,-49.41594273150996,-62.33440259522104,30.94518860800533,0.001,1.0,0.001,1.0,,,,,0,0,[],[],True,False,True,False,False,0.007071067811865475,0.007090119159964062,24,24,24,0,0.0,{},0.8268795289855072,0.6954212454212452,0.0,False,True,True,False,False,False,0.0,-49.41594273150995,-62.33440259522104,-49.41594273150995,97.0,1.080444690651127,0.03678058073094969,False,0.5172412819022736,False,0.023263888888888862,False,False,0.5153653157625155,0.023263888888888862,True,True,0.3556238975131608,0.7221222444974084,True,False,0.22583154256038251,0.03032421007676639,True,False,-8.567311787709217,False,False,supported
9,assignment_isolation,plus_one_randomisation,True,ok,-56.77112150240583,3.4414355257240663,-50.711776262914746,-62.326640823073454,30.269414578170007,0.001,1.0,0.001,1.0,,,,,0,0,[],[],True,False,True,False,False,0.007071067811865475,0.0070952125204729165,24,24,24,0,0.0,{},0.804904990842491,0.7053370786516855,0.0,False,True,True,False,False,False,0.0,-50.711776262914746,-62.326640823073454,-50.711776262914746,95.20833333333333,1.0477964327921017,0.03184989837034949,False,0.49947958121672537,False,0.02083333333333337,False,False,0.5304268768408179,0.02083333333333337,True,True,-1.2421854429079775,0.2141681493442249,True,False,0.24773689154197326,0.033289929549481,True,False,-8.625537202712286,False,False,supported
