replicate,inference_route,calibration,route_valid,route_reason,beta_hat,se,ucb,lcb,beta_min,p_infer_less,p_infer_greater,p_rand_less,p_rand_greater,p_seq_less,p_seq_greater,log_e_seq_less,log_e_seq_greater,n_evalue_terms,n_evalue_participants,evalue_fold_term_counts,evalue_fold_participant_counts,infer_neg_pass,infer_pos_pass,magnitude_neg_pass,magnitude_pos_pass,component_disagreement,sigma_tau_design,sigma_tau_eff,N,N_eligible,N_estimable,N_nonestimable,nonestimable_fraction,nonestimable_reasons,median_leverage_fraction,min_leverage_fraction_estimable,estimability_summary_max_smd,estimability_summary_fired,estimability_information_sufficient,estimability_support_passed,estimability_opposite_passed,estimability_adequacy_passed,estimability_conclusion_changing,nonestimable_abs_bound_sum,support_ucb_upper,eligible_lcb_lower,eligible_ucb_upper,nbar_ret,sigma_blind,leak_excursion,leak_fired,delivery_p99_ms,delivery_fired,retention_imbalance,retention_fired,balance_fired,gate_required,gate_audited,gate_passed,gate_applicable,collider_inter_z,collider_inter_p,collider_inter_valid,collider_inter_fired,collider_smd,collider_smd_min_p,collider_smd_valid,collider_smd_fired,collider_rank_z,collider_invalid,collider_fired,decision
0,assignment_isolation,plus_one_randomisation,True,ok,-81.94457443068744,2.6686184422381336,-77.52285635626964,-87.14216491849692,33.25610532991384,0.001,1.0,0.001,1.0,,,,,0,0,[],[],True,False,True,False,False,0.007071067811865475,0.007041436045648961,24,24,24,0,0.0,{},0.7937275985663081,0.7196629213483144,0.0,False,True,True,False,False,False,0.0,-77.52285635626964,-87.14216491849692,-77.52285635626964,95.16666666666667,1.1422076364766853,0.507237956812346,True,0.5299949362970087,False,0.026388888888888906,False,False,0.6498168937245051,0.026388888888888906,True,True,-0.3456259613547045,0.7296238327220739,True,False,0.20121540636322965,0.021513730797301924,True,False,-13.320340812048473,False,False,diagnostic_failure
1,assignment_isolation,plus_one_randomisation,True,ok,-88.47391469683487,2.6405752583221016,-84.01790464613536,-92.84548856482937,34.4915517985031,0.001,1.0,0.001,1.0,,,,,0,0,[],[],True,False,True,False,False,0.007071067811865475,0.007061458652847873,24,24,24,0,0.0,{},0.7997771285933729,0.7088709677419355,0.0,False,True,True,False,False,False,0.0,-84.01790464613536,-92.84548856482938,-84.01790464613536,96.41666666666667,1.1957853139413268,0.5260431874160155,True,0.5061781975588604,False,0.015972222222222165,False,False,0.6617498621810565,0.015972222222222165,True,True,-1.2285952400185092,0.21922360104692262,True,False,0.09449933616940341,0.5768511525566735,True,False,-13.726035327509374,False,False,diagnostic_failure
2,assignment_isolation,plus_one_randomisation,True,ok,-85.76574069774131,2.4949070777354407,-81.35059535404555,-90.5733048645868,33.888473176007366,0.001,1.0,0.001,1.0,,,,,0,0,[],[],True,False,True,False,False,0.007071067811865475,0.007030822300273354,24,24,24,0,0.0,{},0.7907912823295351,0.6499999999999999,0.0,False,True,True,False,False,False,0.0,-81.35059535404555,-90.5733048645868,-81.35059535404555,95.5,1.1642059487899097,0.5124090703615657,True,0.5162604845430018,False,0.023263888888888862,False,False,0.6600977185443277,0.023263888888888862,True,True,-1.6899902879882558,0.09102981269820341,True,False,0.2820364325816501,0.015388716918199685,True,False,-14.15872659243382,False,False,diagnostic_failure
3,assignment_isolation,plus_one_randomisation,True,ok,-82.46837032718044,2.540987940963276,-77.54352699514318,-86.1216097830475,33.57326118726492,0.001,1.0,0.001,1.0,,,,,0,0,[],[],True,False,True,False,False,0.007071067811865475,0.007078146331028488,24,24,24,0,0.0,{},0.8059782608695651,0.7074906367041199,0.0,False,True,True,False,False,False,0.0,-77.54352699514318,-86.1216097830475,-77.54352699514318,95.375,1.160380296488194,0.5254289000800388,True,0.532464603721342,False,0.015972222222222165,False,False,0.6461034557627017,0.015972222222222165,True,True,-0.46589949669509123,0.6412874414343406,True,False,0.19822846141450523,0.2886389392206832,True,False,-10.883636673938627,False,False,diagnostic_failure
4,assignment_isolation,plus_one_randomisation,True,ok,-81.83188299010418,2.5922070295190056,-77.03715786667155,-85.98834545646174,33.053528590866506,0.001,1.0,0.001,1.0,,,,,0,0,[],[],True,False,True,False,False,0.007071067811865475,0.007070919275469678,24,24,24,0,0.0,{},0.8017212674543501,0.7333333333333334,0.0,False,True,True,False,False,False,0.0,-77.03715786667155,-85.98834545646174,-77.03715786667155,96.375,1.1472178822805392,0.5037230523410259,True,0.5114069849901866,False,0.012847222222222232,False,False,0.6475510387844385,0.012847222222222232,True,True,0.986586637790322,0.32384532345616834,True,False,0.19954621935317526,0.23931946769258658,True,False,-12.49297138005701,False,False,diagnostic_failure
5,assignment_isolation,plus_one_randomisation,True,ok,-85.93762115110319,3.081560163646921,-79.2297922947114,-90.16255411255754,33.60212534453804,0.001,1.0,0.001,1.0,,,,,0,0,[],[],True,False,True,False,False,0.007071067811865475,0.007096766655197821,24,24,24,0,0.0,{},0.811004916136495,0.7124526515151517,0.0,False,True,True,False,False,False,0.0,-79.2297922947114,-90.16255411255754,-79.2297922947114,96.58333333333333,1.1717861822395224,0.4983519160413887,True,0.5228514701850367,False,0.02881944444444451,False,False,0.6583753033598555,0.02881944444444451,True,True,-0.6840383444355028,0.4939509531037086,True,False,0.07174104236711817,0.3559503405846408,True,False,-12.235493688581444,False,False,diagnostic_failure
6,assignment_isolation,plus_one_randomisation,True,ok,-83.95108250402366,2.810712683550207,-79.17223838811152,-88.38244706454851,33.31868693754835,0.001,1.0,0.001,1.0,,,,,0,0,[],[],True,False,True,False,False,0.007071067811865475,0.007089984125105059,24,24,24,0,0.0,{},0.807870149015858,0.637450396825397,0.0,False,True,True,False,False,False,0.0,-79.17223838811152,-88.38244706454851,-79.17223838811152,95.08333333333333,1.151742370872241,0.5200724168468371,True,0.4949445786200205,False,0.02499999999999991,False,False,0.6560085524396515,0.02499999999999991,True,True,-1.4619699701823454,0.14374943915961336,True,False,0.19691143244111664,0.07544250895197233,True,False,-11.621529530244983,False,False,diagnostic_failure
7,assignment_isolation,plus_one_randomisation,True,ok,-80.63533393531992,2.766557893241169,-75.75824646513288,-85.40634325622831,32.77382941122845,0.001,1.0,0.001,1.0,,,,,0,0,[],[],True,False,True,False,False,0.007071067811865475,0.007100976421656944,24,24,24,0,0.0,{},0.8085901703894616,0.7041213768115941,0.0,False,True,True,False,False,False,0.0,-75.75824646513288,-85.40634325622831,-75.75824646513288,96.83333333333333,1.1450585787134213,0.505091643658355,True,0.514576314042351,False,0.027430555555555625,False,False,0.6424502648995498,0.027430555555555625,True,True,0.6894561843866865,0.49053623719072637,True,False,0.2391313577891067,0.002286783584913635,True,False,-11.662368522719133,False,False,diagnostic_failure
8,assignment_isolation,plus_one_randomisation,True,ok,-84.63366196064699,1.9822380348526418,-81.29191601929136,-88.04403073151234,32.78459227518134,0.001,1.0,0.001,1.0,,,,,0,0,[],[],True,False,True,False,False,0.007071067811865475,0.0070459986145836985,24,24,24,0,0.0,{},0.8141822000069423,0.681547619047619,0.0,False,True,True,False,False,False,0.0,-81.29191601929136,-88.04403073151234,-81.29191601929136,97.125,1.1382767380111718,0.5055945981225316,True,0.508473106367565,False,0.028124999999999956,False,False,0.6636175317030688,0.028124999999999956,True,True,-0.698820768665916,0.48466404755512627,True,False,0.17175408414869206,0.3149674069490016,True,False,-11.867298147665329,False,False,diagnostic_failure
9,assignment_isolation,plus_one_randomisation,True,ok,-80.72730064954948,3.045181855491588,-76.00467900072512,-86.33112439359863,34.3924617384889,0.001,1.0,0.001,1.0,,,,,0,0,[],[],True,False,True,False,False,0.007071067811865475,0.007050577342637838,24,24,24,0,0.0,{},0.7723667442375888,0.7035440613026818,0.0,False,True,True,False,False,False,0.0,-76.00467900072512,-86.33112439359861,-76.00467900072512,93.08333333333333,1.1697523105332486,0.5080865618648813,True,0.50425472751342,False,0.010763888888888906,False,False,0.6343213169860704,0.010763888888888906,True,True,0.7279741423078674,0.4666294151418927,True,False,0.14676109933904943,0.08090077796308895,True,False,-12.175701001879613,False,False,diagnostic_failure
