replicate,inference_route,calibration,route_valid,route_reason,beta_hat,se,ucb,lcb,beta_min,p_infer_less,p_infer_greater,p_rand_less,p_rand_greater,p_seq_less,p_seq_greater,log_e_seq_less,log_e_seq_greater,n_evalue_terms,n_evalue_participants,evalue_fold_term_counts,evalue_fold_participant_counts,infer_neg_pass,infer_pos_pass,magnitude_neg_pass,magnitude_pos_pass,component_disagreement,sigma_tau_design,sigma_tau_eff,N,N_eligible,N_estimable,N_nonestimable,nonestimable_fraction,nonestimable_reasons,median_leverage_fraction,min_leverage_fraction_estimable,estimability_summary_max_smd,estimability_summary_fired,estimability_information_sufficient,estimability_support_passed,estimability_opposite_passed,estimability_adequacy_passed,estimability_conclusion_changing,nonestimable_abs_bound_sum,support_ucb_upper,eligible_lcb_lower,eligible_ucb_upper,nbar_ret,sigma_blind,leak_excursion,leak_fired,delivery_p99_ms,delivery_fired,retention_imbalance,retention_fired,balance_fired,gate_required,gate_audited,gate_passed,gate_applicable,collider_inter_z,collider_inter_p,collider_inter_valid,collider_inter_fired,collider_smd,collider_smd_min_p,collider_smd_valid,collider_smd_fired,collider_rank_z,collider_invalid,collider_fired,decision
0,assignment_isolation,plus_one_randomisation,True,ok,56.543715382956314,3.9024537586302803,63.16853594757359,49.23640432181181,30.898425899190006,1.0,0.001,1.0,0.001,,,,,0,0,[],[],False,True,False,True,False,0.007071067811865475,0.007043875794311146,24,24,24,0,0.0,{},0.8000792079207919,0.6916666666666667,0.0,False,True,False,True,False,False,0.0,63.16853594757359,49.23640432181181,63.16853594757359,95.66666666666667,1.0643840792051786,0.01183065726475408,False,0.497370478777384,False,0.018749999999999933,False,False,0.5217381922623957,0.018749999999999933,True,True,0.04115202889173905,0.9671746966472797,True,False,0.10048156111939055,0.2839652128383756,True,False,7.667280265743119,False,False,opposite_direction
1,assignment_isolation,plus_one_randomisation,True,ok,68.968525413862,3.7408815386279106,75.81779907808692,62.58163881547534,31.8372488569966,1.0,0.001,1.0,0.001,,,,,0,0,[],[],False,True,False,True,False,0.007071067811865475,0.007087650734832412,24,24,24,0,0.0,{},0.816129288710121,0.6791176470588235,0.0,False,True,False,True,False,False,0.0,75.81779907808692,62.58163881547534,75.81779907808692,96.91666666666667,1.1107263607327373,0.012869630877117585,False,0.4989673297170608,False,0.015277777777777724,False,False,0.5900332642028113,0.015277777777777724,True,True,1.7183785209775706,0.08572759550574106,True,False,0.1759207012658482,0.02702130506706894,True,False,11.39885022691936,False,False,opposite_direction
2,assignment_isolation,plus_one_randomisation,True,ok,54.44499426731603,4.085760248747446,61.954356935250864,48.320308235142406,31.173415501668796,1.0,0.001,1.0,0.001,,,,,0,0,[],[],False,True,False,True,False,0.007071067811865475,0.007065655808709564,24,24,24,0,0.0,{},0.8053357712765958,0.7105311355311357,0.0,False,True,False,True,False,False,0.0,61.954356935250864,48.3203082351424,61.954356935250864,96.0,1.0790522800054676,0.019626265913200224,False,0.5258621201171247,False,0.028124999999999956,False,False,0.49910638461388673,0.028124999999999956,True,True,0.8174872782604989,0.4136500165014737,True,False,0.10526603401291673,0.2832087263687605,True,False,8.164590030559184,False,False,opposite_direction
3,assignment_isolation,plus_one_randomisation,True,ok,58.95749815513802,2.9975857301790656,64.37103815217048,53.91776740642271,31.352113001696253,1.0,0.001,1.0,0.001,,,,,0,0,[],[],False,True,False,True,False,0.007071067811865475,0.007076478342415597,24,24,24,0,0.0,{},0.7992234674768783,0.6704212454212453,0.0,False,True,False,True,False,False,0.0,64.37103815217048,53.91776740642271,64.37103815217048,95.79166666666667,1.0857200718296105,0.004936714774301061,False,0.47247468892288863,False,0.021180555555555536,False,False,0.531411783267492,0.021180555555555536,True,True,0.9453211801934449,0.34449492845398955,True,False,0.1023936209000137,0.40444392264274426,True,False,9.447352741436458,False,False,opposite_direction
4,assignment_isolation,plus_one_randomisation,True,ok,59.259938438228765,3.7834653879192883,65.0736243830356,51.981202002973916,32.40403038469157,1.0,0.001,1.0,0.001,,,,,0,0,[],[],False,True,False,True,False,0.007071067811865475,0.007040246448857254,24,24,24,0,0.0,{},0.7789399685459467,0.7018981481481481,0.0,False,True,False,True,False,False,0.0,65.0736243830356,51.98120200297391,65.0736243830356,94.66666666666667,1.109827392913457,0.003722433009334155,False,0.5217271464507466,False,0.023611111111111138,False,False,0.5239895812446542,0.023611111111111138,True,True,0.37881917036935725,0.7048221506320851,True,False,0.09043684657388519,0.2937651841037857,True,False,9.783783584374067,False,False,opposite_direction
5,assignment_isolation,plus_one_randomisation,True,ok,57.27968443719627,3.5452586129954278,63.27324972216953,51.38752427765587,32.21759071231681,1.0,0.001,1.0,0.001,,,,,0,0,[],[],False,True,False,True,False,0.007071067811865475,0.007069363218753962,24,24,24,0,0.0,{},0.7893719125859107,0.7232558139534883,0.0,False,True,False,True,False,False,0.0,63.27324972216953,51.38752427765587,63.27324972216953,95.08333333333333,1.1104411813987287,0.026283313980674194,False,0.495475193860948,False,0.02499999999999991,False,False,0.5087915228945752,0.02499999999999991,True,True,-2.400313046386242,0.016381056061629706,True,False,0.27051128347461667,0.023268869114433658,True,False,7.410608146444557,False,False,opposite_direction
6,assignment_isolation,plus_one_randomisation,True,ok,58.77897989348268,3.2899926887520112,64.05432163126267,52.35681518883394,32.021042091238165,1.0,0.001,1.0,0.001,,,,,0,0,[],[],False,True,False,True,False,0.007071067811865475,0.007051675037583574,24,24,24,0,0.0,{},0.7810606060606062,0.7087912087912087,0.0,False,True,False,True,False,False,0.0,64.05432163126267,52.35681518883394,64.05432163126267,95.0,1.1004227464121776,0.009890426062386512,False,0.5243845401496112,False,0.02430555555555558,False,False,0.524148562098726,0.02430555555555558,True,True,0.8508027931030302,0.39487890984158514,True,False,0.0821223489872758,0.4183673910506836,True,False,8.024435520822534,False,False,opposite_direction
7,assignment_isolation,plus_one_randomisation,True,ok,60.619860785990085,3.725061933943088,66.6524538453413,53.70062724703763,31.380111145487646,1.0,0.001,1.0,0.001,,,,,0,0,[],[],False,True,False,True,False,0.007071067811865475,0.007119281608054054,24,24,24,0,0.0,{},0.8252371070440376,0.7067204301075269,0.0,False,True,False,True,False,False,0.0,66.6524538453413,53.70062724703763,66.6524538453413,96.875,1.099427287070878,0.022192943453162164,False,0.5290711035803263,False,0.02777777777777779,False,False,0.5381359820762778,0.02777777777777779,True,True,0.8086959691976306,0.41869004727917114,True,False,0.18200380740657787,0.16800039301244785,True,False,9.714395166371986,False,False,opposite_direction
8,assignment_isolation,plus_one_randomisation,True,ok,62.74471223759374,3.868343037821742,69.2796520198422,55.612578632247896,31.75575074671624,1.0,0.001,1.0,0.001,,,,,0,0,[],[],False,True,False,True,False,0.007071067811865475,0.007050878611269466,24,24,24,0,0.0,{},0.8066025504404659,0.7409498207885306,0.0,False,True,False,True,False,False,0.0,69.2796520198422,55.612578632247896,69.2796520198422,96.625,1.1004755048115946,0.0026358404036562234,False,0.5187023401924512,False,0.035069444444444486,False,False,0.5528781064397301,0.035069444444444486,True,True,1.5228716470892203,0.12779082049907975,True,False,0.206460944486871,0.027541011033301227,True,False,9.554348459827285,False,False,opposite_direction
9,assignment_isolation,plus_one_randomisation,True,ok,54.909850462271386,3.693564369904344,61.05055338461125,48.590723293086604,31.203966125383236,1.0,0.001,1.0,0.001,,,,,0,0,[],[],False,True,False,True,False,0.007071067811865475,0.007064376226523793,24,24,24,0,0.0,{},0.7757067572892042,0.7159498207885303,0.0,False,True,False,True,False,False,0.0,61.05055338461125,48.590723293086604,61.05055338461125,94.08333333333333,1.0690794225087195,0.004800544991596988,False,0.5282121123493984,False,0.011458333333333348,False,False,0.5069058233907668,0.011458333333333348,True,True,1.1626598736902598,0.24496752799352428,True,False,0.19431556476509285,0.07247217941405261,True,False,7.614254479068117,False,False,opposite_direction
10,assignment_isolation,plus_one_randomisation,True,ok,60.967536135164,4.476819900714077,69.79522793378499,53.36317893915597,31.826659125536388,1.0,0.001,1.0,0.001,,,,,0,0,[],[],False,True,False,True,False,0.007071067811865475,0.007090627472630203,24,24,24,0,0.0,{},0.8162450031559015,0.6748062015503876,0.0,False,True,False,True,False,False,0.0,69.79522793378499,53.36317893915597,69.79522793378499,96.83333333333333,1.110345577367814,0.001168848033863325,False,0.5123889022499035,False,0.018750000000000044,False,False,0.53630179974932,0.018750000000000044,True,True,0.861241452170734,0.38910507412091166,True,False,0.16206605965422727,0.08495125228785384,True,False,9.237921644948994,False,False,opposite_direction
11,assignment_isolation,plus_one_randomisation,True,ok,60.454387154085474,4.154896978261663,68.08055443286155,54.0431653822557,30.788689746407655,1.0,0.001,1.0,0.001,,,,,0,0,[],[],False,True,False,True,False,0.007071067811865475,0.007043120620109288,24,24,24,0,0.0,{},0.7808696472363704,0.6954166666666667,0.0,False,True,False,True,False,False,0.0,68.08055443286155,54.0431653822557,68.08055443286155,95.58333333333333,1.060028211612781,0.016596533198277405,False,0.5315643836258637,False,0.029861111111111116,False,False,0.5529930824528506,0.029861111111111116,True,True,0.5872831138949932,0.5570135800876022,True,False,0.1896076855344664,0.015547578283677189,True,False,8.498620411917162,False,False,opposite_direction
12,assignment_isolation,plus_one_randomisation,True,ok,55.73255358883703,4.197465306975016,62.51888421134359,48.34448224251163,30.877878418782803,1.0,0.001,1.0,0.001,,,,,0,0,[],[],False,True,False,True,False,0.007071067811865475,0.007028350001541891,24,24,24,0,0.0,{},0.7870103092783507,0.6957831325301205,0.0,False,True,False,True,False,False,0.0,62.51888421134359,48.34448224251164,62.51888421134359,95.25,1.0590179710483272,0.027362885217587236,False,0.5356250759779914,False,0.017013888888888884,False,False,0.5176014487614813,0.017013888888888884,True,True,0.30782423270913345,0.758216081299978,True,False,0.09295217550497642,0.29376259012563877,True,False,7.035432106978448,False,False,opposite_direction
13,assignment_isolation,plus_one_randomisation,True,ok,59.89615480010851,4.7614856315810945,68.26975876719273,51.90771017384884,32.29446890211858,1.0,0.001,1.0,0.001,,,,,0,0,[],[],False,True,False,True,False,0.007071067811865475,0.007057447023048117,24,24,24,0,0.0,{},0.7920411781733969,0.715036231884058,0.0,False,True,False,True,False,False,0.0,68.26975876719273,51.90771017384884,68.26975876719273,94.08333333333333,1.105355879953815,0.01068960261336296,False,0.4925066752468627,False,0.028472222222222232,False,False,0.5304738160144045,0.028472222222222232,True,True,-3.3726045637018034,0.0007446080744547346,True,True,0.19385209168064274,0.019529938004123396,True,False,7.302538525774176,False,True,selection_limited
