replicate,inference_route,calibration,route_valid,route_reason,beta_hat,se,ucb,lcb,beta_min,p_infer_less,p_infer_greater,p_rand_less,p_rand_greater,p_seq_less,p_seq_greater,log_e_seq_less,log_e_seq_greater,n_evalue_terms,n_evalue_participants,evalue_fold_term_counts,evalue_fold_participant_counts,infer_neg_pass,infer_pos_pass,magnitude_neg_pass,magnitude_pos_pass,component_disagreement,sigma_tau_design,sigma_tau_eff,N,N_eligible,N_estimable,N_nonestimable,nonestimable_fraction,nonestimable_reasons,median_leverage_fraction,min_leverage_fraction_estimable,estimability_summary_max_smd,estimability_summary_fired,estimability_information_sufficient,estimability_support_passed,estimability_opposite_passed,estimability_adequacy_passed,estimability_conclusion_changing,nonestimable_abs_bound_sum,support_ucb_upper,eligible_lcb_lower,eligible_ucb_upper,nbar_ret,sigma_blind,leak_excursion,leak_fired,delivery_p99_ms,delivery_fired,retention_imbalance,retention_fired,balance_fired,gate_required,gate_audited,gate_passed,gate_applicable,collider_inter_z,collider_inter_p,collider_inter_valid,collider_inter_fired,collider_smd,collider_smd_min_p,collider_smd_valid,collider_smd_fired,collider_rank_z,collider_invalid,collider_fired,decision
0,assignment_isolation,plus_one_randomisation,True,ok,-32.62868939601377,3.8751795091055623,-25.186160131575132,-38.497667203400866,32.21823679154288,0.001,1.0,0.001,1.0,,,,,0,0,[],[],True,False,False,False,True,0.007071067811865475,0.006791623417614728,20,24,20,4,0.16666666666666666,"{""insufficient_leverage"": 4}",0.5751658841940532,0.5147916666666666,1.626376582708249,True,True,False,False,False,True,1473.1040407694204,40.390868255746575,-93.46072436822658,40.390868255746575,77.1,0.9606663078848169,0.04167549125352903,False,0.4997256225624195,False,0.16041666666666665,True,False,0.3388251739715605,0.16041666666666665,True,False,-20.23856050872816,4.4806582698844116e-91,True,True,1.6899142432647383,1.5959150217606534e-22,True,True,-31.564765737626484,False,True,selection_limited
1,assignment_isolation,plus_one_randomisation,True,ok,-39.00814427384676,3.695044064649342,-32.47483162542905,-45.09596262670936,34.09630204345857,0.001,1.0,0.001,1.0,,,,,0,0,[],[],True,False,False,False,True,0.007071067811865475,0.006684134654778069,22,24,22,2,0.08333333333333333,"{""insufficient_leverage"": 2}",0.5477143338016626,0.5001141552511416,1.8416723598530718,True,True,False,False,False,True,730.9849063862521,0.6891087761172088,-71.79567017391075,0.6891087761172088,76.5909090909091,0.9972661692154386,0.004018129618667277,False,0.5036768700018782,False,0.1743055555555556,True,False,0.3921554710018592,0.1743055555555556,True,False,-18.105831599378288,2.866494588862568e-73,True,True,1.6622569487898413,2.529542177623413e-21,True,True,-32.396910230130125,False,True,selection_limited
2,assignment_isolation,plus_one_randomisation,True,ok,-36.02941496529755,3.351692482138212,-29.919312750373436,-41.890456989180386,33.23791608934171,0.001,1.0,0.001,1.0,,,,,0,0,[],[],True,False,False,False,True,0.007071067811865475,0.00672022370409072,18,24,18,6,0.25,"{""insufficient_leverage"": 6}",0.5541286149162862,0.5163242009132419,1.6134100319562084,True,True,False,False,False,True,2144.1015111296647,66.89807840095595,-120.75540570562133,66.89807840095595,77.38888888888889,0.9824870331300197,0.007437983728508546,False,0.49574731108508946,False,0.18125000000000002,True,False,0.3671556131763814,0.18125000000000002,True,False,-22.756437192232514,1.2391461350109368e-114,True,True,1.660619570599318,1.6234792009271936e-22,True,True,-30.250254112978574,False,True,selection_limited
3,assignment_isolation,plus_one_randomisation,True,ok,-39.585776318111876,3.4378685016072033,-32.56315889255008,-44.77244453771305,34.05731409688779,0.001,1.0,0.001,1.0,,,,,0,0,[],[],True,False,False,False,True,0.007071067811865475,0.006677393679472262,22,24,22,2,0.08333333333333333,"{""insufficient_leverage"": 2}",0.557034632034632,0.5031111111111111,1.702531387354081,True,True,False,False,False,True,737.2561176769009,0.8694425850332976,-71.76041239610784,0.8694425850332976,77.13636363636364,0.9986584049457589,0.021921901897828514,False,0.514633732078158,False,0.15486111111111112,True,False,0.39743700723462416,0.15486111111111112,True,False,-21.217957315782296,6.519545912865346e-100,True,True,1.6619783147903648,3.35203932654801e-24,True,True,-30.913613658004174,False,True,selection_limited
4,assignment_isolation,plus_one_randomisation,True,ok,-37.580590853648964,3.6355362242442326,-31.31064434470465,-43.37938906019671,33.343896232708644,0.001,1.0,0.001,1.0,,,,,0,0,[],[],True,False,False,False,True,0.007071067811865475,0.006704559213055096,22,24,22,2,0.08333333333333333,"{""insufficient_leverage"": 2}",0.5608044590643275,0.5078125,0.5271450524834875,True,True,False,False,False,True,718.5401917877792,1.237750675178205,-69.70361462967112,1.237750675178205,75.36363636363636,0.9703703174880677,0.0007390309873800474,False,0.5023563556754554,False,0.1694444444444444,True,False,0.38823561969707154,0.1694444444444444,True,False,-16.23654421289719,2.7815899340103346e-59,True,True,1.6671148606038038,1.6459401458745198e-22,True,True,-30.686822401307836,False,True,selection_limited
5,assignment_isolation,plus_one_randomisation,True,ok,-40.91479470934611,3.5249549295723877,-34.75914210418202,-47.0261295185752,33.533002327872666,0.001,1.0,0.001,1.0,,,,,0,0,[],[],True,False,True,False,False,0.007071067811865475,0.006711411568355538,20,24,20,4,0.16666666666666666,"{""insufficient_leverage"": 4}",0.5514704228520018,0.5082159624413145,1.321577812174882,True,True,False,False,False,True,1568.3074206728047,36.38019077454852,-104.53458379351287,36.38019077454852,76.6,0.9848513859152273,0.0011790335725826223,False,0.5010761694622242,False,0.1753472222222222,True,False,0.4163925636835111,0.1753472222222222,True,True,-17.839904857062415,3.4628503318408243e-71,True,True,1.6249894077042624,8.947503986409876e-22,True,True,-29.463164935834605,False,True,selection_limited
6,assignment_isolation,plus_one_randomisation,True,ok,-38.36997861582271,2.1115621505778606,-34.913494123479055,-42.58086600298561,33.68055172357743,0.001,1.0,0.001,1.0,,,,,0,0,[],[],True,False,True,False,False,0.007071067811865475,0.006684562303280706,21,24,21,3,0.125,"{""insufficient_leverage"": 3}",0.5668552927927928,0.5138127853881278,1.7283870439266908,True,True,False,False,False,True,1094.8202725162898,15.068203996801236,-82.87576910745781,15.068203996801236,77.61904761904762,0.9917594143533915,0.04263736067770334,False,0.5260010681993235,False,0.17638888888888893,True,False,0.38783673278483505,0.17638888888888893,True,True,-19.93880763600699,1.874804053405792e-88,True,True,1.6374169814664528,8.48754574593333e-23,True,True,-31.36919305789481,False,True,selection_limited
7,assignment_isolation,plus_one_randomisation,True,ok,-35.642953098547146,3.183862194716754,-30.149603992907007,-40.85054624600616,33.44200764767475,0.001,1.0,0.001,1.0,,,,,0,0,[],[],True,False,False,False,True,0.007071067811865475,0.006764487649509137,22,24,22,2,0.08333333333333333,"{""insufficient_leverage"": 2}",0.5871516015926783,0.5013310185185185,1.0217763869491931,True,True,False,False,False,True,726.8718808342737,2.6491913745966493,-67.73266242693371,2.6491913745966493,77.22727272727273,0.9939913462187793,0.014430326076469496,False,0.5249470403796643,False,0.15694444444444444,True,False,0.35871002107623035,0.15694444444444444,True,False,-17.288001308280116,5.792617263121238e-67,True,True,1.6753266149922015,5.295935258108887e-22,True,True,-29.89269085823477,False,True,selection_limited
8,assignment_isolation,plus_one_randomisation,True,ok,-38.37411115786518,3.5609077938333673,-32.64959157926354,-44.759606357287815,33.436459825332165,0.001,1.0,0.001,1.0,,,,,0,0,[],[],True,False,False,False,True,0.007071067811865475,0.006676472945192669,23,24,23,1,0.041666666666666664,"{""insufficient_leverage"": 1}",0.5543556949806949,0.500900900900901,2.154235888997817,True,True,False,False,False,True,375.66252164589145,-15.636586861548752,-58.5472278276463,-15.636586861548752,77.04347826086956,0.9797275659538841,0.029417687312707455,False,0.49654300464197176,False,0.171875,True,False,0.3926917806774646,0.171875,True,False,-18.259271971864713,1.7460373123862822e-74,True,True,1.6512523469958913,3.2487661289859594e-22,True,True,-31.93873747041441,False,True,selection_limited
9,assignment_isolation,plus_one_randomisation,True,ok,-33.83423807394462,3.146332142775964,-28.395105274643427,-39.475732182075205,34.491474978234756,0.001,1.0,0.001,1.0,,,,,0,0,[],[],True,False,False,False,True,0.007071067811865475,0.006730568439799758,21,24,21,3,0.125,"{""insufficient_leverage"": 3}",0.5592675421900775,0.5203196347031963,0.9516150648808148,True,True,False,False,False,True,1077.853452682907,20.064843413141457,-79.45182618777027,20.064843413141457,75.23809523809524,1.00682133976089,0.00955324282991283,False,0.5192563484756958,False,0.15972222222222232,True,False,0.335016996679204,0.15972222222222232,True,False,-19.547450411443847,4.336587302878258e-85,True,True,1.6292684827673753,3.3229256464588984e-22,True,True,-29.177994323652882,False,True,selection_limited
