replicate,beta_hat,se,ucb,lcb,beta_min,p_rand_less,p_rand_greater,N,nbar_ret,sigma_blind,leak_excursion,leak_fired,delivery_p99_ms,delivery_fired,retention_imbalance,retention_fired,balance_fired,gate_required,gate_audited,gate_passed,collider_inter_z,collider_smd,collider_rank_z,collider_fired,decision
0,35.183492293620766,4.574071665113933,42.867225399924806,27.557912722432764,30.16966977876081,1.0,0.001,24,95.91666666666667,1.0446543136956208,0.01106793976896486,False,0.49726507670561737,False,0.028472222222222232,False,False,0.3358071705015564,0.028472222222222232,True,0.21305447011823983,0.10654056269409755,4.6061349410506685,False,forward_only_adequate
1,45.11444846591909,3.22922254357274,51.16345716308639,39.859706621443266,29.803248180604484,1.0,0.001,24,96.91666666666667,1.0373321547260275,0.003137112333126799,False,0.4989673297170602,False,0.030902777777777724,False,False,0.4353297101856348,0.030902777777777724,True,0.5934523346507146,0.0820946408415488,6.99154758896181,False,opposite_direction
2,35.646804802313106,3.3578427818556054,41.037292868267784,29.8333637464288,29.8983092977029,1.0,0.001,24,96.08333333333333,1.0361572437310418,0.030151881674740283,False,0.525818035206004,False,0.023958333333333304,False,False,0.34345248120808275,0.023958333333333304,True,-0.557168276035788,0.16170040602913285,4.060553315254992,False,forward_only_adequate
3,38.53293192524493,2.3733944045077737,42.31708512757866,34.33987508915159,29.70108320734303,1.0,0.001,24,95.79166666666667,1.0277586951666844,0.018877973359677495,False,0.47247468892288863,False,0.019444444444444486,False,False,0.3756158758006959,0.019444444444444486,True,0.29824002629883023,0.2358948805043372,6.246843059710369,False,opposite_direction
4,37.12833054719699,3.4455586283927215,43.11003494737026,31.04261805575356,30.85922675501872,1.0,0.001,24,94.79166666666667,1.0622460524247774,0.006663311649173576,False,0.5173118647554336,False,0.03472222222222221,False,False,0.34923601559777934,0.03472222222222221,True,1.271870002359222,0.18160318636460074,5.319981139773282,False,opposite_direction
5,38.671325713846855,3.939972072004916,45.14227908471102,31.38897215191002,30.94246135568709,1.0,0.001,24,95.08333333333333,1.0667485541782267,0.0035356457142505827,False,0.495475193860948,False,0.018402777777777768,False,False,0.3628005685156633,0.018402777777777768,True,-2.5120890941504586,0.23383538134528908,5.063560718678639,False,opposite_direction
6,41.55626551349442,3.532373656067381,48.536343838963234,35.873614150135396,30.143971441925064,1.0,0.001,24,95.04166666666667,1.0389927041969758,0.005724528238581778,False,0.5224852733105494,False,0.038541666666666696,False,False,0.40102673452432375,0.038541666666666696,True,0.5886594726071712,0.18919343127394422,5.798884627037975,False,opposite_direction
7,40.4391540500633,3.6921892300673305,47.20730599350292,34.31885205161912,29.850082940058655,1.0,0.001,24,97.08333333333333,1.0398552488560626,0.010382537752899783,False,0.5314082114820315,False,0.02604166666666663,False,False,0.3898695378210474,0.02604166666666663,True,0.2673193715329892,0.19302322099909278,5.407145000459723,False,opposite_direction
8,36.456533372446735,4.838463535876604,45.71399789523668,28.37110780755222,29.811807135373993,1.0,0.001,24,96.54166666666667,1.0356206593441515,0.015603887165769437,False,0.5304536328722591,False,0.03368055555555549,False,False,0.35185711808124315,0.03368055555555549,True,-0.26406060737926396,0.16944833605456378,5.802870149196552,False,forward_only_adequate
9,35.24148573292009,4.376571354356445,42.957822930877555,28.978186296383257,29.922922413954037,1.0,0.001,24,94.08333333333333,1.02616065976259,0.03194062059857029,False,0.5282121123493982,False,0.023611111111111138,False,False,0.3428215030793769,0.023611111111111138,True,-1.0825113262531985,0.2233357977998656,5.248066984737157,False,forward_only_adequate
