replicate,beta_hat,se,ucb,lcb,beta_min,p_rand_less,p_rand_greater,N,nbar_ret,sigma_blind,leak_excursion,leak_fired,delivery_p99_ms,delivery_fired,retention_imbalance,retention_fired,balance_fired,gate_required,gate_audited,gate_passed,collider_inter_z,collider_smd,collider_rank_z,collider_fired,decision
0,-3.288586683048224,3.2526099776181705,3.009784586063215,-8.420468530904888,34.0009760738249,0.162,0.855,24,92.125,1.1538122393951573,0.03554206337686884,False,1.285654002133787,False,0.020486111111111094,False,False,0.018398246716717654,0.020486111111111094,False,-0.08668441027028909,0.16879630042144184,0.36606691640065026,False,forward_only_adequate
1,1.1364650648284318,3.389711877476811,6.489552649988422,-5.463049354653207,33.68648210358295,0.622,0.399,24,93.5,1.1516392862684577,0.004501643734422622,False,1.2862471724587383,False,0.039583333333333304,False,False,0.005495086348532146,0.039583333333333304,False,0.6170872089417198,0.18253674296465688,0.14356445923407377,False,forward_only_adequate
2,1.0647622284380864,2.9322554696742156,6.494410282542699,-3.5037679782370263,34.44525049505506,0.697,0.313,24,93.875,1.1799383832773755,0.020906061432882272,False,1.2745977669380462,False,0.01840277777777788,False,False,0.004969963615039801,0.01840277777777788,False,-0.6635850032152432,0.16831169232997498,0.4129622578186531,False,forward_only_adequate
3,-1.7420149964808642,2.502610899131553,1.982172299147321,-6.136948091235674,33.55009365245276,0.241,0.741,24,93.08333333333333,1.1444180707472247,0.001378359355580617,False,1.3071926724740779,False,0.019444444444444375,False,False,0.008967428798584951,0.019444444444444375,False,-0.9019951436447466,0.15286211177642872,-0.4835081950974704,False,forward_only_adequate
4,-0.9779120847156313,2.7979280145152194,3.2851268687374673,-6.113605133239913,33.179729737557956,0.4,0.595,24,92.625,1.1289948508684093,0.01799137368776672,False,1.3588931024521165,False,0.021874999999999978,False,False,0.004746912636557323,0.021874999999999978,False,0.5909411131207878,0.08707973711671309,-0.41780156019150233,False,forward_only_adequate
5,0.1752392708033869,2.7931545969545675,4.770139165268147,-5.149759835995589,33.0773197404334,0.531,0.449,24,96.79166666666667,1.1505468345830985,0.017844392334696167,False,1.2489684435340425,False,0.023611111111111027,False,False,0.0006987341872959218,0.023611111111111027,False,0.5806606950890069,0.12016731819339686,1.3935408233230135,False,forward_only_adequate
6,-0.5184130678636388,3.13553895756606,4.373411151673601,-5.980019359344341,33.725890368330845,0.473,0.545,24,92.95833333333333,1.149641928995338,0.004934747839388627,False,1.2784727047322353,False,0.025694444444444464,False,False,0.0022954712734952355,0.025694444444444464,False,0.23094559044175877,0.14959383900670536,0.7143562654256337,False,forward_only_adequate
7,6.127379575414332,3.2118475925576644,11.444411206501583,0.06932646840804235,34.18885634832544,0.944,0.054,24,93.29166666666667,1.1675110667150375,0.02358809703076769,False,1.3119805638074455,False,0.013541666666666674,False,False,0.037484165846199534,0.013541666666666674,False,0.408938349894171,0.15354110848785033,1.7213903466914193,False,forward_only_adequate
8,-2.3147474107023087,3.269085406597784,4.0172954476663705,-7.671151613579784,32.70435716960042,0.204,0.779,24,93.91666666666667,1.1205518544017847,0.007965265710715956,False,1.2495905445215179,False,0.007291666666666696,False,False,0.012703697245530799,0.007291666666666696,False,-0.5112209941027855,0.16589033110444013,-0.47645722295688864,False,forward_only_adequate
9,5.048392332542991,3.0847123408785713,10.824738099224632,0.016814638391194237,33.23002817213673,0.926,0.071,24,94.04166666666667,1.139320402588502,0.008611646975251932,False,1.3029909042200953,False,0.018055555555555602,False,False,0.03073545576643709,0.018055555555555602,False,0.9802262880194045,0.1629266354472615,1.001060981568268,False,forward_only_adequate
