replicate,beta_hat,se,ucb,lcb,beta_min,p_rand_less,p_rand_greater,N,nbar_ret,sigma_blind,leak_excursion,leak_fired,delivery_p99_ms,delivery_fired,retention_imbalance,retention_fired,balance_fired,gate_required,gate_audited,gate_passed,collider_inter_z,collider_smd,collider_rank_z,collider_fired,decision
0,1.2921836777036602,2.575221932618177,5.668650717454418,-3.043969168298042,28.600634506574917,0.639,0.354,24,96.04166666666667,0.990970026161726,0.026625736226241977,False,0.5391739904973435,False,0.015625,False,False,0.007717262785640955,0.015625,False,-0.29064291727648517,0.1853622521984435,-0.7908350521884207,False,forward_only_adequate
1,-1.4120947934253323,2.6240280621031786,2.5821695305310297,-6.069151564093796,28.980556419264417,0.38,0.626,24,95.16666666666667,0.9995491518694045,0.001498143316817807,False,0.5201205015319361,False,0.027430555555555514,False,False,0.008450453536501713,0.027430555555555514,False,-1.5385412825339206,0.12145168179767621,-0.9030722689698313,False,forward_only_adequate
2,2.606549376500415,3.4363699952945685,9.377981321739028,-3.004771407507352,29.07131320572656,0.77,0.236,24,95.08333333333333,1.002240286375,0.009464734541204084,False,0.5225327995260924,False,0.023611111111111138,False,False,0.016976813537035618,0.023611111111111138,False,1.2890892898677317,0.14398917269160574,0.5324909982809907,False,forward_only_adequate
3,1.6755480833204957,2.8344057321929688,6.8784017057030455,-2.7611601279830733,28.621870431056646,0.673,0.3,24,98.0,1.0017654650869827,0.04665364473935355,False,0.5139526181614691,False,0.012847222222222232,False,False,0.010237980085150956,0.012847222222222232,False,-1.105629074997535,0.1810582405345461,1.0642960161921218,False,forward_only_adequate
4,3.7257747687733587,2.6028425411008684,7.866524207921541,-1.5346732393758793,28.977916573313777,0.892,0.101,24,95.875,1.0031707316127536,0.007306245309435343,False,0.5101160396623339,False,0.034375000000000044,False,False,0.025653310251852624,0.034375000000000044,False,0.5144853687110909,0.1629961797803253,0.18820625617194814,False,forward_only_adequate
5,1.7529351303906335,2.8045738527016497,6.362739290328016,-3.0223641324480974,28.53156827655441,0.741,0.28,24,96.66666666666667,0.9917883943763511,0.0030071219330092287,False,0.5251407468032033,False,0.01736111111111105,False,False,0.010902295087527403,0.01736111111111105,False,-0.6021408207225717,0.1273808395495039,-0.8766130316882419,False,forward_only_adequate
6,0.40970080770488115,3.2480943432421743,5.899181482452393,-5.065581590910334,29.125251880473066,0.51,0.469,24,93.95833333333333,0.9981420422159034,0.021950134554394044,False,0.5104543155264916,False,0.02083333333333337,False,False,0.0021219997184112496,0.02083333333333337,False,1.9689214191253592,0.18501709410016892,-0.1371356323159184,False,forward_only_adequate
7,-2.078983165044533,3.179134320104904,3.4061900150299587,-7.455666111633214,29.37331037761896,0.289,0.737,24,96.5,1.0201676730144902,0.007352911946623397,False,0.5019843347825543,False,0.013541666666666674,False,False,0.01282855834223069,0.013541666666666674,False,0.4912710478565405,0.1467126356563858,0.6818290652949973,False,forward_only_adequate
8,-5.984224449744684,3.388111652408043,0.07575309556288978,-11.500536991289245,29.199176511096976,0.034,0.98,24,95.29166666666667,1.0077506139175272,0.0049135174596853515,False,0.49490331136832727,False,0.02013888888888893,False,False,0.04446206589007904,0.02013888888888893,False,-1.1664784560129589,0.19393655858916622,-2.3651758358649344,False,forward_only_adequate
9,1.465856340421407,2.831264874304501,5.958375824161185,-3.810512970322068,28.99101705658771,0.695,0.317,24,94.5,0.9964014760167679,0.015905369545611277,False,0.5113627487099309,False,0.021527777777777812,False,False,0.008847991938174005,0.021527777777777812,False,-0.7726091412527999,0.10279587060762528,0.32608890182654576,False,forward_only_adequate
