replicate,beta_hat,se,ucb,lcb,beta_min,p_rand_less,p_rand_greater,N,nbar_ret,sigma_blind,leak_excursion,leak_fired,delivery_p99_ms,delivery_fired,retention_imbalance,retention_fired,balance_fired,gate_required,gate_audited,gate_passed,collider_inter_z,collider_smd,collider_rank_z,collider_fired,decision
0,-86.15760724863294,3.207430654519517,-81.10345680375394,-92.04534912434902,33.719735247095855,0.001,1.0,24,95.16666666666667,1.1630050258486726,0.5224364986529411,True,0.5299949362970087,False,0.018749999999999933,False,False,0.6622323227266467,0.018749999999999933,True,-0.9325345504156111,0.13673379273190417,-13.407058542518373,False,diagnostic_failure
1,-82.84305716124415,2.815816383646682,-77.45572748521964,-87.32223385053635,33.86358178598006,0.001,1.0,24,96.41666666666667,1.1756118496879946,0.5228103803377351,True,0.5061781975588597,False,0.014236111111111116,False,False,0.6427208966852075,0.014236111111111116,True,0.04065456610263379,0.08948242466964335,-11.739939649526134,False,diagnostic_failure
2,-83.89913314730731,2.4306361048217413,-79.82371034486832,-88.25744061341805,34.222557463644875,0.001,1.0,24,95.41666666666667,1.1818968855097691,0.5233049540353137,True,0.5150000308724737,False,0.015625,False,False,0.6456387787075025,0.015625,True,0.04903687015042074,0.11662843473446756,-13.213328022462472,False,diagnostic_failure
3,-84.86572098172384,3.0676665596614203,-78.86083791792329,-89.5634579221961,33.556574306391106,0.001,1.0,24,95.375,1.1586436893078134,0.5304612580436907,True,0.532464603721342,False,0.015277777777777835,False,False,0.6578855896342318,0.015277777777777835,True,0.13371022181106446,0.20905142511181282,-12.428737389251554,False,diagnostic_failure
4,-89.69093098900377,2.9786249038782713,-84.43096419994548,-95.07172445743524,34.04021747986334,0.001,1.0,24,96.375,1.1814885797988717,0.5056537695591347,True,0.5114069849901877,False,0.016319444444444442,False,False,0.671408300746055,0.016319444444444442,True,-2.75295238629689,0.26253677095944267,-13.614197473448446,False,diagnostic_failure
5,-86.94876921750345,2.1426943833459338,-83.05384753825628,-90.95873697789727,33.89146334647554,0.001,1.0,24,96.58333333333333,1.1775962728337264,0.49471067619193876,True,0.5228514701850367,False,0.0215277777777777,False,False,0.6609634084648743,0.0215277777777777,True,0.2799038291096632,0.09674572451129598,-13.674595160317093,False,diagnostic_failure
6,-82.10412939705657,2.736785471103834,-76.79538338288906,-86.52021309224821,33.250100882771044,0.001,1.0,24,95.16666666666667,1.1468071784451095,0.4949530875220339,True,0.494874373099606,False,0.039583333333333304,False,False,0.6490015502736546,0.039583333333333304,True,0.083344235752359,0.10383940740395174,-11.970640972888768,False,diagnostic_failure
7,-82.77667468266117,2.4813118504711413,-79.00186094037869,-87.1944156589849,33.27460847016554,0.001,1.0,24,96.83333333333333,1.1576583310517345,0.527002707914642,True,0.5253709535008433,False,0.017013888888888884,False,False,0.648505538870968,0.017013888888888884,True,-0.2381100964720058,0.06007851278429254,-11.813112342400432,False,diagnostic_failure
8,-80.84709253835673,2.7199266991668942,-75.72210994849934,-85.01253554430389,32.63602438210697,0.001,1.0,24,97.125,1.1371500409217845,0.5124437521866457,True,0.508473106367565,False,0.023958333333333415,False,False,0.6462489799166851,0.023958333333333415,True,0.31096838211388556,0.07650553305125277,-12.586078113800426,False,diagnostic_failure
9,-85.07490550138108,3.1096249432797243,-80.22203715941156,-90.2152143344415,34.816337592642604,0.001,1.0,24,92.91666666666667,1.1865468807249644,0.5521353870759219,True,0.530592175216481,False,0.01388888888888895,False,False,0.649582943142609,0.01388888888888895,True,-1.7251624644101253,0.1310213440023228,-13.12184717485869,False,diagnostic_failure
10,-79.33828471938888,2.383036837870217,-75.37182906608756,-83.61133463810631,33.04344834782031,0.001,1.0,24,96.125,1.1454036059479538,0.5200419572243936,True,0.5209199089386597,False,0.04409722222222223,False,False,0.6358116474206148,0.04409722222222223,True,-1.5811818754185814,0.18906622967288347,-12.304206516283859,False,diagnostic_failure
