replicate,beta_hat,se,ucb,lcb,beta_min,p_rand_less,p_rand_greater,N,nbar_ret,sigma_blind,leak_excursion,leak_fired,delivery_p99_ms,delivery_fired,retention_imbalance,retention_fired,balance_fired,gate_required,gate_audited,gate_passed,collider_inter_z,collider_smd,collider_rank_z,collider_fired,decision
0,55.19609796485647,4.568722944794515,62.860420124182234,47.56305125023318,31.3863241548974,1.0,0.001,24,95.91666666666667,1.0867821610213646,0.01106793976896486,False,0.49726507670561737,False,0.028472222222222232,False,False,0.5019818748112931,0.028472222222222232,True,0.18974144069439275,0.10654056269409755,7.66015334871114,False,opposite_direction
1,65.0830369860131,3.223853634609244,71.1422372853957,59.84226785055121,31.282739545795636,1.0,0.001,24,96.91666666666667,1.0888273460035696,0.003137112333126799,False,0.4989673297170602,False,0.030902777777777724,False,False,0.5735479635853421,0.030902777777777724,True,0.5108029995478526,0.0820946408415488,9.906545603345927,False,opposite_direction
2,55.65638591783439,3.3562898364818743,61.039177235443866,49.8300861472947,31.141436557006717,1.0,0.001,24,96.08333333333333,1.0792391217657349,0.030151881674740283,False,0.525818035206004,False,0.023958333333333304,False,False,0.5086825507411805,0.023958333333333304,True,-0.6227565252189609,0.16170040602913285,6.949761504455356,False,opposite_direction
3,58.47436123019622,2.3653289979539514,62.25251100723686,54.29322635666548,31.039630536322342,1.0,0.001,24,95.79166666666667,1.0740769942888697,0.018877973359677495,False,0.47247468892288863,False,0.019444444444444486,False,False,0.5325369976126808,0.019444444444444486,True,0.2927277777917668,0.2358948805043372,9.248902841579957,False,opposite_direction
4,57.14865648133573,3.4421125625865923,63.12053628918568,51.07417469825779,32.12502323827962,1.0,0.001,24,94.79166666666667,1.1058176988626902,0.006663311649173576,False,0.5173118647554336,False,0.03472222222222221,False,False,0.5096184436348448,0.03472222222222221,True,1.3020813197748209,0.1816031863646007,8.287014229910335,False,opposite_direction
5,58.67209102099207,3.9420843372993684,65.11641110726008,51.38486836903145,32.25677935983002,1.0,0.001,24,95.08333333333333,1.112059973154668,0.0035356457142505827,False,0.495475193860948,False,0.018402777777777768,False,False,0.5187141088669698,0.018402777777777768,True,-2.4425815212207254,0.23383538134528906,7.938990597486204,False,opposite_direction
6,61.54647754927948,3.5313712788252793,68.50995319579796,55.865153269494755,31.57073489467842,1.0,0.001,24,95.04166666666667,1.0881699276056958,0.005724528238581778,False,0.5224852733105494,False,0.038541666666666696,False,False,0.5493453088172249,0.038541666666666696,True,0.5974101092451698,0.18919343127394422,8.720345504231476,False,opposite_direction
7,60.43579255642751,3.696549522632266,67.21374999430564,54.32580364646541,31.209790506739193,1.0,0.001,24,97.08333333333333,1.087221919594006,0.010382537752899783,False,0.5314082114820315,False,0.02604166666666663,False,False,0.5417138811875186,0.02604166666666663,True,0.23468354676336103,0.19302322099909278,8.42938345172262,False,opposite_direction
8,56.49986528691085,4.837232152746479,65.74955896836586,48.415760086207136,31.081446288567978,1.0,0.001,24,96.54166666666667,1.0797261552300321,0.015603887165769437,False,0.5304536328722591,False,0.03368055555555549,False,False,0.5150968450371776,0.03368055555555549,True,-0.29853184978225444,0.16944833605456375,8.792718371045474,False,opposite_direction
9,55.176941175277925,4.364339957563268,62.88531635669811,48.91772184358486,31.200793459204025,1.0,0.001,24,94.08333333333333,1.0699832843292914,0.03194062059857029,False,0.5282121123493982,False,0.023611111111111138,False,False,0.5086656654690768,0.023611111111111138,True,-0.9671061746566997,0.22333579779986562,8.210497028795672,False,opposite_direction
10,57.3326589202097,4.418931078598293,65.39939242214615,49.87520873217419,31.232099677194707,1.0,0.001,24,97.41666666666667,1.0898652892377332,0.023394363217221003,False,0.5121861755994299,False,0.023263888888888862,False,False,0.5174227221459139,0.023263888888888862,True,0.44400034602696986,0.17915428731002336,8.113356828161331,False,opposite_direction
11,62.45567580058768,4.1892236835126635,70.0098690520387,55.42858637840099,30.91189694105068,1.0,0.001,24,95.58333333333333,1.0684931671180178,0.009213267869047217,False,0.5315643836258637,False,0.03680555555555565,False,False,0.5637879523402126,0.03680555555555565,True,0.6439837817948731,0.2562786050824374,9.150710456662177,False,opposite_direction
12,57.555737409273405,4.6173659273074845,64.91846615597667,48.660105023742105,30.851941836736348,1.0,0.001,24,95.25,1.064559653759618,0.03339827667439942,False,0.5356250759779914,False,0.037847222222222254,False,False,0.52948123562621,0.037847222222222254,True,-0.0195518883643664,0.12964805855856618,9.32843186792841,False,opposite_direction
13,64.88047868317592,4.505367608926859,72.432789875483,57.83080782875056,32.235047695269685,1.0,0.001,24,94.08333333333333,1.1054514446433543,0.029145232359400405,False,0.4925066752468627,False,0.04062500000000002,False,False,0.5655751241630994,0.04062500000000002,True,0.7522851959237845,0.15006864371493495,10.372744596709419,False,opposite_direction
14,58.6193897896774,3.222437185056439,64.29785237726873,53.00432876833503,30.829774113792627,1.0,0.001,24,96.66666666666667,1.0716765328469544,0.017947815181434075,False,0.5250725595953911,False,0.02604166666666663,False,False,0.5346145810429352,0.02604166666666663,True,-1.3761379465304031,0.1843824560014371,8.277347365971066,False,opposite_direction
15,63.85165464516354,3.691875113968411,70.10190758376994,57.44674342084176,32.52661266061099,1.0,0.001,24,96.75,1.1311477378697505,0.0008160447354140187,False,0.5032932567438129,False,0.018055555555555602,False,False,0.5484807792530989,0.018055555555555602,True,-0.21514474599223724,0.1317060936806849,10.158400406275758,False,opposite_direction
16,66.70721961470235,4.347328135170115,74.7977347491477,59.00213184102682,31.949091580793894,1.0,0.001,24,94.75,1.0995199913280127,0.03901509819241658,False,0.48357389586005195,False,0.025694444444444464,False,False,0.5800127506297369,0.025694444444444464,True,0.15022802898882512,0.2232087423770089,11.287876786435607,False,opposite_direction
