replicate,beta_hat,se,ucb,lcb,beta_min,p_rand_less,p_rand_greater,N,nbar_ret,sigma_blind,leak_excursion,leak_fired,delivery_p99_ms,delivery_fired,retention_imbalance,retention_fired,balance_fired,gate_required,gate_audited,gate_passed,collider_inter_z,collider_smd,collider_rank_z,collider_fired,decision
0,9.014471551991647,4.444315648757108,17.306424917776866,1.4391053057000676,46.94582812355516,0.967,0.028,24,46.333333333333336,1.12979275048326,0.08439370601961928,False,1.2722443087088724,False,0.036111111111111094,False,False,0.061477616944731854,0.036111111111111094,False,0.9088554920957577,0.17498742090604397,2.6144636281599065,False,forward_only_adequate
1,9.389496152207832,5.101540491931723,19.130961041324007,0.7418431566336938,48.50051010443743,0.983,0.025,24,47.166666666666664,1.1776572373347773,0.008771594011712465,False,1.305086039977324,False,0.022916666666666696,False,False,0.061424237190152955,0.022916666666666696,False,0.6135443121256973,0.1322560484896308,1.8927221486049761,False,forward_only_adequate
2,-6.874732886223483,5.071507316325501,2.27733661526828,-15.316046414058217,51.01431403318827,0.159,0.864,24,46.166666666666664,1.2254943606635,0.036073659851489526,False,1.22990115994562,False,0.012500000000000067,False,False,0.040539781916049095,0.012500000000000067,False,-0.9145082407549279,0.16660242601564076,-0.7517090988098071,False,forward_only_adequate
3,-4.049064352470205,4.592441202433263,3.0550578282563894,-12.234361356819548,49.14382746545241,0.216,0.774,24,45.666666666666664,1.1741501564601933,0.0017837696832142846,False,1.3158920677096912,False,0.009722222222222299,False,False,0.022944581554327548,0.009722222222222299,False,-0.8482674701214767,0.2308497836292695,-0.2201915493530576,False,forward_only_adequate
4,0.869236207930364,5.5943466647445605,10.712716359418296,-9.279638696817138,49.245664382895434,0.58,0.436,24,46.208333333333336,1.183540597834846,0.007309121682262177,False,1.2588228710594338,False,0.04444444444444451,False,False,0.0039468752823135006,0.04444444444444451,False,0.44970710796105445,0.30730959176709866,-0.5982391107558398,False,forward_only_adequate
5,-7.182279703485384,4.720366961279602,0.18674286333294,-16.78127253393795,45.19700157126089,0.135,0.873,24,46.875,1.0940452149000244,0.008121456121826687,False,1.2859234022710815,False,0.02083333333333337,False,False,0.048800414468710966,0.02083333333333337,False,-0.7031457320117663,0.27216459584109837,-1.7374736652202034,False,forward_only_adequate
6,-7.468014876029163,4.192437938033035,-0.4322086099077449,-14.248615544489333,45.02584138276007,0.078,0.888,24,46.333333333333336,1.0835865765274986,0.01580442648361553,False,1.317908649482515,False,0.039583333333333415,False,False,0.05168754374733563,0.039583333333333415,False,-1.5853390734127353,0.25972546070475194,-1.4823699916815778,False,forward_only_adequate
7,-2.8078834163048154,5.37934067983422,5.663008643512722,-12.627053809531917,47.01490183216731,0.333,0.653,24,46.875,1.1380495738722536,0.035630023202784064,False,1.3553480474138209,False,0.04513888888888884,False,False,0.015577932326213363,0.04513888888888884,False,0.16839136078433944,0.21317085144680686,0.7980188198022211,False,forward_only_adequate
8,-4.436503991286867,6.342194269756093,5.1175813965123575,-17.48994831605286,48.05222868006098,0.249,0.78,24,47.458333333333336,1.1703743168579739,0.013117445849227671,False,1.1734638050692667,False,0.027083333333333348,False,False,0.025614421170313543,0.027083333333333348,False,1.032278269603537,0.23155398864368254,-0.12983248480056203,False,forward_only_adequate
9,-6.418241778127604,5.11263047526108,4.243754735169074,-14.075140168693416,48.33557701502919,0.092,0.881,24,45.583333333333336,1.153785174139058,0.05228984602597848,False,1.2631433245265498,False,0.03749999999999998,False,False,0.040140290501519446,0.03749999999999998,False,-2.0441037035485827,0.1964214803215749,-0.3465069069429553,False,forward_only_adequate
