replicate,beta_hat,se,ucb,lcb,beta_min,p_rand_less,p_rand_greater,N,nbar_ret,sigma_blind,leak_excursion,leak_fired,delivery_p99_ms,delivery_fired,retention_imbalance,retention_fired,balance_fired,gate_required,gate_audited,gate_passed,collider_inter_z,collider_smd,collider_rank_z,collider_fired,decision
0,-62.71617720393476,4.831953668747669,-53.846641496910976,-70.50157549287447,44.958614548697135,0.001,1.0,24,47.375,1.0940635203440143,0.06975926001001691,False,0.4795134729557579,False,0.025694444444444464,False,False,0.5552449646908664,0.025694444444444464,True,0.032420799796705715,0.2232508678792154,-5.659521057701607,False,supported
1,-60.761344805812406,3.9723490040856264,-54.67936081618869,-67.66512693670303,44.30153985548963,0.001,1.0,24,47.875,1.0837477826219863,0.0063856665785073236,False,0.5235986694816044,False,0.02499999999999991,False,False,0.5454882631800922,0.02499999999999991,True,1.5911398939349592,0.3745646127610779,-6.757717050905688,False,supported
2,-63.99811669437304,6.239270269881067,-51.724011282968995,-74.1960998921404,45.33240441280623,0.001,1.0,24,48.625,1.117618464183843,0.0022253828603839296,False,0.5352078284958102,False,0.015972222222222165,False,False,0.5547764237163189,0.015972222222222165,True,0.23285737122235523,0.1535062560463515,-7.646488656517526,False,supported
3,-56.67165376814654,5.038214105694632,-47.487108041201196,-64.20626263378554,43.534452280529095,0.001,1.0,24,48.083333333333336,1.0672972118598167,0.036399240405176024,False,0.5011913266887305,False,0.030555555555555558,False,False,0.5215298354678857,0.030555555555555558,True,-0.8181014307229167,0.26622013726301713,-6.415846845494576,False,supported
4,-60.52097431821837,4.768586113896664,-49.924939524721836,-67.4900115864223,45.18593190439375,0.001,1.0,24,47.833333333333336,1.1049015254703904,0.012103253904605923,False,0.5045576633708707,False,0.06041666666666656,False,False,0.5352282049994991,0.06041666666666656,True,-0.6166082641864304,0.34502814165194484,-7.249039590290215,False,supported
5,-63.06339953602458,4.826296084144064,-54.210089615052524,-70.55719077712948,43.012391439235984,0.001,1.0,24,49.166666666666664,1.0663112195301379,0.0002813465053426059,False,0.5158886693954063,False,0.03472222222222221,False,False,0.5689143048872948,0.03472222222222221,True,-0.38320445071903386,0.21225855578092034,-6.486145715631644,False,supported
6,-59.348733748589666,4.784176275422138,-50.27457247856934,-66.96394331333639,45.12302045803142,0.001,1.0,24,47.916666666666664,1.1043238932582211,0.006083007501866657,False,0.5313608017504294,False,0.04513888888888895,False,False,0.526839479375837,0.04513888888888895,True,-0.5769250637953416,0.12641401487917026,-8.176485476869074,False,supported
7,-58.574357623634775,4.456032661895321,-50.34834814769791,-65.7469988488454,41.85495386179463,0.001,1.0,24,48.583333333333336,1.0314437019580824,0.03588127680728216,False,0.4972178949187011,False,0.0493055555555556,False,False,0.5511226279876694,0.0493055555555556,True,0.3723366201356429,0.17377397380246767,-5.654075904889169,False,supported
8,-58.38806806744063,4.572305318772077,-51.52441715490936,-66.6178610580939,44.26557004375694,0.001,1.0,24,47.708333333333336,1.0809813229617913,0.01759383526458132,False,0.507429770228752,False,0.02083333333333337,False,False,0.5290624696215901,0.02083333333333337,True,0.06717874498298042,0.21938247898396246,-4.151338623981986,False,supported
9,-54.485475769728076,5.121763412827258,-45.86348697062546,-62.6914229427618,44.87215443591016,0.001,1.0,24,47.583333333333336,1.0943578545031454,0.017267553987692964,False,0.5312296875546341,False,0.0673611111111111,False,False,0.4932714203450198,0.0673611111111111,True,-0.03591100513221927,0.3321417911918258,-6.131847889738274,False,supported
10,-67.26686060597793,4.908872141319141,-59.07290498555729,-75.03098767511015,47.059569327657265,0.001,1.0,24,47.666666666666664,1.148709853013652,0.010401132538148299,False,0.5120043376001534,False,0.04583333333333339,False,False,0.5645845582305966,0.04583333333333339,True,-0.5605823535444023,0.2520911941246555,-7.990340760312735,False,supported
11,-62.71074000249134,4.520378360941955,-55.60585101267517,-70.98821311652333,44.07879032600867,0.001,1.0,24,48.416666666666664,1.0843815434898927,0.050987194170972014,False,0.4882925392443883,False,0.029861111111111116,False,False,0.5591072203107054,0.029861111111111116,True,-0.059794431761496035,0.22108379074051654,-6.2975499635743555,False,supported
12,-56.8449753129139,6.093574913010762,-47.11663824100266,-68.85594222888228,43.92049355923668,0.001,1.0,24,47.833333333333336,1.0739586036576656,0.03559250501252765,False,0.531076399196952,False,0.015972222222222276,False,False,0.5201346135583423,0.015972222222222276,True,-0.016931620241832996,0.1492025811437423,-6.146075715191287,False,supported
13,-55.81033968635192,4.933438774396566,-47.84576852167494,-64.26774768569553,45.05195502775751,0.001,1.0,24,47.625,1.0992238500020959,0.026325571309402603,False,0.5169651333721211,False,0.033333333333333326,False,False,0.5018432441919954,0.033333333333333326,True,-0.4518582513605087,0.2291276217435425,-5.829840220206973,False,supported
14,-68.14808956149432,4.088038972245942,-62.039548894662886,-75.5269102123891,45.216869057780634,0.001,1.0,24,48.666666666666664,1.1152475923136196,0.02385291927405495,False,0.5373182555377424,False,0.022916666666666696,False,False,0.583117165001611,0.022916666666666696,True,-0.25676857775276135,0.1989233904762635,-6.851405129905168,False,supported
15,-56.13323507753481,5.1996507006830495,-46.35813553402747,-64.75742754408597,42.578740006432255,0.001,1.0,24,48.791666666666664,1.0515275091322753,0.0014806645084549605,False,0.5039187865315539,False,0.018055555555555602,False,False,0.5238817328211604,0.018055555555555602,True,0.8679242036837015,0.22710800840096138,-7.723791860986659,False,supported
