replicate,beta_hat,se,ucb,lcb,beta_min,p_rand_less,p_rand_greater,N,nbar_ret,sigma_blind,leak_excursion,leak_fired,delivery_p99_ms,delivery_fired,retention_imbalance,retention_fired,balance_fired,gate_required,gate_audited,gate_passed,collider_inter_z,collider_smd,collider_rank_z,collider_fired,decision
0,-80.40391334467104,4.23903995720599,-72.78901448161288,-87.20056163337331,47.4252693171139,0.001,1.0,24,46.333333333333336,1.1413309255760522,0.4725784643290774,True,0.5301710997531417,False,0.054166666666666585,False,False,0.6426046035241773,0.054166666666666585,True,1.7351188266863318,0.2965595335089631,-8.312677937502972,False,diagnostic_failure
1,-83.77188223913448,4.104305894622822,-76.77613563924149,-90.67875407022657,47.14168609533288,0.001,1.0,24,47.625,1.1502112539483598,0.5432157102238719,True,0.5081253967803705,False,0.019444444444444375,False,False,0.6556962787663441,0.019444444444444375,True,0.2179970564077251,0.22966482741187333,-8.84958865383103,False,diagnostic_failure
2,-90.57506995289152,3.863242684369609,-84.1459691562741,-97.82621820054776,47.76636403028757,0.001,1.0,24,47.708333333333336,1.166471985597238,0.4970029189103098,True,0.4965469394998787,False,0.03472222222222221,False,False,0.6796713228136655,0.03472222222222221,True,0.4041794130575918,0.41230244116599724,-8.691035603859346,False,diagnostic_failure
3,-82.67935457044713,5.331078630000409,-71.96031983268158,-91.46813119057245,47.561313556706764,0.001,1.0,24,47.416666666666664,1.1579088071188248,0.5103794716063196,True,0.4916315976444153,False,0.029166666666666674,False,False,0.6479564391827156,0.029166666666666674,True,0.48541341494299006,0.15339342382529192,-10.120247846403908,False,diagnostic_failure
4,-86.39986980663245,4.582621311411614,-78.80775526992716,-95.07435588725936,48.062667021025206,0.001,1.0,24,47.125,1.1665102371514047,0.5062253483232819,True,0.5038849739913138,False,0.028472222222222232,False,False,0.6621556079744265,0.028472222222222232,True,0.3417191726784751,0.264137191474983,-7.995763205121092,False,diagnostic_failure
5,-84.50726694287954,4.780530322566698,-75.20958231692705,-92.45322132990472,47.48509544160034,0.001,1.0,24,47.458333333333336,1.1565610516928924,0.5361917933683052,True,0.5353242878843952,False,0.03541666666666665,False,False,0.6569471416545524,0.03541666666666665,True,1.379039986983365,0.15048686876370493,-7.711881389190051,False,diagnostic_failure
6,-80.37216625817474,3.5931852961472868,-74.49165544882442,-85.93679625313379,46.50733486333554,0.001,1.0,24,48.416666666666664,1.144126124825796,0.5186141603385729,True,0.4907794148690272,False,0.032638888888888884,False,False,0.6414693969803215,0.032638888888888884,True,-0.38750169276395646,0.12966819228801835,-8.45734873089622,False,diagnostic_failure
7,-87.45224846591462,3.944169724695199,-80.01433304844001,-93.46198932659252,47.6942631282953,0.001,1.0,24,48.708333333333336,1.1768545332849039,0.5190872660554354,True,0.5037394409074213,False,0.013194444444444398,False,False,0.6634017104487415,0.013194444444444398,True,-1.8455176650754967,0.2663992143655853,-10.611087705619816,False,diagnostic_failure
8,-86.88894865205945,4.236484217187749,-80.05243667444289,-94.31975443441127,47.26363043293077,0.001,1.0,24,49.375,1.174182595249617,0.47776275832542425,True,0.4788976310893442,False,0.04166666666666674,False,False,0.6618085582525298,0.04166666666666674,True,-0.6918917848820745,0.21098766976593744,-10.32454452050533,False,diagnostic_failure
9,-87.28315380302884,4.739837028048621,-79.54712363766374,-95.93029851215604,47.792173959934665,0.001,1.0,24,47.166666666666664,1.1604578886012642,0.5553902308998472,True,0.5081480128048316,False,0.026388888888888906,False,False,0.6679616014415501,0.026388888888888906,True,0.4731459362709114,0.12255827660285329,-10.14993729184742,False,diagnostic_failure
10,-87.69623502721515,4.444981798295427,-80.6268761744104,-95.74685631009584,46.970944331634335,0.001,1.0,24,48.125,1.1520455994061678,0.5265649312957977,True,0.5273974659474886,False,0.04513888888888895,False,False,0.6724240230725975,0.04513888888888895,True,-1.9027065499425004,0.362769826549559,-11.63286909116891,False,diagnostic_failure
11,-82.26612747279312,3.3788628348865495,-76.45875542811955,-88.61317973077718,47.2930209261261,0.001,1.0,24,46.916666666666664,1.1452904441230531,0.520219589900387,True,0.494800809097225,False,0.030555555555555558,False,False,0.6502962785027908,0.030555555555555558,True,-0.18068763644895852,0.20839794970190167,-8.095677503284646,False,diagnostic_failure
12,-87.24648030111761,3.9621705023259297,-80.2993581156926,-94.47633548483171,48.437338703026846,0.001,1.0,24,48.333333333333336,1.1905801950302821,0.4871208830596182,True,0.5094415813412295,False,0.02083333333333337,False,False,0.6580689956462484,0.02083333333333337,True,0.21269121224887494,0.4131464854280139,-9.617028005598838,False,diagnostic_failure
13,-83.6734951599836,4.5630078156311855,-75.68750407322372,-90.66445675064051,47.522903759029674,0.001,1.0,24,48.083333333333336,1.1650786911170101,0.5305714029545537,True,0.5341400849114539,False,0.05138888888888893,False,False,0.6502305272338823,0.05138888888888893,True,1.047137052787842,0.2294756565296867,-8.193854947368242,False,diagnostic_failure
