replicate,beta_hat,se,ucb,lcb,beta_min,p_rand_less,p_rand_greater,N,nbar_ret,sigma_blind,leak_excursion,leak_fired,delivery_p99_ms,delivery_fired,retention_imbalance,retention_fired,balance_fired,gate_required,gate_audited,gate_passed,collider_inter_z,collider_smd,collider_rank_z,collider_fired,decision
0,51.72874634486618,4.914651565333274,59.1725887692371,41.326104697731466,43.64602828458646,1.0,0.001,24,47.583333333333336,1.064454659499899,0.02954727905240528,False,0.5176592889908392,False,0.026388888888888906,False,False,0.48272121055161304,0.026388888888888906,True,1.1102536326337356,0.17129824020134837,5.335552396772464,False,forward_only_adequate
1,64.87126537591699,3.743117635897732,71.48054784134649,58.70437160023457,44.40337947402397,1.0,0.001,24,48.125,1.08907152389013,0.03635249182980131,False,0.543487148258034,False,0.03472222222222221,False,False,0.5720304793604051,0.03472222222222221,True,-0.616984396752038,0.2806008975119464,6.125452155747701,False,opposite_direction
2,58.14390392141979,4.917669542655652,68.25745761057034,50.84236382878342,43.70310682516504,1.0,0.001,24,48.666666666666664,1.0779115334391642,0.022449166567976193,False,0.499721423170403,False,0.025694444444444464,False,False,0.5284690435150204,0.025694444444444464,True,0.11237814625174772,0.19699800174017415,6.3148492674842736,False,opposite_direction
3,58.17013558413913,4.185992510898063,65.5912744492183,51.85503911347453,44.30340281332269,1.0,0.001,24,47.208333333333336,1.0762209080589942,0.0049745997282475115,False,0.5003285832219273,False,0.06805555555555554,False,False,0.5293595043363365,0.06805555555555554,True,1.313492839156422,0.2461306868100926,6.0809256686415685,False,opposite_direction
4,57.60404966095886,5.0078533897318955,67.2722793987029,50.21087352985992,44.011034472396176,1.0,0.001,24,48.833333333333336,1.087363543653314,0.008452856003499556,False,0.5021850244760233,False,0.012499999999999956,False,False,0.5205135235472744,0.012499999999999956,True,0.6714183607927909,0.07705694485687374,7.075915854872836,False,opposite_direction
5,66.398391988959,4.6544240599889495,74.28019428199799,58.52768619191317,45.58408339805691,1.0,0.001,24,47.416666666666664,1.1097719487523727,0.009226428812755011,False,0.5475170219938547,False,0.015277777777777835,False,False,0.5739640336468471,0.015277777777777835,True,0.4410925756994965,0.22511512745309747,7.070860528866426,False,opposite_direction
6,64.3717845554366,5.251602023344311,73.37728303967387,55.92281825469846,45.715264508493505,1.0,0.001,24,48.333333333333336,1.1236721502823181,0.004141508749013998,False,0.5263464145544449,False,0.01736111111111116,False,False,0.5549607544579004,0.01736111111111116,True,0.39018840429876894,0.18813924264102586,7.050804203351177,False,opposite_direction
7,62.10644314476021,4.24891818565401,69.3834027076123,54.78018475121779,43.00916217574866,1.0,0.001,24,48.0,1.0535050159519457,0.029832802692371596,False,0.5331810769609262,False,0.040277777777777746,False,False,0.5675131684144124,0.040277777777777746,True,-1.5726707172987138,0.3485317463239524,5.984294959564925,False,opposite_direction
8,66.17691955733984,5.436841643775014,74.92567501551098,56.9987595300567,45.510751894050046,1.0,0.001,24,47.375,1.1074997290402566,0.016336870324611057,False,0.5073934156775185,False,0.047222222222222276,False,False,0.5734017011005873,0.047222222222222276,True,-0.09986371699684686,0.21854787964819244,7.206443959132557,False,opposite_direction
9,50.10014597367944,5.714506197278175,60.72403343144791,41.609782064882296,44.30123402098943,1.0,0.001,24,48.208333333333336,1.0875065688260233,0.02758843020406911,False,0.5373416109442402,False,0.036805555555555536,False,False,0.45968724251442983,0.036805555555555536,True,-1.5502284759643696,0.286475566501263,4.367459394021622,False,forward_only_adequate
10,61.526788304203684,4.8966061277267325,69.60206554318074,52.93763901994148,43.95468727629518,1.0,0.001,24,48.041666666666664,1.0771327576968885,0.020334001094873877,False,0.5263115389496671,False,0.054166666666666696,False,False,0.5536856172747985,0.054166666666666696,True,-0.20841386039245263,0.07094227909448156,7.293276940869415,False,opposite_direction
11,74.91745867701293,6.024550048716545,84.78828763462317,64.84195357444676,46.04831024113729,1.0,0.001,24,47.875,1.1264789955407812,0.0026380192684253606,False,0.4779908827824749,False,0.04583333333333328,False,False,0.619117316997974,0.04583333333333328,True,0.7140497240767689,0.22846476292924875,7.753346901617764,False,opposite_direction
12,57.41881759851159,6.2763556629207145,67.1512580271523,46.53896853322242,45.50804403827626,1.0,0.001,24,46.0,1.0912445608153438,0.019734949612067784,False,0.5129067282677918,False,0.014583333333333282,False,False,0.5175269987000638,0.014583333333333282,True,0.9791994733906457,0.17214477127444888,6.320653320628459,False,opposite_direction
13,63.23305474167359,5.103316921689002,72.0460888020003,54.857613631939905,43.51915181629226,1.0,0.001,24,49.0,1.0770440576275488,0.023585745446209144,False,0.5186030677050074,False,0.03402777777777777,False,False,0.5657123790413431,0.03402777777777777,True,-0.7709260984661506,0.10831547965385376,6.238464505291961,False,opposite_direction
14,64.92257342485642,4.409747870526688,72.80701468666136,56.107777587234075,44.235670507776824,1.0,0.001,24,47.75,1.0807227878644832,0.00958929983620605,False,0.49952506703180144,False,0.01666666666666672,False,False,0.5757248793368085,0.01666666666666672,True,-0.721924268998865,0.20487758573488674,5.90608955053456,False,opposite_direction
15,64.82393371066912,6.666726659549082,75.63795336982083,53.74843083121087,45.03097522705748,1.0,0.001,24,48.166666666666664,1.104942440941553,0.05942915688754442,False,0.528375078087235,False,0.025000000000000022,False,False,0.56539523837966,0.025000000000000022,True,0.3576125107727499,0.26210485242593295,6.215416363410569,False,opposite_direction
16,66.87592394183933,5.259001968181182,75.39068697138659,57.68520516305022,46.20814436433036,1.0,0.001,24,47.708333333333336,1.1284196945207545,0.027950254840418055,False,0.5184399168970979,False,0.04861111111111116,False,False,0.5698245594460519,0.04861111111111116,True,2.158970946799585,0.2063730009038066,5.746405869956808,False,opposite_direction
17,62.11463985345821,4.731921484788578,70.58346383153331,53.762131727573475,43.75559842813566,1.0,0.001,24,48.833333333333336,1.0810525844678829,0.03463615454491906,False,0.5194406116458062,False,0.039583333333333304,False,False,0.5562660046652331,0.039583333333333304,True,-1.9074705166251094,0.22598608961142913,6.863215935345561,False,opposite_direction
18,56.26137288745647,4.789670263812721,64.54940640531464,48.13738678536425,43.49091250950634,1.0,0.001,24,48.416666666666664,1.069919171693221,0.019535267820203983,False,0.48522344481000507,False,0.033333333333333326,False,False,0.517250531034623,0.033333333333333326,True,-0.7714838935824709,0.2672192744538167,4.8036111249854585,False,opposite_direction
19,57.588022932854706,4.2807013449406455,65.23157885851896,50.61791830081755,44.14247583129373,1.0,0.001,24,48.0,1.0812654176980832,0.036684246177539695,False,0.5035567735928179,False,0.032638888888888884,False,False,0.5228678668983292,0.032638888888888884,True,0.7358797483752909,0.3538807399698909,7.338514381480198,False,opposite_direction
20,55.51245722056991,4.5720612379717736,62.99972875649654,47.666849216195125,42.747026953973176,1.0,0.001,24,48.416666666666664,1.0516188562598159,0.05369084086106778,False,0.4913586355413796,False,0.025694444444444464,False,False,0.5189459716507724,0.025694444444444464,True,-0.14909955584282136,0.13588941130870935,5.871998634031982,False,opposite_direction
21,53.476955608832554,4.161161473679211,61.57456902447546,46.82338407163511,43.67898597586949,1.0,0.001,24,47.875,1.0685182581223445,0.03777214768755747,False,0.5087652150843277,False,0.02499999999999991,False,False,0.49554902292264347,0.02499999999999991,True,1.8989028254791969,0.23567519260893338,7.253919879196243,False,opposite_direction
22,56.27212241617673,4.297189482444284,63.60711655543809,49.1155983031772,44.588993550688265,1.0,0.001,24,48.166666666666664,1.0940973657488353,0.0724970544882041,False,0.5096044125810729,False,0.04583333333333339,False,False,0.5075094467626086,0.04583333333333339,True,-0.5227776092073514,0.36527619835704267,7.187871810353213,False,opposite_direction
23,54.608066047801266,4.3255762284513795,62.864184893467524,48.05979874957769,44.31706650800831,1.0,0.001,24,47.541666666666664,1.0803468578813875,0.021457218210619213,False,0.47978636947300274,False,0.01805555555555549,False,False,0.49989103997423395,0.01805555555555549,True,0.30888866152339606,0.16297948691992278,5.766902700126625,False,opposite_direction
24,62.72652038944771,5.307062874660953,71.46042206887418,53.6836550981814,44.19297599373546,1.0,0.001,24,48.375,1.086722712318279,0.004863931204086264,False,0.4999980702876737,False,0.028472222222222232,False,False,0.5582717619213969,0.028472222222222232,True,-0.6055499483043254,0.13539644132117049,6.479700051437667,False,opposite_direction
25,67.25679999630258,4.269912106413244,74.80963965797238,59.395210370512864,44.31166458287095,1.0,0.001,24,48.375,1.0896413115437493,0.00332190772454929,False,0.5169409015977026,False,0.03888888888888886,False,False,0.5874634952919847,0.03888888888888886,True,0.3364851891586036,0.24826121237955134,7.432310833981579,False,opposite_direction
26,66.61956382200992,5.202017692247669,75.71671314047087,57.842180405161066,45.59757890804252,1.0,0.001,24,46.916666666666664,1.1042320912445394,0.061226857508545326,False,0.49703190648399137,False,0.023611111111111138,False,False,0.5775861958393251,0.023611111111111138,True,1.6819007652383609,0.2778543922446561,8.075708326680813,False,opposite_direction
27,67.15186342669092,4.9493096189311965,75.53612557022592,58.0639318170862,44.57100428631073,1.0,0.001,24,48.458333333333336,1.0969622007251751,0.06273883638327048,False,0.5049130349718883,False,0.033333333333333326,False,False,0.5838979759622421,0.033333333333333326,True,-0.6923416839801628,0.24867007139539002,6.372853097592923,False,opposite_direction
28,56.61158495213842,5.978528324963436,66.90509825794052,46.43433963965521,43.040038017616865,1.0,0.001,24,48.625,1.0611027985551644,0.022392243549962026,False,0.5140761892790096,False,0.029166666666666674,False,False,0.5236265474702463,0.029166666666666674,True,-1.035843043871509,0.09817296542859906,6.222959131936194,False,opposite_direction
29,59.368860178684166,4.970639464503849,67.88990923635396,50.918131369175214,43.658508686771206,1.0,0.001,24,46.625,1.053982319453242,0.02905036877302813,False,0.503733385644106,False,0.04236111111111107,False,False,0.5475413399482286,0.04236111111111107,True,1.181786234313457,0.2959172084145681,7.413350701217577,False,opposite_direction
30,58.3108307789727,5.56028977635872,66.84169992714827,48.67814634799116,43.65942524331071,1.0,0.001,24,47.75,1.066644525196394,0.013600506714144752,False,0.5059129688985763,False,0.01666666666666672,False,False,0.5343628912185414,0.01666666666666672,True,-0.06271417200598285,0.14929770169731452,4.162082133198066,False,opposite_direction
31,67.94841043110455,3.59653656318652,73.85903106435023,62.26975988604541,45.047723294972535,1.0,0.001,24,48.666666666666664,1.1110757111406722,0.010200113585552222,False,0.4968875471440831,False,0.061111111111111116,False,False,0.5834690352776352,0.061111111111111116,True,-2.635744091077481,0.32526323646841293,7.026853089097638,False,opposite_direction
32,56.02294315573516,4.681476175024671,64.38411645763249,48.332862785433264,42.62698447532392,1.0,0.001,24,48.125,1.04550229039526,0.02244705199285828,False,0.4885148231802217,False,0.02430555555555558,False,False,0.5255469031681654,0.02430555555555558,True,1.603970424651726,0.2268544735242862,7.461005503463933,False,opposite_direction
33,64.15405365710821,5.446117203395061,73.26453460144039,54.987439562189564,44.195971397334915,1.0,0.001,24,47.708333333333336,1.079281698698255,0.004605577201285252,False,0.513337620914376,False,0.01736111111111116,False,False,0.5711203771218555,0.01736111111111116,True,0.9792105262705663,0.1797368856763816,5.958182223151765,False,opposite_direction
34,65.5930677410275,4.149865861370768,73.39620912703904,59.11595699672242,44.87446740292715,1.0,0.001,24,47.458333333333336,1.092975821803228,0.028502133809519083,False,0.5177129206650136,False,0.023611111111111027,False,False,0.5752902262686463,0.023611111111111027,True,0.03113951886519969,0.2971957009082457,6.941886926016428,False,opposite_direction
35,67.57539843934836,4.6163427381687585,75.69806266549541,59.3238488526207,45.7951209791134,1.0,0.001,24,46.875,1.1085233805603756,0.0035443472593614392,False,0.5094744776305188,False,0.01388888888888884,False,False,0.582082070342893,0.01388888888888884,True,-0.4614134250326978,0.13848984404377643,8.007990755240609,False,opposite_direction
36,57.29980101546639,4.074815442698788,64.18940156780481,50.64928441418606,45.218164510927565,1.0,0.001,24,47.833333333333336,1.1056896879499085,0.020878781269485266,False,0.5114236128819054,False,0.029861111111111116,False,False,0.5108300368483413,0.029861111111111116,True,-0.41242862657473567,0.15344548891846993,6.574395120185951,False,opposite_direction
37,64.27464478259385,5.661542453470944,72.85164571107816,53.3537275378942,46.06448298284838,1.0,0.001,24,47.625,1.1239285465317803,0.044480326196969885,False,0.4948207878307858,False,0.056944444444444464,False,False,0.554197353061644,0.056944444444444464,True,-0.5071068823239188,0.2929098259287488,6.142907904497911,False,opposite_direction
