replicate,beta_hat,se,ucb,lcb,beta_min,p_rand_less,p_rand_greater,N,nbar_ret,sigma_blind,leak_excursion,leak_fired,delivery_p99_ms,delivery_fired,retention_imbalance,retention_fired,balance_fired,gate_required,gate_audited,gate_passed,collider_inter_z,collider_smd,collider_rank_z,collider_fired,decision
0,-44.261900597785676,3.0062234283186915,-38.833815627786784,-49.14405436402582,43.63702071078406,0.001,1.0,24,38.916666666666664,0.9624494208743714,0.003463703300562268,False,0.5095509979118834,False,0.19166666666666665,True,False,0.4589441071251031,0.19166666666666665,True,-16.714999556998094,1.6810784035759203,-21.409945446604265,True,selection_limited
1,-34.194377269678114,5.709535134744554,-23.417369056293275,-43.478718409204895,43.99175677517589,0.001,1.0,24,39.0,0.9713116898200282,0.018808954499091698,False,0.5064356028269686,False,0.1743055555555556,True,False,0.3518753086268488,0.1743055555555556,True,-16.244101583639146,1.6889394061588472,-21.886231980502973,True,selection_limited
2,-38.57890567233223,4.660882194413848,-30.20500599887459,-46.459906761259674,46.01507023616727,0.001,1.0,24,38.458333333333336,1.008905118649351,0.02386095894921107,False,0.5151392591494964,False,0.14722222222222214,True,False,0.38325340670667524,0.14722222222222214,True,-16.223011422996933,1.6735048765987302,-20.820804720373538,True,selection_limited
3,-33.6639112219762,5.353203070720301,-25.14872237644249,-42.64198186195704,44.0468252766638,0.001,1.0,24,38.291666666666664,0.9636553857523231,0.05687871271227091,False,0.540523869668288,False,0.16736111111111118,True,False,0.34903541932832427,0.16736111111111118,True,-15.783473651034427,1.6872493329785188,-22.06265408120449,True,selection_limited
4,-43.313606589172615,4.4265893740423135,-35.591731217987764,-49.63275273942676,42.66728520614335,0.001,1.0,24,39.083333333333336,0.94307409537819,0.006680195958741807,False,0.4766516315415355,False,0.21319444444444446,True,False,0.45837978164310444,0.21319444444444446,True,-16.32340478822997,1.6592962441788563,-20.48477786112821,True,selection_limited
5,-36.27176838861857,4.36195708456311,-28.640570691477038,-42.792233788061594,43.18471005285855,0.001,1.0,24,40.25,0.9686523956608858,0.00791860562175865,False,0.5367789214389955,False,0.1625000000000001,True,False,0.3751371201591842,0.1625000000000001,True,-16.62120730867014,1.6742182023463152,-21.510118821556432,True,selection_limited
6,-39.38528822731613,4.4330365185274205,-31.57651594350086,-47.07723492366247,45.76159430238156,0.001,1.0,24,37.291666666666664,0.9880116143623773,0.014896917631215941,False,0.5170841758268779,False,0.17013888888888884,True,False,0.3996886789838849,0.17013888888888884,True,-16.408966243966397,1.6459537191956628,-21.467245896707883,True,selection_limited
7,-37.98621779412589,4.157256806005283,-30.98959609435748,-45.54050528571183,44.39098760282595,0.001,1.0,24,38.5,0.9738233383399074,0.07283628417014452,False,0.49989458726672437,False,0.15347222222222212,True,False,0.39106530817259233,0.15347222222222212,True,-16.000734493417774,1.650567853948594,-22.583261823282132,True,selection_limited
8,-42.00575077922954,4.726711709745777,-33.73269140430922,-49.689844075731045,44.73115406240555,0.001,1.0,24,37.708333333333336,0.9711443287908814,0.051500755050591075,False,0.4937574355984756,False,0.1597222222222222,True,False,0.4330488311806491,0.1597222222222222,True,-16.01273295713758,1.6505237664690224,-22.800221750217435,True,selection_limited
9,-34.57020794553521,4.2571731715349435,-27.472754326459917,-41.85452956730314,46.09114178388179,0.001,1.0,24,37.5,0.9979024918568009,0.031835081426384505,False,0.5349519713031738,False,0.18055555555555558,True,False,0.3459800118741105,0.18055555555555558,True,-16.092547895900672,1.6503012256502734,-21.587690042655762,True,selection_limited
10,-37.286090775259844,4.8249252676653125,-29.969200181229994,-45.29054039564206,44.68601985628143,0.001,1.0,24,37.166666666666664,0.9631711974026468,0.043910659630306347,False,0.5196995453629915,False,0.19305555555555554,True,False,0.3880702581557167,0.19305555555555554,True,-16.525075847582524,1.6501422308172646,-19.83342766749829,True,selection_limited
11,-43.08723860742313,5.3666824224937795,-33.15313408727445,-52.28748336338011,45.352340078955024,0.001,1.0,24,38.416666666666664,0.9938355938210139,0.021260043818016123,False,0.4803521452397625,False,0.14722222222222214,True,False,0.4340181803409994,0.14722222222222214,True,-16.49937767881442,1.6541293832715354,-22.769963795938995,True,selection_limited
12,-40.583694931377515,4.609139767731393,-32.96251675865023,-48.50428299589048,46.75869338066584,0.001,1.0,24,38.083333333333336,1.0201988985236303,0.004878760671429041,False,0.4857909630518856,False,0.17986111111111108,True,False,0.39885578670893457,0.17986111111111108,True,-15.769550258731954,1.6418701357924963,-22.81369295814214,True,selection_limited
13,-40.04949099448,6.571916208291793,-28.548471937616164,-51.268827063014925,47.699729760140556,0.001,1.0,24,38.041666666666664,1.040161303626968,0.00026370620333746,False,0.4799229521656478,False,0.0986111111111111,True,False,0.3859501279746191,0.0986111111111111,True,-15.804629411372574,1.6166725221041915,-22.773713606875905,True,selection_limited
14,-39.360156705067595,4.741442428744924,-31.650597844852413,-48.271287762529894,45.264015812014435,0.001,1.0,24,38.666666666666664,0.995122293116768,0.03263359487943861,False,0.49879311483034816,False,0.1611111111111111,True,False,0.39657327931579767,0.1611111111111111,True,-16.4848738687976,1.6727791827235754,-22.506168745754742,True,selection_limited
15,-32.61252125186271,5.9783394477471585,-22.71445429008199,-43.6792802122003,45.0851810897266,0.001,1.0,24,39.291666666666664,0.9991692281698944,0.02911679522864976,False,0.47082345259023534,False,0.1368055555555555,True,False,0.32474863157028805,0.1368055555555555,True,-16.193641077927662,1.6824102805305383,-22.151857286504157,True,selection_limited
16,-35.530972420627066,4.672220582241374,-28.070264635642005,-43.33382340770973,44.2261570460505,0.001,1.0,24,38.416666666666664,0.969156805883957,0.0020663757945040802,False,0.5554492051639269,False,0.18958333333333344,True,False,0.36705308753139587,0.18958333333333344,True,-16.62870222799451,1.630834995085946,-19.482614184811677,True,selection_limited
17,-41.64310109895174,4.348599576849967,-34.0881905018817,-49.12355402274427,43.10493045253757,0.001,1.0,24,38.083333333333336,0.9404797138065433,0.038753491306506634,False,0.518995198509431,False,0.18472222222222223,True,False,0.4428618802960987,0.18472222222222223,True,-16.14407966617224,1.6651650728594405,-22.21281943598088,True,selection_limited
18,-42.61313099793872,5.518227079151845,-33.1495836162833,-52.13105367236162,45.804671439884366,0.001,1.0,24,37.708333333333336,0.9944511344132568,0.02795970263308442,False,0.5480094632665719,False,0.17708333333333337,True,False,0.42915454073909454,0.17708333333333337,True,-16.155044937065057,1.6889462278706342,-21.29970231832979,True,selection_limited
19,-36.32434775653387,6.379284567988656,-25.58288312645379,-47.0138399215104,45.22802858410606,0.001,1.0,24,37.25,0.975946032817489,0.050078336894564326,False,0.5110575196231945,False,0.18125000000000002,True,False,0.37281258321077754,0.18125000000000002,True,-15.762480387331093,1.6410245670111856,-21.76988488907182,True,selection_limited
20,-30.230436539128977,3.8976887532157085,-23.911759504026527,-37.61925502141071,44.349868657907564,0.001,1.0,24,38.25,0.9697573150761236,0.06402899374901652,False,0.5228504514561255,False,0.18194444444444446,True,False,0.30903282243280406,0.18194444444444446,True,-16.614569734192994,1.6183639373447058,-21.579884781383935,True,selection_limited
21,-38.87856615900733,4.651205194127413,-31.125846348463778,-46.40109473466782,43.633278879657276,0.001,1.0,24,38.5,0.9572011706853537,0.01850506613187744,False,0.5018209579794034,False,0.17083333333333328,True,False,0.40721765150199274,0.17083333333333328,True,-15.998186568835907,1.7401438462777419,-23.62467231935539,True,selection_limited
22,-36.20646478577298,4.889628885759478,-26.123054738494623,-43.29169155070509,43.614358020951435,0.001,1.0,24,37.375,0.9427034391249618,0.01675742898795092,False,0.507581383088123,False,0.15833333333333333,True,False,0.3849721650057906,0.15833333333333333,True,-16.52919912098855,1.6769549578053966,-20.28681033151891,True,selection_limited
23,-31.433498234233653,4.692805080326058,-23.474326126024536,-39.655951971697114,45.79437421884269,0.001,1.0,24,37.041666666666664,0.9853996300345861,0.008688525610967786,False,0.5087389004134055,False,0.15347222222222223,True,False,0.31683050980673544,0.15347222222222223,True,-16.530292718932575,1.6475353026377744,-19.304654582992594,True,selection_limited
24,-44.028889776351,4.716183049454746,-36.31917415386765,-51.48139545530556,45.4798709824405,0.001,1.0,24,36.625,0.9731124908651477,0.031287474528656684,False,0.47252896593814037,False,0.2090277777777777,True,False,0.45199996826752864,0.2090277777777777,True,-16.518003536595277,1.617451066007189,-20.214049261183906,True,selection_limited
25,-29.36548196086579,5.022405086798563,-20.695513793546787,-38.501475778574815,42.92811237996829,0.001,1.0,24,38.416666666666664,0.9407119011827632,0.03881989814178424,False,0.5390674638716481,False,0.16875000000000007,True,False,0.30949588817857693,0.16875000000000007,True,-15.958633095254863,1.6632378555359657,-21.580232175446223,True,selection_limited
26,-34.14467815796356,4.043237372753804,-25.039952797631727,-40.17897644297901,42.990073752090645,0.001,1.0,24,38.333333333333336,0.9410473791189001,0.04867475227991831,False,0.4851462049948395,False,0.13541666666666674,True,False,0.36313406056813413,0.13541666666666674,True,-16.490370516448298,1.649450102895833,-22.339154587389842,True,selection_limited
27,-37.5059707653476,6.209614270412532,-27.26576479177434,-48.84978160698392,46.34337830504266,0.001,1.0,24,38.833333333333336,1.0210453487977833,0.03985182142521253,False,0.5133036796601512,False,0.16874999999999996,True,False,0.367789495956394,0.16874999999999996,True,-15.887770381090178,1.639638291281642,-22.76049716162687,True,selection_limited
28,-36.72598939101116,5.374754230386668,-27.012975405164028,-45.05998262879224,45.34401953987087,0.001,1.0,24,36.958333333333336,0.9746107812396813,0.012767151455296158,False,0.49406675165001823,False,0.16527777777777775,True,False,0.37757115388028367,0.16527777777777775,True,-16.605152698144398,1.6125043037571674,-20.852329490320617,True,selection_limited
29,-35.749636417095616,5.510181168204855,-25.928188837670746,-44.58248811909627,44.313532280252645,0.001,1.0,24,38.791666666666664,0.9757995098773057,0.01483399816284216,False,0.5120386017215178,False,0.15555555555555556,True,False,0.36678929147597716,0.15555555555555556,True,-16.202870542200603,1.667383707870992,-23.355926171694353,True,selection_limited
30,-40.71883092785655,5.539919656678217,-31.88661564909452,-50.74126103927438,45.434977365400314,0.001,1.0,24,38.25,0.9934843776038786,0.0470806208472925,False,0.4784036078354621,False,0.18541666666666667,True,False,0.41088019373009077,0.18541666666666667,True,-16.34174935016205,1.6432529501036996,-21.643399728556492,True,selection_limited
31,-38.43686182871554,4.7343785459085055,-28.734293610009175,-45.75744515221584,43.81701591017982,0.001,1.0,24,38.208333333333336,0.9575839334299503,0.027250011159412117,False,0.477449649523281,False,0.1791666666666667,True,False,0.40245514708947305,0.1791666666666667,True,-16.405356375669324,1.6909055153629868,-22.806303124685208,True,selection_limited
32,-47.44041538154647,6.203877874938707,-34.55990985849506,-57.82499340175644,47.81318820596885,0.001,1.0,24,38.166666666666664,1.0443470062177234,0.05344536646874456,False,0.501927428196313,False,0.13958333333333328,True,False,0.4536925412783033,0.13958333333333328,True,-16.43185936537387,1.6605065452502796,-22.009466899364806,True,selection_limited
33,-39.4747912890489,5.5805191646092425,-30.03996504218935,-48.96292590883803,45.13045489508748,0.001,1.0,24,39.416666666666664,1.0017622569256543,0.018655061339175067,False,0.5074908272432965,False,0.16249999999999998,True,False,0.39508544739741586,0.16249999999999998,True,-16.41060092186459,1.6709879865625248,-21.9109077909618,True,selection_limited
34,-47.750668160764,6.501062079152617,-36.14502456305459,-59.352150741651315,48.07302888666512,0.001,1.0,24,38.708333333333336,1.0574472905471388,0.0024325092753838306,False,0.5170439269491048,False,0.1465277777777777,True,False,0.45116491927465124,0.1465277777777777,True,-16.02301451256207,1.5944552734251631,-21.125746956877855,True,selection_limited
35,-41.32825872024998,5.433421792652755,-32.99989622847445,-52.20457415842118,45.05467277173099,0.001,1.0,24,38.333333333333336,0.9862411954302647,0.00785219986950456,False,0.5279958712502155,False,0.13194444444444453,True,False,0.4199350887926654,0.13194444444444453,True,-16.825486837913573,1.6188293710317174,-20.018945578243343,True,selection_limited
36,-39.26066285343473,4.976122645610033,-31.410737319533112,-48.413716545750106,45.582606212718154,0.001,1.0,24,37.916666666666664,0.9923599633892505,0.014330350520001959,False,0.5192021656337955,False,0.21875,True,False,0.3966722943843853,0.21875,True,-16.141536542236278,1.6304072149306086,-21.341326229977778,True,selection_limited
37,-32.57930069114565,6.814670320975759,-19.75263583945734,-43.510859915040186,46.51120538257069,0.001,1.0,24,37.166666666666664,1.0025116026231597,0.05468241852611509,False,0.49750068199394365,False,0.17569444444444438,True,False,0.3232332451792587,0.17569444444444438,True,-16.088242250882388,1.624821436728399,-21.0543436134056,True,selection_limited
38,-38.46913641463302,3.922003426867206,-31.90547849717777,-45.2097995171768,45.03329463229155,0.001,1.0,24,37.666666666666664,0.9771636925190297,0.01863281190911979,False,0.5192446284821418,False,0.16736111111111107,True,False,0.3947105567765354,0.16736111111111107,True,-16.5050799616379,1.6457799212727875,-21.73580265328265,True,selection_limited
39,-38.90489170538981,4.881226405247518,-30.90750775796873,-47.41511970763759,45.95778723265669,0.001,1.0,24,38.375,1.006556855112934,0.01859457319604601,False,0.5168268096521866,False,0.1694444444444445,True,False,0.3874575724466923,0.1694444444444445,True,-15.990544859386093,1.6564801133701381,-23.640912430916575,True,selection_limited
40,-37.99075281147464,3.792243006878718,-31.888570078848396,-44.51669633534301,43.50594778524449,0.001,1.0,24,37.541666666666664,0.9424545498866328,0.01523014415650286,False,0.45754181308085473,False,0.14861111111111114,True,False,0.4041637054439452,0.14861111111111114,True,-16.237470491427352,1.6740276797133657,-21.696493511841663,True,selection_limited
41,-38.12726995964591,5.292110799449279,-27.903235902704253,-46.42647828369723,46.01171111399737,0.001,1.0,24,37.125,0.99118933863288,0.010891751277260458,False,0.49261082067189355,False,0.1972222222222222,True,False,0.38557398417029864,0.1972222222222222,True,-16.625504735248825,1.6220289028776624,-19.582202150407245,True,selection_limited
42,-44.10598885759674,4.133745355433747,-36.51679157921802,-51.60464694150081,44.97373424165924,0.001,1.0,24,39.583333333333336,1.0003918328838661,0.055644700827184285,False,0.5348017710850622,False,0.18055555555555558,True,False,0.4410535290539597,0.18055555555555558,True,-16.424307328990594,1.6487657746216342,-21.08508278954044,True,selection_limited
43,-33.767412672427575,4.962737291508616,-25.09680968938274,-42.99203844704259,44.85375208466388,0.001,1.0,24,39.166666666666664,0.9924578946537176,0.009196400499338956,False,0.5216103524129104,False,0.1597222222222222,True,False,0.33945302395415944,0.1597222222222222,True,-16.47044150763568,1.6031988939399575,-20.472324955768805,True,selection_limited
44,-39.1283065655494,4.492537477342061,-31.898477305109715,-46.66914618420634,44.90789232845042,0.001,1.0,24,37.916666666666664,0.9776710480085559,0.032113290515883956,False,0.49412300145300303,False,0.14930555555555558,True,False,0.40127977326440567,0.14930555555555558,True,-16.59150309528789,1.64478805163382,-21.102337289884325,True,selection_limited
45,-40.24015980099495,5.2551189797548705,-30.858252250848388,-49.593786875209005,43.13709911089053,0.001,1.0,24,37.333333333333336,0.9318678460640061,0.023948155281003736,False,0.5028824298586497,False,0.18680555555555556,True,False,0.4323582257981876,0.18680555555555556,True,-16.100594552941644,1.6747725704286403,-21.506838166673422,True,selection_limited
46,-41.976498298542225,5.1730289556152265,-34.65164653090266,-51.675202432641115,45.208810155183365,0.001,1.0,24,37.125,0.973893157919608,0.00684244448322948,False,0.484309890702868,False,0.13124999999999998,True,False,0.4315810311699022,0.13124999999999998,True,-15.994703125555752,1.6466582654294857,-21.927894538437393,True,selection_limited
47,-35.99150893732969,6.031592729007969,-25.668229277795096,-45.936934905016805,46.59851366651716,0.001,1.0,24,37.666666666666664,1.011126901819471,0.013608904419569003,False,0.4660285788762956,False,0.1777777777777778,True,False,0.3559665349415657,0.1777777777777778,True,-16.65720352748383,1.6193444988131533,-20.022292653225858,True,selection_limited
48,-42.13564034198192,4.547557791500067,-34.391456394523345,-50.8304209692426,44.3779994688424,0.001,1.0,24,37.416666666666664,0.9597437102276113,0.03086781970079636,False,0.5135017146959405,False,0.15763888888888888,True,False,0.4392804434970632,0.15763888888888888,True,-16.079066878199203,1.6233846870842814,-22.37057852311908,True,selection_limited
49,-39.24564407993048,5.465817211051776,-29.239911756395156,-48.82628947327123,44.75963354114807,0.001,1.0,24,37.375,0.9674580204285854,0.012533140783521869,False,0.5110756571729231,False,0.18611111111111112,True,False,0.4067083048086591,0.18611111111111112,True,-15.722723330233382,1.7031741512937146,-23.324413689487297,True,selection_limited
50,-36.49857926174331,4.418966739460888,-28.662769113612015,-43.864465919640956,45.268678557158886,0.001,1.0,24,36.833333333333336,0.9713446115295692,0.04633928040271253,False,0.5060462404737602,False,0.18472222222222223,True,False,0.3764692933847915,0.18472222222222223,True,-16.50415723213931,1.6086432242251463,-18.98013384696675,True,selection_limited
51,-42.107486512884805,4.023195929639812,-36.37942242960297,-50.106820610970594,44.846195835512134,0.001,1.0,24,38.208333333333336,0.9800757928282964,0.009701515596375178,False,0.5248721023896578,False,0.16180555555555565,True,False,0.43024465043086196,0.16180555555555565,True,-16.041310761011747,1.682201922978627,-21.791789344026043,True,selection_limited
52,-40.90543742212213,5.096541511133294,-33.016469007847185,-50.651834689221545,45.136961406492055,0.001,1.0,24,38.0,0.9837372669469718,0.032101232174242676,False,0.4995774142092961,False,0.16180555555555554,True,False,0.4167619505153719,0.16180555555555554,True,-16.157583354713076,1.7149366563703952,-22.80009346345502,True,selection_limited
53,-41.6384228284062,3.714586373935963,-35.15041152659785,-47.84590895098091,44.96008166384111,0.001,1.0,24,38.166666666666664,0.9820287758822834,0.0024994771319757324,False,0.5589396519569814,False,0.1430555555555555,True,False,0.4247777821650225,0.1430555555555555,True,-16.076158064664995,1.6733937575453104,-22.8785447351054,True,selection_limited
54,-34.541262707845625,3.847463355181307,-27.476126724715186,-40.155352826179616,43.55425495758969,0.001,1.0,24,38.75,0.9585647382303573,0.04099601682768025,False,0.5594059201471103,False,0.17013888888888884,True,False,0.3605422013383639,0.17013888888888884,True,-16.172314800377656,1.751228191621619,-21.84001776192656,True,selection_limited
55,-39.94856924956277,6.382650536809052,-29.25463312352441,-50.84213440593078,46.53157491960835,0.001,1.0,24,37.666666666666664,1.0096744184150013,0.014039799416820528,False,0.5274588451397949,False,0.1465277777777778,True,False,0.3967011533782981,0.1465277777777778,True,-16.36176289377384,1.6626644406547635,-20.94475085579276,True,selection_limited
56,-35.8822103352074,5.516561305643036,-25.269413280304192,-44.23467170201464,45.57313778770327,0.001,1.0,24,38.791666666666664,1.0035364645627438,0.013618842612814241,False,0.523462628549634,False,0.17638888888888882,True,False,0.35763979645875904,0.17638888888888882,True,-15.866828871976676,1.6691424303339273,-22.045196692709187,True,selection_limited
57,-38.602062996670945,5.285886031622572,-30.25855327683021,-47.6556476822856,44.84001229173107,0.001,1.0,24,37.875,0.9756567426000053,0.0023192554008856776,False,0.5088153883115344,False,0.1743055555555556,True,False,0.3966952758630908,0.1743055555555556,True,-15.712501040894052,1.6504018458258796,-21.648120525645215,True,selection_limited
58,-36.05720977949143,4.876205500094438,-27.72043914463416,-43.693455953335146,43.193560103190514,0.001,1.0,24,38.791666666666664,0.9511373300595966,0.015733749593805486,False,0.4972830211110495,False,0.15555555555555556,True,False,0.3798945865555789,0.15555555555555556,True,-16.386887295553183,1.6749677344673837,-22.10302696591012,True,selection_limited
59,-40.85811173822415,5.419174081814576,-31.880792501707347,-50.08528309311687,46.02422053653998,0.001,1.0,24,38.0,1.0030746313700354,0.012389287308237075,False,0.4708398000304645,False,0.16527777777777786,True,False,0.4083703024747875,0.16527777777777786,True,-16.17000445100278,1.6666838123839105,-22.109903593146996,True,selection_limited
60,-35.973229617114555,6.3915445549597045,-24.899865076278992,-47.33239757930702,44.13954346497308,0.001,1.0,24,37.875,0.9604155082898715,0.026628620776257324,False,0.5546958472443052,False,0.14166666666666666,True,False,0.3752430032512599,0.14166666666666666,True,-16.097851868241406,1.674014944436974,-22.728987082494363,True,selection_limited
61,-32.18409795936525,4.897714298657439,-23.632701689161017,-40.009742576719525,43.48927037992769,0.001,1.0,24,38.375,0.9524919684051031,0.03778523001643543,False,0.5405257645176863,False,0.21111111111111114,True,False,0.33697034864850384,0.21111111111111114,True,-16.643243832301675,1.638329998091201,-20.302307713274264,True,selection_limited
62,-34.54668318336705,5.209906709628791,-25.53182396284428,-43.22459196943225,44.92446104706953,0.001,1.0,24,38.708333333333336,0.9881892344564029,0.04518175112564413,False,0.5218750385273472,False,0.16736111111111107,True,False,0.3493086312779429,0.16736111111111107,True,-16.37470523011647,1.6912044717219583,-20.810083074083156,True,selection_limited
63,-40.31893616567254,6.504493602431679,-29.341687324007857,-51.936511899269675,44.14522205301252,0.001,1.0,24,37.958333333333336,0.9615951845625917,0.07720106553824942,False,0.4996818531457262,False,0.17638888888888893,True,False,0.4201742009277954,0.17638888888888893,True,-16.200338675658763,1.6687482519767485,-22.835856191422796,True,selection_limited
64,-36.3776224055949,4.696526996647591,-28.370749913720726,-44.703163134868106,45.32026642668061,0.001,1.0,24,37.375,0.9795758314720082,0.09278348865891851,False,0.4887463720149443,False,0.15486111111111112,True,False,0.3719520817028865,0.15486111111111112,True,-16.4090567310968,1.61786657826158,-20.940929513329454,True,selection_limited
65,-35.67225328181257,6.033028176287728,-25.14898047420883,-46.12924669262119,46.42446139420957,0.001,1.0,24,37.958333333333336,1.0112428128456425,0.0151751884038626,False,0.47827412585615314,False,0.16249999999999998,True,False,0.3526223702025248,0.16249999999999998,True,-16.733527942062437,1.6118172377452102,-20.55645652521152,True,selection_limited
66,-32.185747650979444,4.391522434567078,-24.1817121622383,-39.757429553552925,44.03638330573864,0.001,1.0,24,38.291666666666664,0.9634269365631545,0.06065147260957907,False,0.5061593705390242,False,0.1430555555555556,True,False,0.3329222361909956,0.1430555555555556,True,-15.86719119880692,1.7254538477321524,-22.035110906659238,True,selection_limited
67,-43.413507320714764,4.128751382255221,-37.00688574254052,-51.08340889965475,44.92170567183107,0.001,1.0,24,38.666666666666664,0.9875966583372313,0.045639435458855356,False,0.5260926868301332,False,0.18541666666666667,True,False,0.43981300841933746,0.18541666666666667,True,-16.383601470756176,1.6265417643877937,-20.45811707525556,True,selection_limited
68,-37.57666955149202,5.154032597377264,-28.180619655956207,-46.35631620055297,43.91533324365105,0.001,1.0,24,38.083333333333336,0.9581613891288975,0.012657698955310603,False,0.4863130749289447,False,0.14861111111111108,True,False,0.39319005802136514,0.14861111111111108,True,-16.315390036514952,1.639827638659434,-22.284338232322945,True,selection_limited
69,-37.88789099978346,4.804246623154002,-29.99378790330333,-46.906080357896606,43.92109611643932,0.001,1.0,24,37.958333333333336,0.9567131517780345,0.010773015196418717,False,0.49552810329666225,False,0.17986111111111114,True,False,0.3970668229145895,0.17986111111111114,True,-16.132775538128737,1.6612907048121466,-21.074097474991497,True,selection_limited
70,-41.527998509466016,5.814323874213367,-31.136794491307484,-51.35989984632857,45.619970890507496,0.001,1.0,24,36.208333333333336,0.9705418738766353,0.03732788892812952,False,0.5046544979050442,False,0.16388888888888897,True,False,0.42854937511419333,0.16388888888888897,True,-16.462310516454902,1.6045296008037828,-20.63243609479825,True,selection_limited
71,-36.47465330972205,5.626949729814734,-27.88700905271044,-48.3079430197491,45.262402639008535,0.001,1.0,24,37.0,0.9734047746714999,0.026697252047738127,False,0.511722855340348,False,0.17499999999999993,True,False,0.37540026392258324,0.17499999999999993,True,-16.372207600600376,1.6696181276511648,-20.733710052368476,True,selection_limited
