replicate,inference_route,calibration,route_valid,route_reason,beta_hat,se,ucb,lcb,beta_min,p_infer_less,p_infer_greater,p_rand_less,p_rand_greater,p_seq_less,p_seq_greater,log_e_seq_less,log_e_seq_greater,infer_neg_pass,infer_pos_pass,magnitude_neg_pass,magnitude_pos_pass,component_disagreement,sigma_tau_design,sigma_tau_eff,N,N_eligible,N_estimable,N_nonestimable,nonestimable_fraction,nonestimable_reasons,median_leverage_fraction,min_leverage_fraction_estimable,estimability_summary_max_smd,estimability_summary_fired,estimability_information_sufficient,estimability_support_passed,estimability_opposite_passed,estimability_adequacy_passed,estimability_conclusion_changing,nonestimable_abs_bound_sum,support_ucb_upper,eligible_lcb_lower,eligible_ucb_upper,nbar_ret,sigma_blind,leak_excursion,leak_fired,delivery_p99_ms,delivery_fired,retention_imbalance,retention_fired,balance_fired,gate_required,gate_audited,gate_passed,gate_applicable,collider_inter_z,collider_smd,collider_rank_z,collider_fired,decision
0,assignment_isolation,plus_one_randomisation,True,ok,-87.68768900257957,3.023496531165989,-82.11532669230323,-92.85181170991754,34.15923811108293,0.001,1.0,0.001,1.0,,,,,True,False,True,False,False,0.007071067811865475,0.00705967466464125,24,24,24,0,0.0,{},0.7857737531565655,0.7,0.0,False,True,True,False,False,False,0.0,-82.11532669230323,-92.85181170991753,-82.11532669230323,94.75,1.173687493582986,0.009509221118944752,False,0.5025975692662246,False,0.020486111111111094,False,False,0.6654386553313517,0.020486111111111094,True,True,-0.17019293190928025,0.12228766060439557,-13.463796437779903,False,supported
1,assignment_isolation,plus_one_randomisation,True,ok,-83.62495289661184,2.983921056043567,-78.58199608432659,-88.50312127013616,33.63579613406101,0.001,1.0,0.001,1.0,,,,,True,False,True,False,False,0.007071067811865475,0.00704588071414166,24,24,24,0,0.0,{},0.7799183455433456,0.7185648148148148,0.0,False,True,True,False,False,False,0.0,-78.58199608432659,-88.50312127013616,-78.58199608432659,96.125,1.1617834316795268,0.016830841196552794,False,0.5142818753027785,False,0.02013888888888893,False,False,0.6511134568462736,0.02013888888888893,True,True,0.5353959937781101,0.14963547704525376,-11.64453657854772,False,supported
2,assignment_isolation,plus_one_randomisation,True,ok,-89.50109752575783,3.42051958321499,-82.68150388760613,-94.90352749587352,34.320067787535656,0.001,1.0,0.001,1.0,,,,,True,False,True,False,False,0.007071067811865475,0.007112499018839258,24,24,24,0,0.0,{},0.8124116206501562,0.7471326164874553,0.0,False,True,True,False,False,False,0.0,-82.68150388760613,-94.90352749587352,-82.68150388760613,96.16666666666667,1.196885600761431,0.012539070943656416,False,0.5229620161335528,False,0.027083333333333348,False,False,0.6657769205640228,0.027083333333333348,True,True,0.8967210909018867,0.20454585337526146,-11.966687278972696,False,supported
3,assignment_isolation,plus_one_randomisation,True,ok,-90.64106304251494,4.64757176304624,-83.28693536777246,-98.663266438237,34.80157713984166,0.001,1.0,0.001,1.0,,,,,True,False,True,False,False,0.007071067811865475,0.007079276189831112,24,24,24,0,0.0,{},0.7904769174401562,0.7204212454212454,0.0,False,True,True,False,False,False,0.0,-83.28693536777246,-98.66326643823702,-83.28693536777246,95.0,1.200658746424523,0.008483686566979998,False,0.5238137790939005,False,0.015625,False,False,0.6693422082710915,0.015625,True,True,0.7556587136412944,0.19647688145600262,-13.50398011608004,False,supported
4,assignment_isolation,plus_one_randomisation,True,ok,-95.1988994886956,3.251667630448613,-89.46708876638391,-100.19650463400251,35.034718914687964,0.001,1.0,0.001,1.0,,,,,True,False,True,False,False,0.007071067811865475,0.007040187178690097,24,24,24,0,0.0,{},0.8069727891156463,0.6702651515151515,0.0,False,True,True,False,False,False,0.0,-89.46708876638392,-100.19650463400251,-89.46708876638392,97.04166666666667,1.214876051945674,0.029788735473634004,False,0.5265915531123015,False,0.035069444444444486,False,False,0.6829441937040723,0.035069444444444486,True,True,2.4973407000981553,0.21132805687955192,-13.888549643720193,False,supported
5,assignment_isolation,plus_one_randomisation,True,ok,-93.67530145285654,4.243281495267467,-85.93085298530441,-100.48759133579271,34.649954038445834,0.001,1.0,0.001,1.0,,,,,True,False,True,False,False,0.007071067811865475,0.007061474418885188,24,24,24,0,0.0,{},0.8000973937599944,0.7204343971631205,0.0,False,True,True,False,False,False,0.0,-85.93085298530441,-100.48759133579271,-85.93085298530441,96.29166666666667,1.2005006768756419,0.0071740601600420815,False,0.500534669204472,False,0.031597222222222165,False,False,0.6814326703986402,0.031597222222222165,True,True,-0.018156741942801206,0.09859316259100497,-15.75289666272097,False,supported
6,assignment_isolation,plus_one_randomisation,True,ok,-90.44773721882102,2.9072475581398445,-85.4036478303938,-95.77483580663008,34.739724840730126,0.001,1.0,0.001,1.0,,,,,True,False,True,False,False,0.007071067811865475,0.007040591583771516,24,24,24,0,0.0,{},0.7789874344742522,0.7000000000000001,0.0,False,True,True,False,False,False,0.0,-85.40364783039381,-95.77483580663007,-85.40364783039381,94.79166666666667,1.1906678041175818,0.014697862538150858,False,0.5366302109608269,False,0.02083333333333337,False,False,0.6716540299758261,0.02083333333333337,True,True,1.1630009804472339,0.1959372280171607,-13.786508692783773,False,supported
7,assignment_isolation,plus_one_randomisation,True,ok,-89.78409105598553,4.25884950775081,-82.79143832645727,-97.65347005813781,34.88139079886403,0.001,1.0,0.001,1.0,,,,,True,False,True,False,False,0.007071067811865475,0.00709508808810519,24,24,24,0,0.0,{},0.8079931972789116,0.6954071969696969,0.0,False,True,True,False,False,False,0.0,-82.79143832645727,-97.65347005813781,-82.79143832645727,95.58333333333333,1.2097974782447503,0.005936602612974688,False,0.5490260433728438,False,0.022222222222222143,False,False,0.6629107730640239,0.022222222222222143,True,True,0.522544059078632,0.11503589384897252,-12.60186761455908,False,supported
8,assignment_isolation,plus_one_randomisation,True,ok,-95.54875111574363,3.540044916821938,-90.02239409943023,-101.58397503372879,34.72596474115576,0.001,1.0,0.001,1.0,,,,,True,False,True,False,False,0.007071067811865475,0.007029988219846813,24,24,24,0,0.0,{},0.7906086680269186,0.7120833333333334,0.0,False,True,True,False,False,False,0.0,-90.02239409943023,-101.58397503372879,-90.02239409943023,96.875,1.2013921207179903,0.015927622708548833,False,0.5195744201645599,False,0.02430555555555558,False,False,0.6881758021697005,0.02430555555555558,True,True,-0.054541366717942734,0.1960566344937407,-15.840909925592928,False,supported
9,assignment_isolation,plus_one_randomisation,True,ok,-86.114547717403,4.164907517323686,-78.94764030412732,-92.58383019064192,32.930352557067884,0.001,1.0,0.001,1.0,,,,,True,False,True,False,False,0.007071067811865475,0.007092062984618236,24,24,24,0,0.0,{},0.8007050794949733,0.7053370786516855,0.0,False,True,True,False,False,False,0.0,-78.94764030412732,-92.5838301906419,-78.94764030412732,95.20833333333333,1.139400616102257,0.019530537309374808,False,0.49947958121672537,False,0.04340277777777779,False,False,0.6697667309216334,0.04340277777777779,True,True,-0.6763894329374005,0.21445817563903996,-13.10988013355078,False,supported
