replicate,inference_route,calibration,route_valid,route_reason,beta_hat,se,ucb,lcb,beta_min,p_infer_less,p_infer_greater,p_rand_less,p_rand_greater,p_seq_less,p_seq_greater,log_e_seq_less,log_e_seq_greater,infer_neg_pass,infer_pos_pass,magnitude_neg_pass,magnitude_pos_pass,component_disagreement,sigma_tau_design,sigma_tau_eff,N,N_eligible,N_estimable,N_nonestimable,nonestimable_fraction,nonestimable_reasons,median_leverage_fraction,min_leverage_fraction_estimable,estimability_summary_max_smd,estimability_summary_fired,estimability_information_sufficient,estimability_support_passed,estimability_opposite_passed,estimability_adequacy_passed,estimability_conclusion_changing,nonestimable_abs_bound_sum,support_ucb_upper,eligible_lcb_lower,eligible_ucb_upper,nbar_ret,sigma_blind,leak_excursion,leak_fired,delivery_p99_ms,delivery_fired,retention_imbalance,retention_fired,balance_fired,gate_required,gate_audited,gate_passed,gate_applicable,collider_inter_z,collider_smd,collider_rank_z,collider_fired,decision
0,assignment_isolation,plus_one_randomisation,True,ok,34.703537338060094,4.562551449476316,42.17578366903654,26.72711275269918,30.241568689761376,1.0,0.001,1.0,0.001,,,,,False,True,False,False,True,0.007071067811865475,0.007054256446010092,24,24,24,0,0.0,{},0.803076192486281,0.7338315217391304,0.0,False,True,False,False,False,False,0.0,42.17578366903654,26.72711275269918,42.17578366903654,95.91666666666667,1.0446543136956208,0.01106793976896486,False,0.49726507670561737,False,0.028472222222222232,False,False,0.33093089767389944,0.028472222222222232,True,False,0.21305447011823983,0.10654056269409755,4.6061349410506685,False,inconclusive
1,assignment_isolation,plus_one_randomisation,True,ok,45.30301195445569,3.104973053711581,50.603550496018045,40.037639066088445,30.002249891080794,1.0,0.001,1.0,0.001,,,,,False,True,False,True,False,0.007071067811865475,0.007024166176336017,24,24,24,0,0.0,{},0.810374149659864,0.6600980392156862,0.0,False,True,False,True,False,False,0.0,50.603550496018045,40.037639066088445,50.603550496018045,96.91666666666667,1.0373321547260275,0.003137112333126799,False,0.4989673297170602,False,0.030902777777777724,False,False,0.43707466632330505,0.030902777777777724,True,True,0.5934523346507146,0.0820946408415488,6.99154758896181,False,opposite_direction
2,assignment_isolation,plus_one_randomisation,True,ok,35.8882250043701,3.3941252047896353,41.18798735395914,29.928197479069283,30.079836860390504,1.0,0.001,1.0,0.001,,,,,False,True,False,False,True,0.007071067811865475,0.007028394917346657,24,24,24,0,0.0,{},0.774542824074074,0.7371093750000001,0.0,False,True,False,False,False,False,0.0,41.18798735395914,29.928197479069283,41.18798735395914,96.08333333333333,1.0361572437310418,0.030151881674740283,False,0.525818035206004,False,0.023958333333333304,False,False,0.3459065104257114,0.023958333333333304,True,False,-0.557168276035788,0.16170040602913285,4.060553315254992,False,inconclusive
3,assignment_isolation,plus_one_randomisation,True,ok,38.54105401966536,2.4027482743921276,42.5805806910643,34.315947383722644,29.73117048569455,1.0,0.001,1.0,0.001,,,,,False,True,False,True,False,0.007071067811865475,0.007063912049679778,24,24,24,0,0.0,{},0.7992234674768783,0.6992753623188405,0.0,False,True,False,True,False,False,0.0,42.5805806910643,34.315947383722644,42.5805806910643,95.79166666666667,1.0277586951666844,0.018877973359677495,False,0.47247468892288863,False,0.019444444444444486,False,False,0.3756970468665024,0.019444444444444486,True,True,0.29824002629883023,0.2358948805043372,6.246843059710369,False,opposite_direction
4,assignment_isolation,plus_one_randomisation,True,ok,36.551697606473205,3.487744655104547,42.529821218446315,30.79293091295104,30.792967177237454,1.0,0.001,1.0,0.001,,,,,False,True,False,False,True,0.007071067811865475,0.007086283168183046,24,24,24,0,0.0,{},0.795786510942761,0.7037306201550385,0.0,False,True,False,False,False,False,0.0,42.529821218446315,30.79293091295104,42.529821218446315,94.79166666666667,1.0622460524247774,0.006663311649173576,False,0.5173118647554336,False,0.03472222222222221,False,False,0.3435255431541519,0.03472222222222221,True,False,1.271870002359222,0.18160318636460074,5.319981139773282,False,inconclusive
5,assignment_isolation,plus_one_randomisation,True,ok,38.47328284697274,3.935974992249197,44.806462690978776,31.230377120896144,30.86218024651917,1.0,0.001,1.0,0.001,,,,,False,True,False,True,False,0.007071067811865475,0.0070894616246941124,24,24,24,0,0.0,{},0.7940647820017184,0.7232558139534883,0.0,False,True,False,True,False,False,0.0,44.806462690978776,31.23037712089614,44.806462690978776,95.08333333333333,1.0667485541782267,0.0035356457142505827,False,0.495475193860948,False,0.018402777777777768,False,False,0.36087075571207194,0.018402777777777768,True,True,-2.5120890941504586,0.23383538134528908,5.063560718678639,False,opposite_direction
6,assignment_isolation,plus_one_randomisation,True,ok,42.0941542694217,3.5259317906321446,49.19288795499712,36.25527820440303,30.139119885830677,1.0,0.001,1.0,0.001,,,,,False,True,False,True,False,0.007071067811865475,0.007072206056189345,24,24,24,0,0.0,{},0.7978942652329749,0.699808429118774,0.0,False,True,False,True,False,False,0.0,49.192887954997126,36.25527820440303,49.192887954997126,95.04166666666667,1.0389927041969758,0.005724528238581778,False,0.5224852733105494,False,0.038541666666666696,False,False,0.40619712299891797,0.038541666666666696,True,True,0.5886594726071712,0.18919343127394422,5.798884627037975,False,opposite_direction
7,assignment_isolation,plus_one_randomisation,True,ok,40.59322857872644,3.724213671867951,47.14699113141616,34.68962718507291,29.952752771986994,1.0,0.001,1.0,0.001,,,,,False,True,False,True,False,0.007071067811865475,0.007046830128293465,24,24,24,0,0.0,{},0.8156075456498388,0.6916666666666668,0.0,False,True,False,True,False,False,0.0,47.146991131416165,34.68962718507291,47.146991131416165,97.08333333333333,1.0398552488560626,0.010382537752899783,False,0.5314082114820315,False,0.02604166666666663,False,False,0.39136973429504957,0.02604166666666663,True,True,0.2673193715329892,0.19302322099909278,5.407145000459723,False,opposite_direction
8,assignment_isolation,plus_one_randomisation,True,ok,36.14702634127048,4.850745869184001,44.74780464604078,28.222716738147177,29.954086130183175,1.0,0.001,1.0,0.001,,,,,False,True,False,False,True,0.007071067811865475,0.007037480927721278,24,24,24,0,0.0,{},0.7949935105621195,0.7255376344086022,0.0,False,True,False,False,False,False,0.0,44.74780464604078,28.22271673814718,44.74780464604078,96.54166666666667,1.0356206593441515,0.015603887165769437,False,0.5304536328722591,False,0.03368055555555549,False,False,0.34872223774715033,0.03368055555555549,True,False,-0.26406060737926396,0.16944833605456378,5.802870149196552,False,inconclusive
9,assignment_isolation,plus_one_randomisation,True,ok,35.56959291198334,4.427661806536927,44.186080541133315,28.436584264542397,29.715496837471857,1.0,0.001,1.0,0.001,,,,,False,True,False,False,True,0.007071067811865475,0.007120426579960218,24,24,24,0,0.0,{},0.7931785088791137,0.7081521739130436,0.0,False,True,False,False,False,False,0.0,44.186080541133315,28.436584264542393,44.186080541133315,94.08333333333333,1.02616065976259,0.03194062059857029,False,0.5282121123493982,False,0.023611111111111138,False,False,0.3461896058975004,0.023611111111111138,True,False,-1.0825113262531985,0.2233357977998656,5.248066984737157,False,inconclusive
