replicate,inference_route,calibration,route_valid,route_reason,beta_hat,se,ucb,lcb,beta_min,p_infer_less,p_infer_greater,p_rand_less,p_rand_greater,p_seq_less,p_seq_greater,log_e_seq_less,log_e_seq_greater,infer_neg_pass,infer_pos_pass,magnitude_neg_pass,magnitude_pos_pass,component_disagreement,sigma_tau_design,sigma_tau_eff,N,N_eligible,N_estimable,N_nonestimable,nonestimable_fraction,nonestimable_reasons,median_leverage_fraction,min_leverage_fraction_estimable,estimability_summary_max_smd,estimability_summary_fired,estimability_information_sufficient,estimability_support_passed,estimability_opposite_passed,estimability_adequacy_passed,estimability_conclusion_changing,nonestimable_abs_bound_sum,support_ucb_upper,eligible_lcb_lower,eligible_ucb_upper,nbar_ret,sigma_blind,leak_excursion,leak_fired,delivery_p99_ms,delivery_fired,retention_imbalance,retention_fired,balance_fired,gate_required,gate_audited,gate_passed,gate_applicable,collider_inter_z,collider_smd,collider_rank_z,collider_fired,decision
0,sequential_evalue,martingale_evalue,True,ok,-1.8532322472991059,2.9591163190054997,4.002449246916418,-6.4377586774917015,35.37821485601885,1.0,1.0,,,1.0,1.0,-1.156201616188445,-1.74076054659026,False,False,False,False,False,0.007071067811865475,0.0068579604369555635,24,24,24,0,0.0,{},0.7666763732980971,0.6829793036008849,0.0,False,True,False,False,True,False,0.0,4.002449246916418,-6.4377586774917015,4.002449246916418,91.08333333333333,1.157764830367971,0.03554206337686884,False,1.285654002133787,False,0.020486111111111094,False,False,0.009495098585660895,0.020486111111111094,False,False,-0.08668441027028909,0.16879630042144184,0.36606691640065026,False,forward_only_adequate
1,sequential_evalue,martingale_evalue,True,ok,0.8192519105169551,3.54598628310067,6.193356627368539,-5.706515712577836,34.32946094174815,1.0,1.0,,,1.0,1.0,-1.6628120560432444,-1.2766994210348352,False,False,False,False,False,0.007071067811865475,0.0069845424244755335,24,24,24,0,0.0,{},0.7844094228905969,0.6972872145847356,0.0,False,True,False,False,True,False,0.0,6.19335662736854,-5.706515712577836,6.19335662736854,92.25,1.1514846033870287,0.004501643734422622,False,1.2862471724587383,False,0.039583333333333304,False,False,0.0038093742465644723,0.039583333333333304,False,False,0.6170872089417198,0.18253674296465688,0.14356445923407377,False,forward_only_adequate
2,sequential_evalue,martingale_evalue,True,ok,0.34625467021232703,2.6683225507815362,5.175271627758823,-4.110862768248214,34.55608596689848,1.0,1.0,,,1.0,1.0,-1.590967283235707,-1.4254623572900988,False,False,False,False,False,0.007071067811865475,0.007075602453819084,24,24,24,0,0.0,{},0.7883774926023942,0.704518830926328,0.0,False,True,False,False,True,False,0.0,5.175271627758823,-4.110862768248214,5.175271627758823,92.91666666666667,1.1784326986752307,0.020906061432882272,False,1.2745977669380462,False,0.01840277777777788,False,False,0.0014320104452856452,0.01840277777777788,False,False,-0.6635850032152432,0.16831169232997498,0.4129622578186531,False,forward_only_adequate
3,sequential_evalue,martingale_evalue,True,ok,-3.3098227021631565,3.0542415015720246,1.672992022163772,-8.971422121242426,34.43708559380136,1.0,1.0,,,1.0,1.0,-0.7033868772089135,-2.050405266444807,False,False,False,False,False,0.007071067811865475,0.006925535687891031,24,24,24,0,0.0,{},0.7813774289546516,0.680062502460727,0.0,False,True,False,False,True,False,0.0,1.672992022163772,-8.971422121242426,1.672992022163772,92.16666666666667,1.1448186779600102,0.001378359355580617,False,1.3071926724740779,False,0.019444444444444375,False,False,0.018704079711344964,0.019444444444444375,False,False,-0.9019951436447466,0.15286211177642872,-0.4835081950974704,False,forward_only_adequate
4,sequential_evalue,martingale_evalue,True,ok,-1.2896414255981463,2.98549821372871,4.082024704609503,-6.788314797477136,33.61622907730063,1.0,1.0,,,1.0,1.0,-1.196592467913458,-1.709798004467982,False,False,False,False,False,0.007071067811865475,0.006994959510541208,24,24,24,0,0.0,{},0.7594016686978267,0.7011719394957144,0.0,False,True,False,False,True,False,0.0,4.082024704609503,-6.788314797477136,4.082024704609503,91.45833333333333,1.124387076622437,0.01799137368776672,False,1.3588931024521165,False,0.021874999999999978,False,False,0.006509121209394151,0.021874999999999978,False,False,0.5909411131207878,0.08707973711671309,-0.41780156019150233,False,forward_only_adequate
5,sequential_evalue,martingale_evalue,True,ok,1.0065400410369243,2.904659225746418,5.834956163035623,-4.224278430423641,33.55861941000702,1.0,1.0,,,1.0,1.0,-1.6751054600667152,-1.319676705067268,False,False,False,False,False,0.007071067811865475,0.007012204755876995,24,24,24,0,0.0,{},0.7998824764020247,0.7400105576069189,0.0,False,True,False,False,True,False,0.0,5.834956163035623,-4.224278430423641,5.834956163035623,95.83333333333333,1.1518262617506247,0.017844392334696167,False,1.2489684435340425,False,0.023611111111111027,False,False,0.004794143811396403,0.023611111111111027,False,False,0.5806606950890069,0.12016731819339686,1.3935408233230135,False,forward_only_adequate
6,sequential_evalue,martingale_evalue,True,ok,-0.12275847967183469,3.048162400670371,4.392687923123659,-6.4221213005178175,34.09640593715462,1.0,1.0,,,1.0,1.0,-1.4409685400900787,-1.5373839192931325,False,False,False,False,False,0.007071067811865475,0.0070166475290256375,24,24,24,0,0.0,{},0.7701639948484175,0.6858933912980248,0.0,False,True,False,False,True,False,0.0,4.392687923123659,-6.422121300517818,4.392687923123659,92.125,1.1481457396010493,0.004934747839388627,False,1.2784727047322353,False,0.025694444444444464,False,False,0.00047607001127860873,0.025694444444444464,False,False,0.23094559044175877,0.14959383900670536,0.7143562654256337,False,forward_only_adequate
7,sequential_evalue,martingale_evalue,True,ok,5.454227645245788,3.1656078613288434,10.813326950007475,0.1272968414186595,34.340155318239674,1.0,1.0,,,1.0,1.0,-2.310680236260158,-0.32963747025641466,False,False,False,False,False,0.007071067811865475,0.007049944489536247,24,24,24,0,0.0,{},0.7780561402709756,0.7001768079943239,0.0,False,True,False,False,True,False,0.0,10.813326950007474,0.1272968414186595,10.813326950007474,92.33333333333333,1.1631539879773782,0.02358809703076769,False,1.3119805638074455,False,0.013541666666666674,False,False,0.03284234903912379,0.013541666666666674,False,False,0.408938349894171,0.15354110848785033,1.7213903466914193,False,forward_only_adequate
8,sequential_evalue,martingale_evalue,True,ok,-3.0637084454144765,3.5792120150498503,3.794004351515223,-8.512638732049107,33.404933338557754,1.0,1.0,,,1.0,1.0,-0.7142855490158768,-2.0593218414928485,False,False,False,False,False,0.007071067811865475,0.006965300310218953,24,24,24,0,0.0,{},0.7734423594995982,0.737374321563665,0.0,False,True,False,False,True,False,0.0,3.794004351515223,-8.512638732049107,3.794004351515223,93.16666666666667,1.1229249679535065,0.007965265710715956,False,1.2495905445215179,False,0.007291666666666696,False,False,0.01749271105021105,0.007291666666666696,False,False,-0.5112209941027855,0.16589033110444013,-0.47645722295688864,False,forward_only_adequate
9,sequential_evalue,martingale_evalue,True,ok,3.641198846585453,3.384278977711554,9.485871794329523,-1.8235673407835695,33.831578696954956,1.0,1.0,,,1.0,1.0,-2.1309973912974955,-0.6008130475746114,False,False,False,False,False,0.007071067811865475,0.006993161281182707,24,24,24,0,0.0,{},0.7937863327717736,0.6939324453658179,0.0,False,True,False,False,True,False,0.0,9.485871794329523,-1.8235673407835697,9.485871794329523,93.20833333333333,1.1420712102349195,0.008611646975251932,False,1.3029909042200953,False,0.018055555555555602,False,False,0.02094708436737186,0.018055555555555602,False,False,0.9802262880194045,0.1629266354472615,1.001060981568268,False,forward_only_adequate
