replicate,inference_route,calibration,route_valid,route_reason,beta_hat,se,ucb,lcb,beta_min,p_infer_less,p_infer_greater,p_rand_less,p_rand_greater,p_seq_less,p_seq_greater,log_e_seq_less,log_e_seq_greater,infer_neg_pass,infer_pos_pass,magnitude_neg_pass,magnitude_pos_pass,component_disagreement,sigma_tau_design,sigma_tau_eff,N,N_eligible,N_estimable,N_nonestimable,nonestimable_fraction,nonestimable_reasons,median_leverage_fraction,min_leverage_fraction_estimable,estimability_summary_max_smd,estimability_summary_fired,estimability_information_sufficient,estimability_support_passed,estimability_opposite_passed,estimability_adequacy_passed,estimability_conclusion_changing,nonestimable_abs_bound_sum,support_ucb_upper,eligible_lcb_lower,eligible_ucb_upper,nbar_ret,sigma_blind,leak_excursion,leak_fired,delivery_p99_ms,delivery_fired,retention_imbalance,retention_fired,balance_fired,gate_required,gate_audited,gate_passed,gate_applicable,collider_inter_z,collider_smd,collider_rank_z,collider_fired,decision
0,assignment_isolation,plus_one_randomisation,True,ok,0.974800362855108,2.522552777827554,5.618695131659027,-2.94815962163898,28.615607493477704,0.639,0.362,0.639,0.362,,,,,False,False,False,False,False,0.007071067811865475,0.007067367907686963,24,24,24,0,0.0,{},0.7926089420194489,0.6768981481481482,0.0,False,True,False,False,True,False,0.0,5.618695131659027,-2.9481596216389803,5.618695131659027,96.04166666666667,0.990970026161726,0.026625736226241977,False,0.5391739904973435,False,0.015625,False,False,0.005615827070106061,0.015625,False,False,-0.29064291727648517,0.1853622521984435,-0.7908350521884207,False,forward_only_adequate
1,assignment_isolation,plus_one_randomisation,True,ok,-1.0928373212636202,2.6884790759632944,2.7872131723144093,-6.744246615795408,29.11178887400908,0.382,0.619,0.382,0.619,,,,,False,False,False,False,False,0.007071067811865475,0.0070391922857467246,24,24,24,0,0.0,{},0.7864464537851634,0.6768465909090908,0.0,False,True,False,False,True,False,0.0,2.7872131723144093,-6.744246615795408,2.7872131723144093,95.16666666666667,0.9995491518694045,0.001498143316817807,False,0.5201205015319361,False,0.027430555555555514,False,False,0.006325063227669414,0.027430555555555514,False,False,-1.5385412825339206,0.12145168179767621,-0.9030722689698313,False,forward_only_adequate
2,assignment_isolation,plus_one_randomisation,True,ok,2.225696610189293,3.452121781198821,8.390974331178064,-3.634799328238519,29.04517803563643,0.77,0.231,0.77,0.231,,,,,False,False,False,False,False,0.007071067811865475,0.0070774304363174665,24,24,24,0,0.0,{},0.79521227289581,0.6970370370370371,0.0,False,True,False,False,True,False,0.0,8.390974331178064,-3.6347993282385196,8.390974331178064,95.08333333333333,1.002240286375,0.009464734541204084,False,0.5225327995260924,False,0.023611111111111138,False,False,0.01415638437530582,0.023611111111111138,False,False,1.2890892898677317,0.14398917269160574,0.5324909982809907,False,forward_only_adequate
3,assignment_isolation,plus_one_randomisation,True,ok,1.4172211164444313,2.854080948045611,6.6541004138764555,-3.258957593075503,28.582993645059982,0.672,0.329,0.672,0.329,,,,,False,False,False,False,False,0.007071067811865475,0.0070806854325214325,24,24,24,0,0.0,{},0.8176975945017182,0.7166666666666667,0.0,False,True,False,False,True,False,0.0,6.6541004138764555,-3.2589575930755026,6.6541004138764555,98.0,1.0017654650869827,0.04665364473935355,False,0.5139526181614691,False,0.012847222222222232,False,False,0.008463964776685007,0.012847222222222232,False,False,-1.105629074997535,0.1810582405345461,1.0642960161921218,False,forward_only_adequate
4,assignment_isolation,plus_one_randomisation,True,ok,3.564035115500747,2.626656707261185,7.635950824103928,-1.9221754465264094,29.118697101683846,0.892,0.109,0.892,0.109,,,,,False,False,False,False,False,0.007071067811865475,0.0070368812320463735,24,24,24,0,0.0,{},0.8041518863392824,0.6792156862745098,0.0,False,True,False,False,True,False,0.0,7.635950824103927,-1.9221754465264091,7.635950824103927,95.875,1.0031707316127536,0.007306245309435343,False,0.5101160396623339,False,0.034375000000000044,False,False,0.02436203202078975,0.034375000000000044,False,False,0.5144853687110909,0.1629961797803253,0.18820625617194814,False,forward_only_adequate
5,assignment_isolation,plus_one_randomisation,True,ok,1.6722605072915835,2.8335125126017218,6.111849174346799,-3.673694995188346,28.680221697404086,0.741,0.26,0.741,0.26,,,,,False,False,False,False,False,0.007071067811865475,0.007034417522673709,24,24,24,0,0.0,{},0.8034576911299378,0.6482558139534883,0.0,False,True,False,False,True,False,0.0,6.111849174346799,-3.6736949951883466,6.111849174346799,96.66666666666667,0.9917883943763511,0.0030071219330092287,False,0.5251407468032033,False,0.01736111111111105,False,False,0.010332231787553959,0.01736111111111105,False,False,-0.6021408207225717,0.1273808395495039,-0.8766130316882419,False,forward_only_adequate
6,assignment_isolation,plus_one_randomisation,True,ok,0.18030723115033945,3.1511264039995446,5.293233992741754,-5.3006182534907555,29.124373943305027,0.509,0.492,0.509,0.492,,,,,False,False,False,False,False,0.007071067811865475,0.007071280965056745,24,24,24,0,0.0,{},0.7880167451596023,0.6870689655172413,0.0,False,True,False,False,True,False,0.0,5.293233992741754,-5.3006182534907555,5.293233992741754,93.95833333333333,0.9981420422159034,0.021950134554394044,False,0.5104543155264916,False,0.02083333333333337,False,False,0.0008628472164279977,0.02083333333333337,False,False,1.9689214191253592,0.18501709410016892,-0.1371356323159184,False,forward_only_adequate
7,assignment_isolation,plus_one_randomisation,True,ok,-1.7608864839327556,3.1629065743538454,3.7176235724024504,-6.710936362249081,29.490899276115798,0.289,0.712,0.289,0.712,,,,,False,False,False,False,False,0.007071067811865475,0.007042873382546492,24,24,24,0,0.0,{},0.7957894736842104,0.7076007326007328,0.0,False,True,False,False,True,False,0.0,3.7176235724024504,-6.710936362249082,3.7176235724024504,96.5,1.0201676730144902,0.007352911946623397,False,0.5019843347825543,False,0.013541666666666674,False,False,0.010611786111734035,0.013541666666666674,False,False,0.4912710478565405,0.1467126356563858,0.6818290652949973,False,forward_only_adequate
8,assignment_isolation,plus_one_randomisation,True,ok,-5.8459787816265,3.4743773695669398,-0.18994146312787308,-11.382249375367303,29.186507581799503,0.034,0.967,0.034,0.967,,,,,True,False,False,False,True,0.007071067811865475,0.0070741371362070425,24,24,24,0,0.0,{},0.8174898726851851,0.676736111111111,0.0,False,True,False,False,True,False,0.0,-0.18994146312787308,-11.382249375367303,-0.18994146312787308,95.29166666666667,1.0077506139175272,0.0049135174596853515,False,0.49490331136832727,False,0.02013888888888893,False,False,0.043253940175927236,0.02013888888888893,False,False,-1.1664784560129589,0.19393655858916622,-2.3651758358649344,False,inconclusive
9,assignment_isolation,plus_one_randomisation,True,ok,1.5891839020959757,2.823237499850536,6.295360126388657,-3.899424317020875,29.000782422400228,0.695,0.306,0.695,0.306,,,,,False,False,False,False,False,0.007071067811865475,0.007068686787696464,24,24,24,0,0.0,{},0.7764595861970218,0.6684865900383139,0.0,False,True,False,False,True,False,0.0,6.295360126388657,-3.899424317020875,6.295360126388657,94.5,0.9964014760167679,0.015905369545611277,False,0.5113627487099309,False,0.021527777777777812,False,False,0.009698604655152288,0.021527777777777812,False,False,-0.7726091412527999,0.10279587060762528,0.32608890182654576,False,forward_only_adequate
10,assignment_isolation,plus_one_randomisation,True,ok,-4.4236413224073905,2.6282288527510835,0.0014524877104662437,-9.072154377245155,29.04722523317266,0.06,0.941,0.06,0.941,,,,,False,False,False,False,False,0.007071067811865475,0.00708051367179334,24,24,24,0,0.0,{},0.7916237113402063,0.6720037453183518,0.0,False,True,False,False,True,False,0.0,0.0014524877104662437,-9.072154377245155,0.0014524877104662437,94.95833333333333,1.002088236634761,0.011768500344591464,False,0.5055477751749363,False,0.025694444444444464,False,False,0.0313851322639021,0.025694444444444464,False,False,-2.7038787763408334,0.3668535773056292,-1.0061206157132843,True,selection_limited
11,assignment_isolation,plus_one_randomisation,True,ok,4.532868881961476,3.1228649336408356,10.081685470261732,-0.8278006555719655,28.628826863884314,0.937,0.064,0.937,0.064,,,,,False,False,False,False,False,0.007071067811865475,0.007058189381627857,24,24,24,0,0.0,{},0.7956051262567221,0.6954301075268818,0.0,False,True,False,False,True,False,0.0,10.081685470261732,-0.8278006555719655,10.081685470261732,96.79166666666667,0.9939987710081699,0.011484195815977321,False,0.510251892056418,False,0.014583333333333393,False,False,0.03260200062143799,0.014583333333333393,False,False,0.48519321209500005,0.24041756762698244,0.28943081812913685,False,forward_only_adequate
12,assignment_isolation,plus_one_randomisation,True,ok,-2.2361806021274764,3.587088695032265,4.5417187402082035,-7.965776256115507,28.72374082938504,0.224,0.777,0.224,0.777,,,,,False,False,False,False,False,0.007071067811865475,0.007084746328543862,24,24,24,0,0.0,{},0.7937914377289377,0.7120786516853934,0.0,False,True,False,False,True,False,0.0,4.5417187402082035,-7.965776256115507,4.5417187402082035,94.33333333333333,0.988252448544239,0.04260851222672441,False,0.49457400944988494,False,0.023958333333333304,False,False,0.014464466914368847,0.023958333333333304,False,False,-1.552957745401372,0.18996582575028156,-2.1569696681807966,False,forward_only_adequate
