replicate,inference_route,calibration,route_valid,route_reason,beta_hat,se,ucb,lcb,beta_min,p_infer_less,p_infer_greater,p_rand_less,p_rand_greater,p_seq_less,p_seq_greater,log_e_seq_less,log_e_seq_greater,infer_neg_pass,infer_pos_pass,magnitude_neg_pass,magnitude_pos_pass,component_disagreement,sigma_tau_design,sigma_tau_eff,N,N_eligible,N_estimable,N_nonestimable,nonestimable_fraction,nonestimable_reasons,median_leverage_fraction,min_leverage_fraction_estimable,estimability_summary_max_smd,estimability_summary_fired,estimability_information_sufficient,estimability_support_passed,estimability_opposite_passed,estimability_adequacy_passed,estimability_conclusion_changing,nonestimable_abs_bound_sum,support_ucb_upper,eligible_lcb_lower,eligible_ucb_upper,nbar_ret,sigma_blind,leak_excursion,leak_fired,delivery_p99_ms,delivery_fired,retention_imbalance,retention_fired,balance_fired,gate_required,gate_audited,gate_passed,gate_applicable,collider_inter_z,collider_smd,collider_rank_z,collider_fired,decision
0,assignment_isolation,plus_one_randomisation,True,ok,-37.58061569043461,7.248203401422678,-22.522121762228906,-58.34055408341883,17.51818571510271,0.001,1.0,0.001,1.0,,,,,True,False,True,False,False,0.007071067811865475,0.007269024341535081,5,24,5,19,0.7916666666666666,"{""insufficient_leverage"": 19}",0.44166666666666654,0.5135416666666666,1.2824069199037225,True,True,False,False,False,True,6846.808927042592,280.59159659297694,-297.4379873941536,280.59159659297694,59.4,0.9814280623316546,0.01563848304874432,False,0.5233094629971308,False,0.029861111111111116,False,False,0.21588618484903557,0.029861111111111116,True,True,-23.621103345194122,1.4516438216800998,-27.99177205274203,True,selection_limited
1,assignment_isolation,plus_one_randomisation,True,ok,-43.216816766265474,6.277731136846011,-33.14060848727067,-58.86872235139046,17.992082212481364,0.001,1.0,0.001,1.0,,,,,True,False,True,False,False,0.007071067811865475,0.007197587852335881,12,24,12,12,0.5,"{""insufficient_leverage"": 12}",0.4978766025641026,0.5,1.4718044134526975,True,True,False,False,False,True,4370.68665026203,165.54163951728256,-211.54630493661315,165.54163951728256,60.75,1.0093494309554585,0.008971052554034615,False,0.47734672669580896,False,0.03402777777777777,False,False,0.24121192781221684,0.03402777777777777,True,True,-23.4130778672126,1.4725438142832348,-27.465734528303894,True,selection_limited
2,assignment_isolation,plus_one_randomisation,True,ok,-34.708863294011856,3.9075821841799634,-26.396790090602895,-42.32940300786763,16.88747010314766,0.001,1.0,0.001,1.0,,,,,True,False,True,False,False,0.007071067811865475,0.0072035232978075086,7,24,7,17,0.7083333333333334,"{""insufficient_leverage"": 17}",0.4505883020581114,0.5040972222222222,1.3882672241127156,True,True,False,False,False,True,6396.128630873961,258.8062958433225,-278.8514354970431,258.8062958433225,61.42857142857143,0.9534430691252868,0.004456382648729015,False,0.5143913515838312,False,0.01076388888888885,False,False,0.20496351178266167,0.01076388888888885,True,True,-23.44789060193671,1.4202539568231796,-28.089063463970625,True,selection_limited
3,assignment_isolation,plus_one_randomisation,True,ok,-31.903244522033834,5.447259489294409,-21.755173530083344,-42.824327547331436,18.128092071467666,0.001,1.0,0.001,1.0,,,,,True,False,True,False,False,0.007071067811865475,0.007304722676876776,7,24,7,17,0.7083333333333334,"{""insufficient_leverage"": 17}",0.46012763278388275,0.5071428571428573,1.513685625855782,True,True,False,False,False,True,6392.523539959471,260.009888552037,-278.84557636628296,260.009888552037,61.42857142857143,1.037865411622231,0.015325388458837913,False,0.5230338109590684,False,0.06319444444444444,False,False,0.17120142562094912,0.06319444444444444,True,True,-23.563835777831482,1.46540602468555,-27.76556939362966,True,selection_limited
4,assignment_isolation,plus_one_randomisation,True,ok,-27.975387143075686,6.48071864853426,-16.97281973593894,-43.087532223385054,17.36345851183412,0.001,1.0,0.001,1.0,,,,,True,False,False,False,True,0.007071067811865475,0.007217288263061971,7,24,7,17,0.7083333333333334,"{""insufficient_leverage"": 17}",0.48304210875331555,0.5059895833333333,1.294042777645183,True,True,False,False,False,True,6426.766155397155,262.8315173852326,-280.3491200400354,262.8315173852326,61.714285714285715,0.9844714789144219,0.03734454266035273,False,0.5110338298952641,False,0.0402777777777778,False,False,0.15703707239217937,0.0402777777777778,True,False,-23.499677550935726,1.5017433777846212,-27.870421964367647,True,selection_limited
5,assignment_isolation,plus_one_randomisation,True,ok,-26.920425179947728,5.499066326264727,-14.406328605776503,-36.179186222436606,17.001152248525194,0.001,1.0,0.001,1.0,,,,,True,False,False,False,True,0.007071067811865475,0.007257041791687415,7,24,7,17,0.7083333333333334,"{""insufficient_leverage"": 17}",0.4529959315375982,0.5261424731182797,1.4601638796899998,True,True,False,False,False,True,6267.530048316416,256.94523950316585,-271.699347994728,256.94523950316585,63.57142857142857,0.9837142580586203,0.020104287748420983,False,0.5542464909512231,False,0.02256944444444442,False,False,0.15059074940464343,0.02256944444444442,True,False,-23.82031134602307,1.4604193355567603,-28.906707524008688,True,selection_limited
6,assignment_isolation,plus_one_randomisation,True,ok,-23.626174189672827,6.063009007009863,-11.812583498382802,-34.98571066893356,16.830558619417125,0.001,1.0,0.001,1.0,,,,,True,False,False,False,True,0.007071067811865475,0.007185593480282844,10,24,10,14,0.5833333333333334,"{""insufficient_leverage"": 14}",0.4785193452380952,0.5021186440677967,1.0606601717798163,True,True,False,False,False,True,5172.256172736016,210.58876407300784,-230.08805330938966,210.58876407300784,61.0,0.9445524785404424,0.015081593197140098,False,0.48522549690504446,False,0.017361111111111105,False,False,0.1360975542087646,0.017361111111111105,True,False,-23.410281650268875,1.4301568739041046,-26.52762470032547,True,selection_limited
7,assignment_isolation,plus_one_randomisation,True,ok,-24.1141536461592,7.579321077531577,-13.302309771530902,-58.32472408230248,16.811186260479413,0.001,1.0,0.001,1.0,,,,,True,False,False,False,True,0.007071067811865475,0.007283464354924758,7,24,7,17,0.7083333333333334,"{""insufficient_leverage"": 17}",0.46684374369832626,0.5037356321839079,1.4466409066165065,True,True,False,False,False,True,6357.73604716843,261.025828281988,-281.9170464893561,261.025828281988,61.285714285714285,0.9585526787529919,0.023465872088606458,False,0.4962376209207263,False,0.038541666666666696,False,False,0.13698431051556226,0.038541666666666696,False,False,-23.778490476468722,1.424153671515827,-26.801231499167486,True,selection_limited
8,assignment_isolation,plus_one_randomisation,True,ok,-30.94388252189674,5.133994411956196,-16.461661695620883,-38.567535382548556,17.46960477591446,0.001,1.0,0.001,1.0,,,,,True,False,False,False,True,0.007071067811865475,0.007245486620441368,9,24,9,15,0.625,"{""insufficient_leverage"": 15}",0.4874740614978305,0.5022376543209875,1.2710210969248146,True,True,False,False,False,True,5688.977476408563,230.86760504783228,-251.50355395214584,230.86760504783228,61.111111111111114,0.9894884488189943,0.04822318724245653,False,0.5105713752664478,False,0.03194444444444444,False,False,0.17443254849899828,0.03194444444444444,True,False,-23.522239114451448,1.3922239507094043,-24.26359554759998,True,selection_limited
9,assignment_isolation,plus_one_randomisation,True,ok,-24.819540444779207,4.988599563543265,-16.94841868811682,-35.953158301787695,16.829259807868404,0.001,1.0,0.001,1.0,,,,,True,False,True,False,False,0.007071067811865475,0.00737368868425227,10,24,10,14,0.5833333333333334,"{""insufficient_leverage"": 14}",0.4831858339447297,0.5040909090909091,1.1641661527171945,True,True,False,False,False,True,5176.214465978963,208.6137616290748,-230.65608537486833,208.6137616290748,59.8,0.9596224617361704,0.0017362701573334024,False,0.4935897579300755,False,0.05659722222222224,False,False,0.14134396382543257,0.05659722222222224,False,True,-23.632540466847015,1.4546772416655365,-27.643663399323334,True,selection_limited
