replicate,inference_route,calibration,route_valid,route_reason,beta_hat,se,ucb,lcb,beta_min,p_infer_less,p_infer_greater,p_rand_less,p_rand_greater,p_seq_less,p_seq_greater,log_e_seq_less,log_e_seq_greater,infer_neg_pass,infer_pos_pass,magnitude_neg_pass,magnitude_pos_pass,component_disagreement,sigma_tau_design,sigma_tau_eff,N,N_eligible,N_estimable,N_nonestimable,nonestimable_fraction,nonestimable_reasons,median_leverage_fraction,min_leverage_fraction_estimable,estimability_summary_max_smd,estimability_summary_fired,estimability_information_sufficient,estimability_support_passed,estimability_opposite_passed,estimability_adequacy_passed,estimability_conclusion_changing,nonestimable_abs_bound_sum,support_ucb_upper,eligible_lcb_lower,eligible_ucb_upper,nbar_ret,sigma_blind,leak_excursion,leak_fired,delivery_p99_ms,delivery_fired,retention_imbalance,retention_fired,balance_fired,gate_required,gate_audited,gate_passed,gate_applicable,collider_inter_z,collider_smd,collider_rank_z,collider_fired,decision
0,assignment_isolation,plus_one_randomisation,True,ok,-86.37166134785976,3.2454500038494283,-80.80068883783548,-92.100692287924,33.69909808320959,0.001,1.0,0.001,1.0,,,,,True,False,True,False,False,0.007071067811865475,0.0070753980994275965,24,24,24,0,0.0,{},0.8015232974910393,0.6748168498168498,0.0,False,True,True,False,False,False,0.0,-80.80068883783548,-92.100692287924,-80.80068883783548,95.16666666666667,1.1630050258486726,0.5224364986529411,True,0.5299949362970087,False,0.018749999999999933,False,False,0.6631757591612129,0.018749999999999933,True,True,-0.9325345504156111,0.13673379273190417,-13.407058542518373,False,diagnostic_failure
1,assignment_isolation,plus_one_randomisation,True,ok,-82.74048825218068,2.8942258952165227,-77.12649259067932,-87.36439726204078,33.99229916496555,0.001,1.0,0.001,1.0,,,,,True,False,True,False,False,0.007071067811865475,0.0070442920615417055,24,24,24,0,0.0,{},0.8009566326530613,0.7088709677419355,0.0,False,True,True,False,False,False,0.0,-77.12649259067932,-87.36439726204078,-77.12649259067932,96.41666666666667,1.1756118496879946,0.5228103803377351,True,0.5061781975588597,False,0.014236111111111116,False,False,0.642226313242936,0.014236111111111116,True,True,0.04065456610263379,0.08948242466964335,-11.739939649526134,False,diagnostic_failure
2,assignment_isolation,plus_one_randomisation,True,ok,-83.62826519120802,2.4569429011093895,-79.70057152818154,-87.77921311070136,34.43316921404205,0.001,1.0,0.001,1.0,,,,,True,False,True,False,False,0.007071067811865475,0.007027817364606999,24,24,24,0,0.0,{},0.7972766779995613,0.6362599206349208,0.0,False,True,True,False,False,False,0.0,-79.70057152818154,-87.77921311070138,-79.70057152818154,95.41666666666667,1.1818968855097691,0.5233049540353137,True,0.5150000308724737,False,0.015625,False,False,0.6443547072364165,0.015625,True,True,0.04903687015042074,0.11662843473446756,-13.213328022462472,False,diagnostic_failure
3,assignment_isolation,plus_one_randomisation,True,ok,-84.66392398268049,3.1621872002769824,-78.90398097419936,-89.658602623926,33.69002936278186,0.001,1.0,0.001,1.0,,,,,True,False,True,False,False,0.007071067811865475,0.007043057454753177,24,24,24,0,0.0,{},0.7970339958900226,0.696969696969697,0.0,False,True,True,False,False,False,0.0,-78.90398097419936,-89.658602623926,-78.90398097419936,95.375,1.1586436893078134,0.5304612580436907,True,0.532464603721342,False,0.015277777777777835,False,False,0.6569675870880212,0.015277777777777835,True,True,0.13371022181106446,0.20905142511181282,-12.428737389251554,False,diagnostic_failure
4,assignment_isolation,plus_one_randomisation,True,ok,-89.40843428437385,2.9811684495584614,-84.19732965442643,-94.60576617216063,33.98025788827679,0.001,1.0,0.001,1.0,,,,,True,False,True,False,False,0.007071067811865475,0.007083545007873645,24,24,24,0,0.0,{},0.7995782656496941,0.6707870370370371,0.0,False,True,True,False,False,False,0.0,-84.19732965442643,-94.60576617216061,-84.19732965442643,96.375,1.1814885797988717,0.5056537695591347,True,0.5114069849901877,False,0.016319444444444442,False,False,0.6702371334678209,0.016319444444444442,True,True,-2.75295238629689,0.26253677095944267,-13.614197473448446,False,diagnostic_failure
5,assignment_isolation,plus_one_randomisation,True,ok,-87.24638089283086,2.2219333514891355,-83.55561170457848,-91.1467013927488,34.04274169651035,0.001,1.0,0.001,1.0,,,,,True,False,True,False,False,0.007071067811865475,0.007039645563883818,24,24,24,0,0.0,{},0.7995755803650539,0.6816666666666668,0.0,False,True,True,False,False,False,0.0,-83.55561170457848,-91.1467013927488,-83.55561170457848,96.58333333333333,1.1775962728337264,0.49471067619193876,True,0.5228514701850367,False,0.0215277777777777,False,False,0.6622664741818017,0.0215277777777777,True,True,0.2799038291096632,0.09674572451129598,-13.674595160317093,False,diagnostic_failure
6,assignment_isolation,plus_one_randomisation,True,ok,-81.94428243001938,2.6615687388840827,-77.1333778767853,-85.83162844811764,33.56088479321619,0.001,1.0,0.001,1.0,,,,,True,False,True,False,False,0.007071067811865475,0.007005587592284418,24,24,24,0,0.0,{},0.7789240388204556,0.6779693486590039,0.0,False,True,True,False,False,False,0.0,-77.1333778767853,-85.83162844811766,-77.1333778767853,95.16666666666667,1.1468071784451095,0.4949530875220339,True,0.494874373099606,False,0.039583333333333304,False,False,0.6482338942503493,0.039583333333333304,True,True,0.083344235752359,0.10383940740395174,-11.970640972888768,False,diagnostic_failure
7,assignment_isolation,plus_one_randomisation,True,ok,-83.12625452782872,2.4848058150629995,-79.31029716103477,-87.44211163934814,33.33828117111491,0.001,1.0,0.001,1.0,,,,,True,False,True,False,False,0.007071067811865475,0.007057562796898845,24,24,24,0,0.0,{},0.8031901772651493,0.7242831541218638,0.0,False,True,True,False,False,False,0.0,-79.31029716103477,-87.44211163934814,-79.31029716103477,96.83333333333333,1.1576583310517345,0.527002707914642,True,0.5253709535008433,False,0.017013888888888884,False,False,0.6501628911753142,0.017013888888888884,True,True,-0.2381100964720058,0.06007851278429254,-11.813112342400432,False,diagnostic_failure
8,assignment_isolation,plus_one_randomisation,True,ok,-80.47081306092424,2.7180733147107623,-75.68620251969773,-84.81489585903587,32.81427724430738,0.001,1.0,0.001,1.0,,,,,True,False,True,False,False,0.007071067811865475,0.007032656541463448,24,24,24,0,0.0,{},0.8099579081632651,0.681547619047619,0.0,False,True,True,False,False,False,0.0,-75.68620251969773,-84.81489585903587,-75.68620251969773,97.125,1.1371500409217845,0.5124437521866457,True,0.508473106367565,False,0.023958333333333415,False,False,0.64439784667024,0.023958333333333415,True,True,0.31096838211388556,0.07650553305125277,-12.586078113800426,False,diagnostic_failure
9,assignment_isolation,plus_one_randomisation,True,ok,-85.14613677041449,2.972824305923117,-79.99143787904093,-90.4905349259421,34.80038749447484,0.001,1.0,0.001,1.0,,,,,True,False,True,False,False,0.007071067811865475,0.007074308701805798,24,24,24,0,0.0,{},0.7738059947299076,0.6624521072796936,0.0,False,True,True,False,False,False,0.0,-79.99143787904093,-90.4905349259421,-79.99143787904093,92.91666666666667,1.1865468807249644,0.5521353870759219,True,0.530592175216481,False,0.01388888888888895,False,False,0.6499117705199433,0.01388888888888895,True,True,-1.7251624644101253,0.1310213440023228,-13.12184717485869,False,diagnostic_failure
