replicate,inference_route,calibration,route_valid,route_reason,beta_hat,se,ucb,lcb,beta_min,p_infer_less,p_infer_greater,p_rand_less,p_rand_greater,p_seq_less,p_seq_greater,log_e_seq_less,log_e_seq_greater,infer_neg_pass,infer_pos_pass,magnitude_neg_pass,magnitude_pos_pass,component_disagreement,sigma_tau_design,sigma_tau_eff,N,N_eligible,N_estimable,N_nonestimable,nonestimable_fraction,nonestimable_reasons,median_leverage_fraction,min_leverage_fraction_estimable,estimability_summary_max_smd,estimability_summary_fired,estimability_information_sufficient,estimability_support_passed,estimability_opposite_passed,estimability_adequacy_passed,estimability_conclusion_changing,nonestimable_abs_bound_sum,support_ucb_upper,eligible_lcb_lower,eligible_ucb_upper,nbar_ret,sigma_blind,leak_excursion,leak_fired,delivery_p99_ms,delivery_fired,retention_imbalance,retention_fired,balance_fired,gate_required,gate_audited,gate_passed,gate_applicable,collider_inter_z,collider_smd,collider_rank_z,collider_fired,decision
0,assignment_isolation,plus_one_randomisation,True,ok,-39.65147947876826,3.675158045197233,-33.598015046920864,-45.57022647692937,33.119211872697946,0.001,1.0,0.001,1.0,,,,,True,False,True,False,False,0.007071067811865475,0.0066583515182938495,21,24,21,3,0.125,"{""insufficient_leverage"": 3}",0.5743856837606839,0.5060606060606061,1.742716609311447,True,True,False,False,False,True,1048.6956717452001,14.297389823327583,-83.56960115669654,14.297389823327583,77.57142857142857,0.9711081791604319,0.013239162369022532,False,0.5091380922850773,False,0.19895833333333335,True,False,0.40934624928637436,0.19895833333333335,True,True,-22.884802333024542,1.6592589727701752,-30.563116075671882,True,selection_limited
1,assignment_isolation,plus_one_randomisation,True,ok,-38.753510464992104,3.424369836114846,-33.442851355286294,-45.03447959313114,31.990931336619397,0.001,1.0,0.001,1.0,,,,,True,False,True,False,False,0.007071067811865475,0.006836999291436717,22,24,22,2,0.08333333333333333,"{""insufficient_leverage"": 2}",0.5799525316455697,0.5087719298245614,1.8630739262118634,True,True,False,False,False,True,724.1193641182274,-0.48430690408629573,-71.45324646529635,-0.48430690408629573,78.18181818181819,0.9669751333455069,0.008365567958351403,False,0.5228732132425935,False,0.13229166666666659,True,False,0.4018312562105866,0.13229166666666659,True,True,-23.16849456742897,1.6918885300662279,-32.11875703976155,True,selection_limited
2,assignment_isolation,plus_one_randomisation,True,ok,-39.56809472744686,3.8368730227949284,-33.820586502991546,-47.636731264649086,33.1993301268563,0.001,1.0,0.001,1.0,,,,,True,False,True,False,False,0.007071067811865475,0.006684723292278164,21,24,21,3,0.125,"{""insufficient_leverage"": 3}",0.5687022042285201,0.5036666666666666,1.855597169936123,True,True,False,False,False,True,1084.5522586006036,15.596664251574216,-86.87181729825977,15.596664251574216,77.61904761904762,0.977612880205569,0.007818608868324695,False,0.49993741214176723,False,0.17708333333333337,True,False,0.4057967591023937,0.17708333333333337,True,True,-23.216482904145987,1.675403215331917,-29.958537098862546,True,selection_limited
3,assignment_isolation,plus_one_randomisation,True,ok,-37.094435553640146,2.866682076035744,-31.83125056403511,-41.793764225221246,33.77267249523381,0.001,1.0,0.001,1.0,,,,,True,False,False,False,True,0.007071067811865475,0.006717723411531535,22,24,22,2,0.08333333333333333,"{""insufficient_leverage"": 2}",0.559773148148148,0.5138310185185185,1.7233069114265498,True,True,False,False,False,True,713.5269048301946,0.5516413508925903,-68.04123824104425,0.5516413508925903,76.13636363636364,0.9898140561279654,0.016587583197934953,False,0.513715447136266,False,0.1875,True,False,0.37545119064765475,0.1875,True,False,-22.755393313907348,1.6446831723789197,-30.5884286843124,True,selection_limited
4,assignment_isolation,plus_one_randomisation,True,ok,-39.84746790460768,3.4659453519823487,-33.807874539509015,-45.18976743159734,33.46443442535372,0.001,1.0,0.001,1.0,,,,,True,False,True,False,False,0.007071067811865475,0.006704991407537631,22,24,22,2,0.08333333333333333,"{""insufficient_leverage"": 2}",0.5539271820521822,0.5157407407407407,1.7000164443327102,True,True,False,False,False,True,737.5768896945427,-0.25818125727731456,-72.15632388290351,-0.25818125727731456,77.27272727272727,0.9861996401873896,0.0031590423304463555,False,0.5118688426287719,False,0.1600694444444445,True,False,0.40510781088848663,0.1600694444444445,True,True,-23.205651761983617,1.6904690949341585,-31.961998891417203,True,selection_limited
5,assignment_isolation,plus_one_randomisation,True,ok,-39.52521157634012,3.5004679139097887,-34.23367018350576,-45.98488812099196,33.55543404906695,0.001,1.0,0.001,1.0,,,,,True,False,True,False,False,0.007071067811865475,0.006758398018338594,21,24,21,3,0.125,"{""insufficient_leverage"": 3}",0.5731542430172568,0.5082159624413145,1.4182624832908244,True,True,False,False,False,True,1188.5035647882007,19.566520455607492,-89.757758972043,19.566520455607492,76.95238095238095,0.9946897918176705,0.010038854192573464,False,0.5010447964506931,False,0.1684027777777778,True,False,0.3984143784776765,0.1684027777777778,True,True,-23.56873201916261,1.6265138473293443,-29.577985618578584,True,selection_limited
6,assignment_isolation,plus_one_randomisation,True,ok,-40.188682750763185,2.364388284375568,-36.43634750524992,-45.190551103086385,33.364104890584386,0.001,1.0,0.001,1.0,,,,,True,False,True,False,False,0.007071067811865475,0.0066907399418765535,20,24,20,4,0.16666666666666666,"{""insufficient_leverage"": 4}",0.5598308982683984,0.5213963963963963,1.6473703276077687,True,True,False,False,False,True,1442.2673457538417,29.730849818701802,-97.75326532564873,29.730849818701802,78.2,0.9870223994026099,0.016151294023597943,False,0.5281577335239458,False,0.18229166666666674,True,False,0.40821352055998655,0.18229166666666674,True,True,-23.38905886804752,1.623146767555439,-30.391654894143542,True,selection_limited
7,assignment_isolation,plus_one_randomisation,True,ok,-37.19533719781455,4.622442045432373,-29.5615229577135,-46.44002549887536,34.54049742885532,0.001,1.0,0.001,1.0,,,,,True,False,False,False,True,0.007071067811865475,0.006721489439517311,20,24,20,4,0.16666666666666666,"{""insufficient_leverage"": 4}",0.5573763042513041,0.5081111111111112,1.590687875113448,True,True,False,False,False,True,1507.3093760338966,38.169954869984444,-101.50457858380848,38.169954869984444,77.3,1.0205959946766376,0.02776017394084084,False,0.5218085802125693,False,0.16111111111111115,True,False,0.3648049336708219,0.16111111111111115,True,False,-23.1573110036016,1.6454362533448086,-30.870285402901207,True,selection_limited
8,assignment_isolation,plus_one_randomisation,True,ok,-33.41538359494357,4.535358088893029,-24.88356746141286,-41.68081594763079,34.107444276233984,0.001,1.0,0.001,1.0,,,,,True,False,False,False,True,0.007071067811865475,0.006749168527272919,20,24,20,4,0.16666666666666666,"{""insufficient_leverage"": 4}",0.5838617811890838,0.5263310185185186,1.9668038332370004,True,True,False,False,False,True,1521.9175519317726,42.67692511264647,-98.14724462018285,42.67692511264647,78.45,1.0194499976590499,0.011922350034292739,False,0.5050582969642066,False,0.17256944444444444,True,False,0.3262227845777399,0.17256944444444444,True,False,-23.295384934293335,1.6667877439157204,-30.014962988026117,True,selection_limited
9,assignment_isolation,plus_one_randomisation,True,ok,-37.63686931586632,3.2598491492295065,-32.204489554758055,-42.92145855852756,33.330607190539396,0.001,1.0,0.001,1.0,,,,,True,False,False,False,True,0.007071067811865475,0.006716543877100373,21,24,21,3,0.125,"{""insufficient_leverage"": 3}",0.5713675213675213,0.5080917874396135,1.5235265023648135,True,True,False,False,False,True,1095.189721815419,17.45397671522916,-83.18918131435407,17.45397671522916,77.85714285714286,0.9876619370017664,0.013725381605054408,False,0.5175135563051593,False,0.17326388888888888,True,False,0.38191294349023774,0.17326388888888888,True,False,-23.111103197196478,1.6450950102825468,-30.409906126193814,True,selection_limited
10,assignment_isolation,plus_one_randomisation,True,ok,-36.342765547097216,4.332098316691598,-28.67530167276926,-43.848916662691764,32.62922858195986,0.001,1.0,0.001,1.0,,,,,True,False,False,False,True,0.007071067811865475,0.006760974842949546,20,24,20,4,0.16666666666666666,"{""insufficient_leverage"": 4}",0.5748697916666666,0.5081018518518519,1.4450346794804074,True,True,False,False,False,True,1456.4066756344314,36.78752675746026,-97.22437537034443,36.78752675746026,79.25,0.9819418414080177,0.012163672288466803,False,0.49784180947833273,False,0.1743055555555556,True,False,0.370663386850933,0.1743055555555556,True,False,-23.34957577450624,1.6063631366331534,-30.550563750531527,True,selection_limited
11,assignment_isolation,plus_one_randomisation,True,ok,-38.01465097387349,4.5208110454772426,-30.99219634492205,-47.0468081240567,33.19851493940768,0.001,1.0,0.001,1.0,,,,,True,False,False,False,True,0.007071067811865475,0.006702426569334924,22,24,22,2,0.08333333333333333,"{""insufficient_leverage"": 2}",0.5622889957264957,0.5227272727272728,1.7500258004554465,True,True,False,False,False,True,734.5776616254595,2.197889251548934,-73.73364334811279,2.197889251548934,77.72727272727273,0.9808609408251019,0.0011706870546917849,False,0.4912059769215907,False,0.1621527777777777,True,False,0.38852300405272006,0.1621527777777777,True,False,-22.969843673978957,1.662560788450484,-31.59664189926029,True,selection_limited
