replicate,inference_route,calibration,route_valid,route_reason,beta_hat,se,ucb,lcb,beta_min,p_infer_less,p_infer_greater,p_rand_less,p_rand_greater,p_seq_less,p_seq_greater,log_e_seq_less,log_e_seq_greater,sigma_tau_design,sigma_tau_eff,N,nbar_ret,sigma_blind,leak_excursion,leak_fired,delivery_p99_ms,delivery_fired,retention_imbalance,retention_fired,balance_fired,gate_required,gate_audited,gate_passed,collider_inter_z,collider_smd,collider_rank_z,collider_fired,decision
0,assignment_isolation,plus_one_randomisation,True,ok,-17.481608231807623,3.1527415001629993,-11.902797011782914,-22.74918054580739,29.185653165651043,0.001,1.0,0.001,1.0,,,,,0.007071067811865475,0.007071067811865475,24,94.75,1.0044169498355928,0.009509221118944752,False,0.5025975692662246,False,0.020486111111111094,False,False,0.1590025034268793,0.020486111111111094,True,-0.17788383975289282,0.12228766060439557,-2.998521300353268,False,forward_only_adequate
1,assignment_isolation,plus_one_randomisation,True,ok,-14.114615652087911,3.177304746482736,-8.280194254515159,-19.415426615350984,28.99800865251244,0.001,1.0,0.001,1.0,,,,,0.007071067811865475,0.007071067811865475,24,96.125,1.0051742580337768,0.016830841196552794,False,0.5142818753027785,False,0.02013888888888893,False,False,0.12339668228109933,0.02013888888888893,True,0.43688039454217026,0.14963547704525368,-0.9548967687222042,False,forward_only_adequate
2,assignment_isolation,plus_one_randomisation,True,ok,-19.639340282149387,3.4703064444232545,-13.652217248250658,-25.356055786438603,29.475596352441283,0.001,1.0,0.001,1.0,,,,,0.007071067811865475,0.007071067811865475,24,96.16666666666667,1.0219505657601473,0.012539070943656416,False,0.5229620161335528,False,0.027083333333333348,False,False,0.17857103365964094,0.027083333333333348,True,1.2841469573628117,0.20454585337526154,-1.229773175142063,False,forward_only_adequate
3,assignment_isolation,plus_one_randomisation,True,ok,-20.31124238551912,4.711127687869982,-12.820482182007535,-27.996720861761307,29.721185612857127,0.001,1.0,0.001,1.0,,,,,0.007071067811865475,0.007071067811865475,24,95.0,1.0241956786438629,0.008483686566979998,False,0.5238137790939005,False,0.015625,False,False,0.18523969155518297,0.015625,True,0.8882253559430964,0.19647688145600264,-3.0852177264141933,False,forward_only_adequate
4,assignment_isolation,plus_one_randomisation,True,ok,-25.402880074824782,3.297368082011641,-19.24355885625073,-30.61064092776271,29.51868370083423,0.001,1.0,0.001,1.0,,,,,0.007071067811865475,0.007071067811865475,24,97.04166666666667,1.0280899586288414,0.029788735473634004,False,0.5265915531123015,False,0.035069444444444486,False,False,0.2386137957276674,0.035069444444444486,True,2.4156604903828995,0.21132805687955192,-3.355133385380675,False,forward_only_adequate
5,assignment_isolation,plus_one_randomisation,True,ok,-23.304654919990696,4.334181005674766,-15.297277268121906,-30.387421849433224,29.289772884571065,0.001,1.0,0.001,1.0,,,,,0.007071067811865475,0.007071067811865475,24,96.29166666666667,1.016167644443953,0.0071740601600420815,False,0.500534669204472,False,0.031597222222222165,False,False,0.21914498105176616,0.031597222222222165,True,-0.021179944670413026,0.09859316259100494,-5.1949882077744896,False,forward_only_adequate
6,assignment_isolation,plus_one_randomisation,True,ok,-20.669132336311893,2.8643995397577013,-16.30777552506151,-25.826408209971508,29.48237519555108,0.001,1.0,0.001,1.0,,,,,0.007071067811865475,0.007071067811865475,24,94.79166666666667,1.0148516330690966,0.014697862538150858,False,0.5366302109608269,False,0.02083333333333337,False,False,0.1910676576178222,0.02083333333333337,True,1.0415627603519766,0.19593722801716068,-3.746785481810248,False,forward_only_adequate
7,assignment_isolation,plus_one_randomisation,True,ok,-19.497642180487663,4.240173265989612,-11.80187472712641,-26.291823318681168,30.045078329323285,0.001,1.0,0.001,1.0,,,,,0.007071067811865475,0.007071067811865475,24,95.58333333333333,1.0385309242466825,0.005936602612974688,False,0.5490260433728438,False,0.022222222222222143,False,False,0.17376797238841446,0.022222222222222143,True,0.7543770633231848,0.11503589384897252,-2.2972307771018117,False,forward_only_adequate
8,assignment_isolation,plus_one_randomisation,True,ok,-25.430391222391126,3.5671413043860807,-18.72419215151365,-31.7705621058265,29.079529187780047,0.001,1.0,0.001,1.0,,,,,0.007071067811865475,0.007071067811865475,24,96.875,1.0119247893724825,0.015927622708548833,False,0.5195744201645599,False,0.02430555555555558,False,False,0.24324117765683903,0.02430555555555558,True,-0.28483765910571646,0.19605663449374064,-5.5148669970602855,False,forward_only_adequate
9,assignment_isolation,plus_one_randomisation,True,ok,-16.398948225852838,4.125652884829984,-8.549135870677052,-22.861287321642557,28.02622069493147,0.001,1.0,0.001,1.0,,,,,0.007071067811865475,0.007071067811865475,24,95.20833333333333,0.966845377998537,0.019530537309374808,False,0.49947958121672537,False,0.04340277777777779,False,False,0.1542493728850378,0.04340277777777779,True,-0.47941597597569324,0.21445817563903982,-2.7616939556049322,False,forward_only_adequate
