replicate,inference_route,calibration,route_valid,route_reason,beta_hat,se,ucb,lcb,beta_min,p_infer_less,p_infer_greater,p_rand_less,p_rand_greater,p_seq_less,p_seq_greater,log_e_seq_less,log_e_seq_greater,sigma_tau_design,sigma_tau_eff,N,nbar_ret,sigma_blind,leak_excursion,leak_fired,delivery_p99_ms,delivery_fired,retention_imbalance,retention_fired,balance_fired,gate_required,gate_audited,gate_passed,collider_inter_z,collider_smd,collider_rank_z,collider_fired,decision
0,assignment_isolation,plus_one_randomisation,True,ok,15.170886622385026,4.579516762822814,22.874019153057468,7.5550592074083935,29.473163027138224,1.0,0.001,1.0,0.001,,,,,0.007071067811865475,0.007071067811865475,24,95.91666666666667,1.020537086429418,0.01106793976896486,False,0.49726507670561737,False,0.028472222222222232,False,False,0.13201407231933857,0.028472222222222232,True,0.23599526122486386,0.10654056269409762,1.6728853754247368,False,forward_only_adequate
1,assignment_isolation,plus_one_randomisation,True,ok,25.14585994582526,3.2348378592935902,31.177052662029855,19.887304505865508,28.818510854456562,1.0,0.001,1.0,0.001,,,,,0.007071067811865475,0.007071067811865475,24,96.91666666666667,1.003057377487587,0.003137112333126799,False,0.4989673297170602,False,0.030902777777777724,False,False,0.24256674499594794,0.030902777777777724,True,0.6753890891428797,0.08209464084154883,3.9769989631149962,False,forward_only_adequate
2,assignment_isolation,plus_one_randomisation,True,ok,15.637223686791605,3.3595467389994074,21.029699928737564,9.836888125694347,29.172952025291345,1.0,0.001,1.0,0.001,,,,,0.007071067811865475,0.007071067811865475,24,96.08333333333333,1.0110192272425989,0.030151881674740283,False,0.525818035206004,False,0.023958333333333304,False,False,0.13835041840978166,0.023958333333333304,True,-0.4892035502476766,0.16170040602913285,1.028555791009559,False,forward_only_adequate
3,assignment_isolation,plus_one_randomisation,True,ok,18.591502620293685,2.3817080772532484,22.381269081750187,14.38410207847091,28.882110183301904,1.0,0.001,1.0,0.001,,,,,0.007071067811865475,0.007071067811865475,24,95.79166666666667,0.9994194376153933,0.018877973359677495,False,0.47247468892288863,False,0.019444444444444486,False,False,0.17190765381338916,0.019444444444444486,True,0.3029480622091844,0.2358948805043372,3.2737601550062885,False,forward_only_adequate
4,assignment_isolation,plus_one_randomisation,True,ok,17.108004613058213,3.4490874456357554,23.10168972713339,11.009577248362529,30.109890865412464,1.0,0.001,1.0,0.001,,,,,0.007071067811865475,0.007071067811865475,24,94.79166666666667,1.0364521757021534,0.006663311649173576,False,0.5173118647554336,False,0.03472222222222221,False,False,0.14938859642377622,0.03472222222222221,True,1.2375878793492627,0.1816031863646007,2.424803735119857,False,forward_only_adequate
5,assignment_isolation,plus_one_randomisation,True,ok,18.67056040670159,3.937944079477893,25.16806981813796,11.376091061977686,30.137943236776003,1.0,0.001,1.0,0.001,,,,,0.007071067811865475,0.007071067811865475,24,95.08333333333333,1.0390126048530173,0.0035356457142505827,False,0.495475193860948,False,0.018402777777777768,False,False,0.1650769991240405,0.018402777777777768,True,-2.5753936290639245,0.23383538134528908,2.077135560056072,False,forward_only_adequate
6,assignment_isolation,plus_one_randomisation,True,ok,21.566053477709264,3.5334560522815806,28.562687336575777,15.877365789832176,29.229048573739945,1.0,0.001,1.0,0.001,,,,,0.007071067811865475,0.007071067811865475,24,95.04166666666667,1.007457437293651,0.005724528238581778,False,0.5224852733105494,False,0.038541666666666696,False,False,0.20241899148132944,0.038541666666666696,True,0.5781408642760538,0.18919343127394422,2.9444577643862764,False,forward_only_adequate
7,assignment_isolation,plus_one_randomisation,True,ok,20.442515543699074,3.6879613553300423,27.20412703287453,14.304483416924535,28.99652673352174,1.0,0.001,1.0,0.001,,,,,0.007071067811865475,0.007071067811865475,24,97.08333333333333,1.0101208289101147,0.010382537752899783,False,0.5314082114820315,False,0.02604166666666663,False,False,0.18966241062725891,0.02604166666666663,True,0.29954659630493313,0.19302322099909278,2.379205055304187,False,forward_only_adequate
8,assignment_isolation,plus_one_randomisation,True,ok,16.4132014579828,4.839767421758689,25.681059515733203,8.328747312733004,29.06077710792372,1.0,0.001,1.0,0.001,,,,,0.007071067811865475,0.007071067811865475,24,96.54166666666667,1.0095309221912363,0.015603887165769437,False,0.5304536328722591,False,0.03368055555555549,False,False,0.1467456411832358,0.03368055555555549,True,-0.22848345188847444,0.16944833605456375,2.8383585704664727,False,forward_only_adequate
9,assignment_isolation,plus_one_randomisation,True,ok,15.306030290562129,4.389028398155635,23.029354220682087,9.029401072168255,29.184334162216995,1.0,0.001,1.0,0.001,,,,,0.007071067811865475,0.007071067811865475,24,94.08333333333333,1.000831910210309,0.03194062059857029,False,0.5282121123493982,False,0.023611111111111138,False,False,0.13651820718392801,0.023611111111111138,True,-1.1960187033474166,0.2233357977998657,2.154881820860407,False,forward_only_adequate
