replicate,inference_route,calibration,route_valid,route_reason,beta_hat,se,ucb,lcb,beta_min,p_infer_less,p_infer_greater,p_rand_less,p_rand_greater,p_seq_less,p_seq_greater,log_e_seq_less,log_e_seq_greater,sigma_tau_design,sigma_tau_eff,N,nbar_ret,sigma_blind,leak_excursion,leak_fired,delivery_p99_ms,delivery_fired,retention_imbalance,retention_fired,balance_fired,gate_required,gate_audited,gate_passed,collider_inter_z,collider_smd,collider_rank_z,collider_fired,decision
0,assignment_isolation,plus_one_randomisation,True,ok,-57.468016090825806,3.1495658218075535,-51.85426231249823,-62.71221145640365,31.290017105910056,0.001,1.0,0.001,1.0,,,,,0.007071067811865475,0.007071067811865475,24,94.75,1.0768381082116734,0.009509221118944752,False,0.5025975692662246,False,0.020486111111111094,False,False,0.5237563146444358,0.020486111111111094,True,-0.174170121048419,0.12228766060439557,-8.917582872641482,False,supported
1,assignment_isolation,plus_one_randomisation,True,ok,-54.00739677237783,3.164391055292346,-48.307278753253286,-59.28126852231876,30.86601559478665,0.001,1.0,0.001,1.0,,,,,0.007071067811865475,0.007071067811865475,24,96.125,1.069926031671162,0.016830841196552794,False,0.5142818753027785,False,0.02013888888888893,False,False,0.4992919308501888,0.02013888888888893,True,0.49597988779132446,0.14963547704525376,-7.005732710671431,False,supported
2,assignment_isolation,plus_one_randomisation,True,ok,-59.64151860932888,3.477452107076278,-53.66042298088182,-65.36698857415631,31.664267313914053,0.001,1.0,0.001,1.0,,,,,0.007071067811865475,0.007071067811865475,24,96.16666666666667,1.0978341373966767,0.012539070943656416,False,0.5229620161335528,False,0.027083333333333348,False,False,0.5316053743260862,0.027083333333333348,True,1.065351464092673,0.20454585337526157,-7.51410939264338,False,supported
3,assignment_isolation,plus_one_randomisation,True,ok,-60.32216888001077,4.717777775103042,-52.85245623594375,-68.00828602357869,31.96006352496017,0.001,1.0,0.001,1.0,,,,,0.007071067811865475,0.007071067811865475,24,95.0,1.1013476843698786,0.008483686566979998,False,0.5238137790939005,False,0.015625,False,False,0.5351979356956051,0.015625,True,0.8149634090443022,0.19647688145600256,-9.072282294752242,False,supported
4,assignment_isolation,plus_one_randomisation,True,ok,-65.3413781509428,3.297792293099255,-59.19424451585781,-70.58044988504919,31.931325623617976,0.001,1.0,0.001,1.0,,,,,0.007071067811865475,0.007071067811865475,24,97.04166666666667,1.1121185338769597,0.029788735473634004,False,0.5265915531123015,False,0.035069444444444486,False,False,0.5660410999538149,0.035069444444444486,True,2.47335347323682,0.21132805687955192,-9.317530377345372,False,supported
5,assignment_isolation,plus_one_randomisation,True,ok,-63.25833346735118,4.336012991969837,-55.27352881006205,-70.32554593987422,31.655994350824862,0.001,1.0,0.001,1.0,,,,,0.007071067811865475,0.007071067811865475,24,96.29166666666667,1.0982603838814253,0.0071740601600420815,False,0.500534669204472,False,0.031597222222222165,False,False,0.5573424309355446,0.031597222222222165,True,-0.019510010494951352,0.09859316259100497,-11.244624724939767,False,supported
6,assignment_isolation,plus_one_randomisation,True,ok,-60.707050838771444,2.882012311000506,-56.33216953995234,-65.88219152882637,31.71425660333127,0.001,1.0,0.001,1.0,,,,,0.007071067811865475,0.007071067811865475,24,94.79166666666667,1.0916781599848817,0.014697862538150858,False,0.5366302109608269,False,0.02083333333333337,False,False,0.5418847375363142,0.02083333333333337,True,1.1167090521549645,0.1959372280171606,-9.39259329314936,False,supported
7,assignment_isolation,plus_one_randomisation,True,ok,-59.51626556291441,4.241253987433992,-51.83841016520752,-66.32933122248723,32.19001381759955,0.001,1.0,0.001,1.0,,,,,0.007071067811865475,0.007071067811865475,24,95.58333333333333,1.112672246518257,0.005936602612974688,False,0.5490260433728438,False,0.022222222222222143,False,False,0.5247632187298743,0.022222222222222143,True,0.6231003816532781,0.11503589384897252,-8.222949077127083,False,supported
8,assignment_isolation,plus_one_randomisation,True,ok,-65.35114292415523,3.5607971700349763,-58.65162625257193,-71.69727257554133,31.53595791587778,0.001,1.0,0.001,1.0,,,,,0.007071067811865475,0.007071067811865475,24,96.875,1.0974048914483228,0.015927622708548833,False,0.5195744201645599,False,0.02430555555555558,False,False,0.5719204188287186,0.02430555555555558,True,-0.1517224798423817,0.19605663449374072,-11.385203158636092,False,supported
9,assignment_isolation,plus_one_randomisation,True,ok,-56.41291089560682,4.1222492711383945,-48.61991299791182,-62.88175708876025,30.150848921461385,0.001,1.0,0.001,1.0,,,,,0.007071067811865475,0.007071067811865475,24,95.20833333333333,1.0401405612180559,0.019530537309374808,False,0.49947958121672537,False,0.04340277777777779,False,False,0.530869210795626,0.04340277777777779,True,-0.5960147988420954,0.21445817563903988,-8.70130157412011,False,supported
10,assignment_isolation,plus_one_randomisation,True,ok,-59.456980750494644,3.97378718316145,-51.552013392672514,-66.36948677922045,30.954593734033015,0.001,1.0,0.001,1.0,,,,,0.007071067811865475,0.007071067811865475,24,95.66666666666667,1.0704353332087282,0.004067038420177942,False,0.5256764218747405,False,0.027430555555555514,False,False,0.5413755806070747,0.027430555555555514,True,-0.8688532185355836,0.2724724140029147,-9.968053274938942,False,supported
11,assignment_isolation,plus_one_randomisation,True,ok,-61.100606117685736,4.40543007753495,-53.47422802360436,-68.71304715876082,30.774214570809075,0.001,1.0,0.001,1.0,,,,,0.007071067811865475,0.007071067811865475,24,96.75,1.0702062203557816,0.023154672686828946,False,0.49358453111597705,False,0.018055555555555602,False,False,0.5534661575632127,0.018055555555555602,True,0.06620692860471376,0.1534373260995925,-9.766288865811328,False,supported
